Time (s), Percentage Displayed
490.865044, 13.328204
490.909191, 13.328204
490.941247, 12.929006
490.974335, 12.920300
491.007423, 12.150511
491.040511, 12.605879
491.073599, 13.196209
491.106688, 13.196209
491.139774, 13.549176
491.172892, 12.398511
491.206982, 12.022529
491.241044, 12.388790
491.274163, 12.914829
491.306248, 12.071517
491.339331, 11.604986
491.372419, 11.699827
491.405512, 11.666811
491.438567, 12.162921
491.472660, 12.472841
491.505748, 13.003539
491.538861, 12.097871
491.571956, 11.043487
491.605042, 11.076185
491.638099, 10.729662
491.671213, 10.823070
491.705303, 10.979738
491.738395, 10.703327
491.771454, 9.962504
491.805570, 9.803383
491.838638, 10.929869
491.871726, 11.254795
491.904815, 11.338767
491.937899, 11.525944
491.972014, 11.183864
492.005109, 10.600610
492.038162, 10.744740
492.070247, 10.744740
492.103335, 10.205673
492.137426, 10.529394
492.171518, 11.380981
492.204630, 10.999837
492.238726, 10.913337
492.271792, 11.949178
492.304903, 11.894691
492.337994, 11.647217
492.371047, 11.389243
492.405168, 12.040237
492.437222, 12.588972
492.470311, 12.392062
492.503398, 12.513300
492.536519, 12.666583
492.569606, 12.666583
492.602662, 13.856518
492.635781, 14.018240
492.669873, 13.320578
492.702956, 13.439488
492.736049, 13.211909
492.769137, 12.955380
492.801222, 13.336787
492.834310, 13.825080
492.868401, 13.415638
492.901492, 12.536749
492.934577, 11.854937
492.967633, 12.823857
493.000754, 13.057284
493.033841, 13.484353
493.067900, 13.191563
493.100989, 12.417867
493.134110, 13.033070
493.167189, 14.065355
493.199273, 14.294510
493.232376, 14.425392
493.265457, 14.585829
493.298599, 13.291430
493.331680, 12.503796
493.364748, 11.976162
493.397867, 12.394397
493.430923, 12.796729
493.464038, 11.777138
493.497125, 11.452349
493.529217, 10.662625
493.563301, 10.878860
493.596363, 10.899818
493.629483, 10.713762
493.663543, 9.485135
493.696631, 8.992748
493.730722, 8.275495
493.763835, 8.322457
493.796928, 9.198531
493.830066, 9.723698
493.863132, 10.379650
493.895206, 10.445336
493.928326, 10.424325
493.961437, 11.055894
493.994495, 10.878025
494.027584, 11.945949
494.060681, 12.019195
494.093758, 12.346798
494.126847, 12.309271
494.159935, 14.055516
494.193023, 14.404742
494.226142, 14.870529
494.258198, 14.805296
494.291285, 14.152389
494.324370, 14.502522
494.358462, 14.296503
494.391549, 13.725138
494.425640, 13.171625
494.459731, 12.296499
494.492820, 13.638153
494.525907, 13.579559
494.558995, 13.854343
494.592082, 13.235159
494.624197, 13.073035
494.657256, 11.876149
494.690343, 12.340019
494.723431, 12.729672
494.756521, 13.066752
494.789635, 12.886034
494.822725, 12.066560
494.855816, 12.107090
494.888905, 13.519976
494.921986, 13.912523
494.956052, 14.090145
494.989169, 13.840921
