Time (s), Activation By Channel (% of MVC)
659.048000, 6.285636E-2, 6.235648E-3
659.049000, 5.851183E-2, 4.346091E-3
659.050000, 1.249922E-1, 5.527173E-3
659.051000, 3.589545E-2, 4.934624E-3
659.052000, 5.733869E-3, 5.046748E-3
659.053000, 5.870596E-3, 5.318195E-3
659.054000, 4.005621E-2, 3.901694E-3
659.055000, 3.874601E-2, 2.699591E-3
659.056000, 6.400272E-2, 6.959196E-3
659.057000, 6.379620E-2, 4.951712E-3
659.058000, 6.236768E-2, 5.388701E-3
659.059000, 6.855824E-2, 3.950926E-3
659.060000, 4.507533E-2, 2.730589E-3
659.061000, 3.571268E-2, 1.707447E-3
659.062000, 7.141166E-2, 8.622326E-4
659.063000, 1.649011E-2, 1.766610E-4
659.064000, 3.716204E-2, 9.017629E-3
659.065000, 2.461051E-2, 6.594964E-3
659.066000, 4.916174E-2, 4.537017E-3
659.067000, 1.254370E-2, 2.810190E-3
659.068000, 1.131413E-2, 1.382465E-3
659.069000, 1.821673E-2, 8.427643E-3
659.070000, 4.072681E-3, 2.144082E-3
659.071000, 3.148448E-2, 9.620685E-4
659.072000, 1.172731E-2, 8.636090E-3
659.073000, 5.679450E-2, 6.535002E-3
659.074000, 9.563047E-3, 3.925054E-3
659.075000, 3.205848E-2, 2.626628E-3
, , 
659.076000, 3.922384E-2, 1.559625E-3
659.077000, 2.921680E-4, 7.952381E-3
659.078000, 1.648821E-2, 5.791202E-3
659.079000, 1.493264E-2, 3.945435E-3
659.080000, 9.898289E-3, 2.387854E-3
659.081000, 2.124791E-2, 1.092288E-3
659.082000, 1.130647E-1, 8.617409E-3
659.083000, 4.497969E-2, 6.623226E-3
659.084000, 2.039797E-2, 4.914351E-3
659.085000, 4.544168E-2, 5.186534E-3
659.086000, 1.308881E-1, 5.088739E-3
659.087000, 3.074352E-1, 3.608318E-3
659.088000, 2.288088E-1, 6.286754E-3
659.089000, 8.134784E-2, 4.173139E-3
659.090000, 9.803813E-2, 5.793522E-3
659.091000, 4.436453E-1, 4.599747E-3
659.092000, 4.095958E-1, 3.222466E-3
659.093000, 1.426327E-1, 2.068020E-3
659.094000, 3.163598E-1, 7.536874E-3
659.095000, 5.732453E-1, 3.179827E-3
659.096000, 6.240414E-2, 6.561058E-3
659.097000, 1.222564E-1, 4.029213E-3
659.098000, 1.329562E-1, 5.828719E-3
659.099000, 1.647296E-1, 3.997369E-3
659.100000, 1.837598E-1, 6.187786E-3
659.101000, 1.574838E-1, 4.613657E-3
659.102000, 1.683987E-1, 3.274058E-3
659.103000, 1.356793E-1, 6.503977E-3
659.104000, 1.070368E-1, 4.051807E-3
659.105000, 8.211163E-2, 5.837662E-3
659.106000, 1.211661E-1, 4.034688E-3
659.107000, 1.260874E-1, 2.525662E-3
659.108000, 5.365903E-2, 1.281598E-3
, , 
659.109000, 4.092403E-2, 8.376063E-3
659.110000, 7.572635E-2, 2.319713E-3
659.111000, 1.320084E-1, 7.414983E-3
659.112000, 6.396970E-2, 5.446901E-3
659.113000, 3.020993E-2, 4.884579E-3
659.114000, 3.502017E-2, 5.188257E-3
659.115000, 9.693911E-3, 5.118230E-3
659.116000, 6.953501E-3, 3.670916E-3
659.117000, 3.780594E-2, 2.460753E-3
659.118000, 1.431940E-1, 1.463278E-3
659.119000, 2.856091E-2, 7.995597E-3
659.120000, 4.058334E-2, 5.795500E-3
659.121000, 6.523329E-2, 4.728065E-3
659.122000, 3.062134E-2, 5.188855E-3
659.123000, 6.758572E-3, 5.241018E-3
659.124000, 7.830181E-2, 4.762999E-3
659.125000, 1.285704E-1, 5.586443E-3
659.126000, 1.867937E-1, 4.159742E-3
659.127000, 2.820382E-1, 5.699884E-3
659.128000, 8.688217E-2, 3.871783E-3
659.129000, 5.819471E-2, 2.342420E-3
659.130000, 1.352689E-2, 1.082775E-3
659.131000, 4.197949E-2, 8.585833E-3
659.132000, 2.648027E-2, 6.547626E-3
659.133000, 8.929927E-2, 4.793725E-3
659.134000, 1.505697E-1, 3.299522E-3
659.135000, 2.202254E-2, 6.609541E-3
659.136000, 4.016503E-3, 4.813865E-3
659.137000, 1.512137E-3, 3.301082E-3
659.138000, 2.941589E-2, 6.607622E-3
659.139000, 2.720847E-3, 4.796543E-3
659.140000, 3.626293E-2, 3.256842E-3
659.141000, 9.099321E-2, 1.963930E-3
, , 
659.142000, 1.197374E-1, 8.943223E-4
659.143000, 5.782154E-1, 2.564647E-5
659.144000, 3.626123E-1, 6.633505E-4
659.145000, 3.014349E-1, 1.192794E-3
659.146000, 1.102463E-1, 1.023273E-2
659.147000, 6.776086E-1, 7.659014E-3
659.148000, 5.592695E-1, 3.196375E-3
659.149000, 6.148964E-2, 2.223839E-3
659.150000, 1.001689E-1, 1.420689E-3
659.151000, 3.068188E-1, 7.685190E-4
659.152000, 6.795958E-2, 2.500514E-4
659.153000, 2.542370E-1, 8.801933E-3
659.154000, 3.043466E-1, 6.260498E-3
659.155000, 5.026707E-2, 4.105946E-3
659.156000, 1.418021E-2, 6.347833E-3
659.157000, 7.946180E-2, 3.658670E-3
659.158000, 9.354366E-2, 6.665937E-3
659.159000, 2.603916E-1, 5.195816E-3
659.160000, 3.385073E-1, 3.928723E-3
659.161000, 2.700529E-1, 2.846520E-3
659.162000, 2.191385E-1, 6.719055E-3
659.163000, 1.821152E-1, 4.642291E-3
659.164000, 1.472083E-1, 2.904909E-3
659.165000, 1.146208E-1, 7.177603E-3
659.166000, 1.191365E-1, 5.495017E-3
659.167000, 9.756199E-2, 4.043727E-3
659.168000, 4.297915E-1, 2.804130E-3
659.169000, 4.460805E-1, 1.757460E-3
659.170000, 1.973358E-1, 8.857935E-4
659.171000, 1.614835E-2, 1.720445E-4
659.172000, 1.779323E-1, 9.051090E-3
659.173000, 7.451849E-1, 6.657016E-3
659.174000, 5.377935E-1, 4.626622E-3
, , 
659.175000, 3.682932E-1, 5.725399E-3
659.176000, 5.089730E-1, 4.289595E-3
659.177000, 2.499463E-1, 3.063135E-3
659.178000, 4.226283E-2, 2.027194E-3
659.179000, 5.044471E-2, 1.163806E-3
659.180000, 6.490758E-2, 8.195187E-3
659.181000, 2.967789E-2, 5.924022E-3
659.182000, 8.583474E-2, 4.004390E-3
659.183000, 1.849313E-2, 6.248240E-3
659.184000, 8.669612E-2, 4.723665E-3
659.185000, 1.343285E-1, 3.418330E-3
659.186000, 1.040062E-1, 6.338341E-3
659.187000, 7.047129E-2, 4.228065E-3
659.188000, 1.137679E-1, 2.991472E-3
659.189000, 1.234755E-1, 1.949317E-3
659.190000, 3.881743E-2, 7.567976E-3
659.191000, 8.887380E-2, 5.436027E-3
659.192000, 1.691724E-2, 5.013179E-3
659.193000, 1.112252E-1, 3.669802E-3
659.194000, 1.561155E-1, 2.530687E-3
659.195000, 6.751044E-2, 1.576742E-3
659.196000, 6.175490E-2, 7.897951E-4
659.197000, 8.460151E-2, 8.498460E-3
659.198000, 6.416544E-2, 2.488706E-3
659.199000, 1.171187E-1, 7.023486E-3
659.200000, 1.508623E-1, 4.893214E-3
659.201000, 2.292497E-1, 3.102905E-3
659.202000, 5.830802E-2, 1.619767E-3
659.203000, 1.801706E-2, 8.238415E-3
659.204000, 2.145306E-2, 6.359165E-3
659.205000, 7.335930E-2, 4.736696E-3
659.206000, 2.763225E-2, 3.349285E-3
659.207000, 7.794382E-2, 6.474924E-3
, , 
659.208000, 1.178647E-1, 4.613818E-3
659.209000, 3.042900E-2, 3.052682E-3
659.210000, 1.953842E-2, 6.889476E-3
659.211000, 4.688582E-2, 5.098973E-3
659.212000, 3.981182E-2, 3.568836E-3
659.213000, 6.007240E-2, 6.374858E-3
659.214000, 6.426552E-2, 4.039036E-3
659.215000, 8.241411E-2, 5.969794E-3
659.216000, 9.214408E-2, 4.265000E-3
659.217000, 6.034274E-2, 2.834409E-3
659.218000, 6.899023E-2, 1.650537E-3
659.219000, 3.677716E-2, 6.874296E-4
659.220000, 1.962044E-2, 8.730414E-3
659.221000, 3.412322E-3, 6.483943E-3
659.222000, 3.837920E-2, 4.560952E-3
659.223000, 8.030735E-2, 2.933485E-3
659.224000, 4.801439E-2, 1.574698E-3
659.225000, 2.467215E-2, 8.192168E-3
659.226000, 1.329665E-1, 6.249657E-3
659.227000, 9.419048E-2, 4.063595E-3
659.228000, 4.517578E-2, 6.019657E-3
659.229000, 3.403045E-2, 4.284444E-3
659.230000, 1.452941E-3, 2.842763E-3
659.231000, 1.827697E-2, 1.646048E-3
659.232000, 5.113996E-3, 6.694629E-4
659.233000, 4.187871E-3, 1.105380E-4
659.234000, 2.794565E-2, 9.367262E-3
659.235000, 3.497862E-2, 6.979661E-3
659.236000, 1.377895E-2, 3.717349E-3
659.237000, 2.260812E-2, 2.611400E-3
659.238000, 2.574844E-1, 6.953861E-3
659.239000, 8.014283E-1, 3.793765E-3
659.240000, 6.768782E-1, 2.726384E-3
, , 
659.241000, 2.118104E-1, 1.839995E-3
659.242000, 4.274157E-1, 7.536058E-3
659.243000, 1.604065E+0, 5.278134E-3
659.244000, 1.906083E+0, 3.369705E-3
659.245000, 3.708317E-1, 6.872303E-3
659.246000, 1.540572E-2, 3.314529E-3
659.247000, 1.120090E-1, 1.792652E-3
659.248000, 2.122901E-1, 5.485695E-4
659.249000, 3.190198E-1, 9.097665E-3
659.250000, 3.727977E-1, 1.619591E-3
659.251000, 4.627222E-1, 5.660961E-4
659.252000, 5.123716E-1, 2.682565E-4
659.253000, 6.153371E-1, 9.088998E-4
659.254000, 6.889355E-1, 1.379734E-3
659.255000, 9.428281E-1, 1.703123E-3
659.256000, 5.838748E-1, 1.055095E-2
659.257000, 1.340603E-1, 7.800530E-3
659.258000, 6.828999E-1, 5.435977E-3
659.259000, 1.526859E+0, 5.225425E-3
659.260000, 1.515950E+0, 4.072250E-3
659.261000, 2.342348E-1, 3.100274E-3
659.262000, 6.365367E-2, 2.289824E-3
659.263000, 1.856092E-1, 1.622588E-3
659.264000, 2.009908E-1, 7.569480E-3
659.265000, 5.538368E-1, 5.160090E-3
659.266000, 5.865562E-1, 3.130045E-3
659.267000, 3.848593E-1, 1.444660E-3
659.268000, 1.253551E-1, 7.066061E-5
659.269000, 4.247993E-1, 9.674829E-3
659.270000, 6.303504E-1, 9.709225E-4
659.271000, 9.045068E-2, 1.291969E-4
659.272000, 1.996994E-1, 9.881065E-4
659.273000, 7.947929E-2, 1.028503E-2
, , 
659.274000, 3.270077E-2, 7.465547E-4
659.275000, 8.396126E-2, 2.657379E-5
659.276000, 1.079383E-1, 6.133498E-4
659.277000, 1.107043E-1, 9.688950E-3
659.278000, 1.148374E-1, 7.133836E-3
659.279000, 9.320697E-2, 4.935139E-3
659.280000, 1.882320E-2, 5.586991E-3
659.281000, 3.856004E-2, 4.332644E-3
659.282000, 2.056413E-2, 6.092219E-3
659.283000, 1.068416E-3, 4.731161E-3
659.284000, 1.483830E-1, 5.073155E-3
659.285000, 2.455632E-1, 3.200390E-3
659.286000, 5.723199E-2, 1.637100E-3
659.287000, 1.211016E-1, 8.296900E-3
659.288000, 3.966560E-1, 6.487532E-3
659.289000, 7.285845E-1, 4.927792E-3
659.290000, 3.130211E-1, 3.595092E-3
659.291000, 4.265315E-2, 2.468075E-3
659.292000, 1.549370E-1, 1.526575E-3
659.293000, 3.601747E-1, 7.899463E-3
659.294000, 2.314788E-1, 5.685909E-3
659.295000, 9.207360E-2, 3.815850E-3
659.296000, 4.129659E-1, 6.394055E-3
659.297000, 1.096765E+0, 4.832598E-3
659.298000, 4.807331E-1, 3.495375E-3
659.299000, 5.097018E-2, 2.362151E-3
659.300000, 3.689849E-1, 1.413694E-3
659.301000, 3.448361E-1, 6.317575E-4
659.302000, 2.646156E-1, 8.651982E-3
659.303000, 4.269264E-2, 6.311830E-3
659.304000, 3.321707E-1, 4.329459E-3
659.305000, 1.498789E-1, 5.979753E-3
659.306000, 2.359597E-1, 4.505758E-3
, , 
659.307000, 3.004987E-1, 3.245210E-3
659.308000, 2.942442E-1, 6.472217E-3
659.309000, 4.179137E-1, 4.128178E-3
659.310000, 3.941911E-1, 5.730421E-3
659.311000, 1.943768E-1, 3.908243E-3
659.312000, 8.980543E-2, 2.389782E-3
659.313000, 4.393562E-1, 7.506724E-3
659.314000, 3.167746E-1, 5.668341E-3
659.315000, 4.875092E-2, 4.088811E-3
659.316000, 1.307021E-1, 5.905112E-3
659.317000, 1.600899E-1, 4.458355E-3
659.318000, 1.919984E-1, 3.050543E-3
659.319000, 4.398702E-1, 1.866340E-3
659.320000, 9.515545E-1, 7.766323E-3
659.321000, 4.144742E-1, 5.725505E-3
659.322000, 2.526968E-2, 3.996615E-3
659.323000, 6.530445E-1, 2.549790E-3
659.324000, 1.446866E+0, 7.294331E-3
659.325000, 1.323882E+0, 5.420501E-3
659.326000, 3.759345E-1, 3.820263E-3
659.327000, 1.741401E-1, 2.469340E-3
659.328000, 3.180818E-1, 9.995553E-3
659.329000, 3.094311E-1, 2.416330E-3
659.330000, 2.421401E-1, 1.133015E-2
659.331000, 3.597766E-1, 8.638216E-3
659.332000, 3.269372E-1, 6.323242E-3
659.333000, 2.810520E-1, 4.352533E-3
659.334000, 4.948952E-1, 5.956208E-3
659.335000, 4.685929E-1, 4.160279E-3
659.336000, 2.077245E-1, 6.085732E-3
659.337000, 1.329414E-2, 4.564842E-3
659.338000, 3.242710E-1, 3.271378E-3
659.339000, 7.057058E-1, 6.467144E-3
, , 
659.340000, 1.728958E-1, 4.529056E-3
659.341000, 8.664299E-2, 5.751126E-3
659.342000, 3.512918E-1, 4.261210E-3
659.343000, 2.754688E-1, 2.995852E-3
659.344000, 1.719994E-2, 6.717127E-3
659.345000, 9.292344E-2, 3.895270E-3
659.346000, 7.394903E-2, 2.705725E-3
659.347000, 5.783986E-2, 6.940461E-3
659.348000, 4.430430E-2, 4.920731E-3
659.349000, 7.635053E-2, 3.219806E-3
659.350000, 5.959159E-2, 6.843986E-3
659.351000, 1.405352E-3, 5.157743E-3
659.352000, 6.303468E-2, 3.715366E-3
659.353000, 9.642945E-3, 2.494935E-3
659.354000, 5.612615E-3, 1.475556E-3
659.355000, 1.132003E-2, 9.288417E-3
659.356000, 1.086952E-2, 1.152944E-2
659.357000, 8.823266E-3, 8.745499E-3
659.358000, 3.264423E-2, 6.357192E-3
659.359000, 1.328305E-2, 4.321284E-3
659.360000, 1.043463E-2, 3.181133E-3
659.361000, 1.026525E-2, 2.220338E-3
659.362000, 7.110143E-3, 1.421033E-3
659.363000, 1.588572E-2, 7.663481E-4
659.364000, 2.356743E-3, 2.403984E-4
659.365000, 3.711264E-2, 1.717253E-4
659.366000, 4.700977E-2, 9.135023E-3
659.367000, 1.768047E-2, 6.520492E-3
659.368000, 4.607406E-3, 4.306515E-3
659.369000, 2.976240E-2, 2.456265E-3
659.370000, 3.792482E-2, 9.345653E-4
659.371000, 1.601201E-2, 8.943140E-3
659.372000, 7.061586E-4, 1.584392E-3
, , 
659.373000, 4.347925E-3, 8.272324E-3
659.374000, 5.308960E-2, 2.265680E-3
659.375000, 5.756033E-2, 1.060875E-3
659.376000, 3.211149E-2, 1.000946E-4
659.377000, 1.205785E-2, 6.449325E-4
659.378000, 1.401190E-2, 1.200731E-3
659.379000, 3.164544E-2, 1.024314E-2
659.380000, 7.695785E-3, 7.653218E-3
659.381000, 1.923230E-2, 5.418631E-3
659.382000, 3.841247E-2, 3.511064E-3
659.383000, 1.029696E-1, 1.903092E-3
659.384000, 1.363331E-1, 8.082836E-3
659.385000, 8.457482E-2, 6.330259E-3
659.386000, 1.795040E-2, 4.830039E-3
659.387000, 3.997371E-2, 5.093353E-3
659.388000, 1.241450E-1, 3.320916E-3
659.389000, 1.449862E-1, 1.840542E-3
659.390000, 4.944402E-2, 6.244316E-4
659.391000, 1.340065E-2, 3.540103E-4
659.392000, 4.126680E-2, 9.771198E-3
659.393000, 2.667945E-2, 7.509222E-3
659.394000, 6.457776E-2, 5.557194E-3
659.395000, 2.748457E-1, 3.888607E-3
659.396000, 4.045620E-1, 6.172891E-3
659.397000, 2.437001E-1, 4.509411E-3
659.398000, 6.992057E-2, 3.110205E-3
659.399000, 2.618710E-1, 6.701992E-3
659.400000, 1.124776E+0, 3.841051E-3
659.401000, 4.749278E-1, 2.607582E-3
659.402000, 6.943800E-2, 7.061196E-3
659.403000, 2.121414E-1, 5.046492E-3
659.404000, 2.183299E-1, 5.314599E-3
659.405000, 6.847126E-2, 3.907592E-3
, , 
659.406000, 1.174697E-2, 2.725130E-3
659.407000, 2.437541E-1, 1.744350E-3
659.408000, 1.058157E-1, 9.437206E-4
659.409000, 2.347737E-1, 3.030215E-4
659.410000, 2.502977E-1, 8.847729E-3
659.411000, 3.988681E-1, 6.384184E-3
659.412000, 4.445341E-1, 4.289074E-3
659.413000, 7.448581E-2, 6.121450E-3
659.414000, 1.376393E-1, 4.736824E-3
659.415000, 2.090402E-1, 3.553430E-3
659.416000, 6.513418E-1, 6.099112E-3
659.417000, 4.002347E-2, 4.554050E-3
659.418000, 1.692491E-1, 3.387477E-3
659.419000, 1.599475E-2, 2.399420E-3
659.420000, 6.154412E-2, 7.078737E-3
659.421000, 4.752673E-2, 4.921537E-3
659.422000, 1.994466E-1, 5.540202E-3
659.423000, 1.783021E-1, 4.197874E-3
659.424000, 5.949580E-2, 3.049594E-3
659.425000, 5.128325E-3, 2.077564E-3
659.426000, 1.676846E-2, 1.264901E-3
659.427000, 4.066439E-2, 5.956230E-4
659.428000, 5.809139E-3, 5.463813E-5
659.429000, 1.158782E-2, 9.023325E-3
659.430000, 1.349203E-2, 6.509622E-3
659.431000, 4.032814E-3, 4.383078E-3
659.432000, 7.328569E-2, 2.607386E-3
659.433000, 4.814485E-1, 1.147962E-3
659.434000, 3.430779E-1, 2.803790E-5
659.435000, 1.185865E-1, 9.602768E-3
659.436000, 2.454317E-1, 7.463575E-3
659.437000, 1.048091E+0, 5.604371E-3
659.438000, 9.843328E-1, 4.003014E-3
, , 
659.439000, 2.000617E-1, 2.638161E-3
659.440000, 2.106655E-2, 7.161780E-3
659.441000, 3.427318E-2, 5.274535E-3
659.442000, 5.572401E-3, 3.685324E-3
659.443000, 1.426908E-1, 6.286822E-3
659.444000, 1.876366E-1, 4.528121E-3
659.445000, 2.155907E-1, 3.031442E-3
659.446000, 2.552870E-1, 1.773698E-3
659.447000, 1.102598E-1, 7.327237E-4
659.448000, 1.704683E-1, 1.127031E-4
659.449000, 1.740524E-1, 9.433895E-3
659.450000, 2.084705E-1, 7.108125E-3
659.451000, 1.644343E-1, 5.119982E-3
659.452000, 1.690106E-1, 5.212320E-3
659.453000, 4.413431E-1, 4.875057E-3
659.454000, 4.596760E-1, 3.246070E-3
659.455000, 2.748528E-1, 6.762270E-3
659.456000, 1.497429E-2, 5.035276E-3
659.457000, 5.757138E-1, 5.085943E-3
659.458000, 8.459062E-1, 3.482972E-3
659.459000, 1.739577E-2, 2.144620E-3
659.460000, 2.564714E-1, 1.044290E-3
659.461000, 8.586912E-3, 8.494234E-3
659.462000, 7.262800E-1, 6.352684E-3
659.463000, 9.973266E-1, 4.131360E-3
659.464000, 2.515436E-1, 5.808086E-3
659.465000, 2.168387E-1, 4.036782E-3
659.466000, 2.047179E-1, 2.544273E-3
