Time (s), Filtered Data By Channel
0.137000, 3.683106E+0, 5.448895E-3
0.138000, 5.576650E+0, 4.020133E-3
0.139000, 4.613425E+0, 2.807317E-3
0.140000, 2.311285E+0, 1.789839E-3
0.141000, 4.472268E+0, 7.702841E-3
0.142000, 2.968804E+0, 3.103942E-3
0.143000, 2.332402E+0, 2.084555E-3
0.144000, 4.620755E+0, 1.237045E-3
0.145000, 2.326107E+0, 8.107401E-3
0.146000, 2.630447E+0, 2.827542E-3
0.147000, 1.963569E+0, 1.917833E-3
0.148000, 4.352772E+0, 1.163049E-3
0.149000, 1.569321E+0, 5.469012E-4
0.150000, 5.255790E+0, 8.596986E-3
0.151000, 8.958479E-1, 6.140977E-3
0.152000, 3.677712E+0, 4.064825E-3
0.153000, 3.800069E-1, 6.317994E-3
0.154000, 5.979439E+0, 4.899301E-3
0.155000, 4.124194E+0, 4.973476E-3
0.156000, 2.919158E-1, 3.175826E-3
0.157000, 1.102795E+0, 6.960358E-3
0.158000, 1.637856E-2, 5.325274E-3
0.159000, 1.140371E+0, 4.735320E-3
0.160000, 5.977437E-1, 3.098629E-3
0.161000, 2.880282E+0, 1.749351E-3
0.162000, 5.129650E+0, 6.570637E-4
0.163000, 3.564991E+0, 8.857985E-3
0.164000, 1.203392E+0, 1.970285E-3
, , 
0.165000, 2.148586E+0, 7.642764E-3
0.166000, 5.041894E+0, 5.564390E-3
0.167000, 1.673608E+0, 3.785341E-3
0.168000, 5.779038E+0, 2.280399E-3
0.169000, 1.669360E+0, 7.625798E-3
0.170000, 1.777810E+0, 5.814624E-3
0.171000, 1.125621E+0, 4.274814E-3
0.172000, 2.712674E-1, 5.671239E-3
0.173000, 3.351680E+0, 4.744502E-3
0.174000, 2.797053E+0, 3.390198E-3
0.175000, 1.117699E+0, 6.392952E-3
0.176000, 1.103295E+0, 4.164954E-3
0.177000, 1.677231E+0, 5.717201E-3
0.178000, 2.804965E+0, 4.747578E-3
0.179000, 3.746642E-1, 3.429415E-3
0.180000, 3.822736E+0, 2.322380E-3
0.181000, 2.795291E+0, 7.246060E-3
0.182000, 2.767975E+0, 5.154110E-3
0.183000, 7.455850E-2, 5.264003E-3
0.184000, 5.591030E+0, 3.896517E-3
0.185000, 5.929123E+0, 5.912419E-3
0.186000, 2.256193E+0, 4.041276E-3
0.187000, 1.212641E+0, 6.175358E-3
0.188000, 2.144179E+0, 4.625268E-3
0.189000, 1.137861E+0, 5.347936E-3
0.190000, 8.142861E-1, 3.623346E-3
0.191000, 2.140557E+0, 2.187298E-3
0.192000, 2.485228E+0, 7.640283E-3
0.193000, 8.345698E-1, 5.744918E-3
0.194000, 2.932830E+0, 4.532115E-3
0.195000, 4.362196E+0, 5.578759E-3
0.196000, 1.921292E+0, 4.704285E-3
0.197000, 2.643386E+0, 5.404690E-3
, , 
0.198000, 2.117905E+0, 3.774428E-3
0.199000, 8.868615E-1, 2.397334E-3
0.200000, 7.499887E+0, 7.401045E-3
0.201000, 5.794469E+0, 5.501054E-3
0.202000, 2.894034E+0, 4.760761E-3
0.203000, 4.674257E-1, 5.380885E-3
0.204000, 2.787685E+0, 3.791366E-3
0.205000, 9.801610E-1, 2.460133E-3
0.206000, 9.630116E-2, 1.361229E-3
0.207000, 2.005199E-2, 8.180923E-3
0.208000, 1.522670E+0, 6.047425E-3
0.209000, 1.303429E+0, 4.226299E-3
0.210000, 2.964902E+0, 5.961180E-3
0.211000, 3.616115E+0, 4.251554E-3
0.212000, 2.318163E+0, 2.730877E-3
0.213000, 1.081779E+0, 7.184057E-3
0.214000, 2.509931E+0, 3.274387E-3
0.215000, 1.035069E+0, 6.677346E-3
0.216000, 5.166029E+0, 3.745175E-3
0.217000, 9.322100E-1, 6.241635E-3
0.218000, 3.741306E+0, 4.146652E-3
0.219000, 3.888582E+0, 2.777526E-3
0.220000, 2.831481E+0, 7.008656E-3
0.221000, 6.184029E+0, 3.557028E-3
0.222000, 4.986920E+0, 2.343435E-3
0.223000, 1.073324E+0, 7.307701E-3
0.224000, 1.541749E+0, 5.277127E-3
0.225000, 8.541872E-1, 5.098451E-3
0.226000, 1.448227E+0, 3.704874E-3
0.227000, 1.168149E-1, 6.116000E-3
0.228000, 3.734224E+0, 4.244821E-3
0.229000, 2.707279E+0, 2.669279E-3
0.230000, 5.218198E-1, 1.361501E-3
, , 
0.231000, 1.591727E+0, 8.356145E-3
0.232000, 9.635086E-1, 2.284131E-3
0.233000, 2.126806E-1, 1.150058E-3
0.234000, 6.802423E-1, 2.333212E-4
0.235000, 3.317231E+0, 9.140959E-3
0.236000, 4.814736E+0, 1.797795E-3
0.237000, 3.170793E+0, 7.730917E-3
0.238000, 1.710544E+0, 3.060484E-3
0.239000, 7.043059E+0, 6.608352E-3
0.240000, 4.378781E+0, 4.600757E-3
0.241000, 3.184948E+0, 2.903900E-3
0.242000, 2.196778E+0, 7.161721E-3
0.243000, 6.542475E-1, 5.481314E-3
0.244000, 1.153162E-1, 4.047147E-3
0.245000, 2.208098E+0, 5.815138E-3
0.246000, 4.624807E+0, 4.665469E-3
0.247000, 3.097465E+0, 3.359842E-3
0.248000, 1.112926E+0, 2.262698E-3
0.249000, 1.068014E+0, 7.297945E-3
0.250000, 8.759710E-2, 3.451231E-3
0.251000, 4.813814E+0, 2.383336E-3
0.252000, 5.145333E+0, 1.495257E-3
0.253000, 4.214796E+0, 7.681668E-4
0.254000, 4.197079E-2, 1.843600E-4
0.255000, 2.769698E-1, 2.727648E-4
0.256000, 1.123899E+0, 6.187231E-4
0.257000, 1.228883E+0, 8.679640E-4
0.258000, 2.124660E+0, 1.033889E-3
0.259000, 3.819725E+0, 9.779931E-3
0.260000, 5.125938E+0, 1.675590E-3
0.261000, 3.692122E+0, 1.213948E-3
0.262000, 2.365695E+0, 8.399891E-4
0.263000, 4.614114E-1, 5.426245E-4
, , 
0.264000, 2.688606E+0, 8.339399E-3
0.265000, 7.115941E+0, 2.977628E-3
0.266000, 5.599591E+0, 6.274194E-3
0.267000, 3.144228E+0, 4.704749E-3
0.268000, 2.344503E+0, 4.854458E-3
0.269000, 3.873006E+0, 5.846717E-3
0.270000, 4.328948E+0, 4.689261E-3
0.271000, 1.990326E+0, 3.677436E-3
0.272000, 3.804131E+0, 2.799277E-3
0.273000, 1.906037E+0, 6.607636E-3
0.274000, 1.530169E+0, 4.238958E-3
0.275000, 3.123299E-1, 3.220497E-3
0.276000, 6.803092E-1, 2.341576E-3
0.277000, 5.750434E-1, 7.060593E-3
0.278000, 8.249582E-1, 4.855231E-3
0.279000, 2.606985E+0, 5.631676E-3
0.280000, 2.624681E+0, 4.295883E-3
0.281000, 9.274404E-1, 3.139412E-3
0.282000, 6.712981E-1, 6.503120E-3
0.283000, 2.745680E-1, 4.503537E-3
0.284000, 1.913182E+0, 5.809576E-3
0.285000, 1.646836E+0, 4.329398E-3
