Time, Activation By Channel (% of MVC)
141.570000, 9.236383E-2, 1.409125E+0
141.571000, 4.135082E-2, 1.409125E+0
141.572000, 6.175602E-2, 1.398929E+0
141.573000, 5.155342E-2, 1.398929E+0
141.574000, 3.114822E-2, 1.398929E+0
141.575000, 5.155342E-2, 1.398929E+0
141.576000, 4.135082E-2, 1.398929E+0
141.577000, 6.175602E-2, 1.398929E+0
141.578000, 8.216122E-2, 1.409125E+0
141.579000, 8.216122E-2, 1.398929E+0
141.580000, 7.195862E-2, 1.409125E+0
141.581000, 1.025664E-1, 1.398929E+0
141.582000, 9.236383E-2, 1.409125E+0
141.583000, 1.127690E-1, 1.398929E+0
141.584000, 9.236383E-2, 1.409125E+0
141.585000, 1.127690E-1, 1.398929E+0
141.586000, 9.236383E-2, 1.409125E+0
141.587000, 6.175602E-2, 1.398929E+0
141.588000, 5.155342E-2, 1.398929E+0
141.589000, 5.155342E-2, 1.409125E+0
141.590000, 5.155342E-2, 1.398929E+0
141.591000, 7.195862E-2, 1.398929E+0
141.592000, 6.175602E-2, 1.398929E+0
141.593000, 6.175602E-2, 1.409125E+0
141.594000, 5.155342E-2, 1.398929E+0
141.595000, 6.175602E-2, 1.409125E+0
141.596000, 9.236383E-2, 1.398929E+0
141.597000, 7.195862E-2, 1.409125E+0
141.598000, 9.236383E-2, 1.398929E+0
141.599000, 9.236383E-2, 1.409125E+0
141.600000, 8.216122E-2, 1.398929E+0
141.601000, 8.216122E-2, 1.409125E+0
141.602000, 5.155342E-2, 1.398929E+0
, , 
141.603000, 3.114822E-2, 1.398929E+0
141.604000, 4.135082E-2, 1.409125E+0
141.605000, 4.135082E-2, 1.398929E+0
141.606000, 4.135082E-2, 1.409125E+0
141.607000, 5.155342E-2, 1.409125E+0
141.608000, 5.155342E-2, 1.409125E+0
141.609000, 4.135082E-2, 1.409125E+0
141.610000, 8.216122E-2, 1.409125E+0
141.611000, 7.195862E-2, 1.409125E+0
141.612000, 8.216122E-2, 1.409125E+0
141.613000, 8.216122E-2, 1.398929E+0
141.614000, 1.229716E-1, 1.398929E+0
141.615000, 1.229716E-1, 1.398929E+0
141.616000, 1.025664E-1, 1.398929E+0
141.617000, 7.195862E-2, 1.409125E+0
141.618000, 1.025664E-1, 1.398929E+0
141.619000, 1.127690E-1, 1.409125E+0
141.620000, 9.236383E-2, 1.398929E+0
141.621000, 7.195862E-2, 1.409125E+0
141.622000, 6.175602E-2, 1.398929E+0
141.623000, 6.175602E-2, 1.398929E+0
141.624000, 6.175602E-2, 1.398929E+0
141.625000, 4.135082E-2, 1.398929E+0
141.626000, 6.175602E-2, 1.409125E+0
141.627000, 6.175602E-2, 1.398929E+0
141.628000, 6.175602E-2, 1.398929E+0
141.629000, 5.155342E-2, 1.398929E+0
141.630000, 7.195862E-2, 1.398929E+0
141.631000, 8.216122E-2, 1.398929E+0
141.632000, 1.127690E-1, 1.409125E+0
141.633000, 1.127690E-1, 1.398929E+0
141.634000, 1.127690E-1, 1.409125E+0
