Time, Activation By Channel (% of MVC)
, , 
1213.509000, 1.943898E-1, 1.398929E+0
1213.510000, 1.943898E-1, 1.398929E+0
1213.511000, 5.155342E-2, 1.398929E+0
1213.512000, 9.236383E-2, 1.409125E+0
1213.513000, 8.216122E-2, 1.398929E+0
1213.514000, 1.127690E-1, 1.409125E+0
1213.515000, 2.454029E-1, 1.398929E+0
1213.516000, 4.086445E-1, 1.409125E+0
1213.517000, 2.454029E-1, 1.398929E+0
1213.518000, 2.658081E-1, 1.409125E+0
1213.519000, 1.841872E-1, 1.398929E+0
1213.520000, 5.155342E-2, 1.409125E+0
1213.521000, 1.074301E-2, 1.398929E+0
1213.522000, 3.114822E-2, 1.398929E+0
1213.523000, 5.404097E-4, 1.398929E+0
1213.524000, 1.127690E-1, 1.409125E+0
1213.525000, 1.127690E-1, 1.398929E+0
1213.526000, 8.216122E-2, 1.398929E+0
1213.527000, -1.986479E-2, 1.409125E+0
1213.528000, -5.047260E-2, 1.398929E+0
1213.529000, -4.027000E-2, 1.409125E+0
1213.530000, -9.662192E-3, 1.398929E+0
1213.531000, -6.067520E-2, 1.409125E+0
1213.532000, -7.087780E-2, 1.398929E+0
1213.533000, -3.006740E-2, 1.409125E+0
1213.534000, 3.114822E-2, 1.398929E+0
1213.535000, 1.127690E-1, 1.409125E+0
1213.536000, 5.155342E-2, 1.398929E+0
1213.537000, -2.749298E-1, 1.409125E+0
1213.538000, -3.463481E-1, 1.409125E+0
1213.539000, -3.157402E-1, 1.409125E+0
1213.540000, -3.006740E-2, 1.398929E+0
1213.541000, 6.331017E-1, 1.409125E+0
, , 
1213.542000, 3.168211E-1, 1.398929E+0
1213.543000, -2.137142E-1, 1.409125E+0
1213.544000, -2.035116E-1, 1.398929E+0
1213.545000, -1.422960E-1, 1.409125E+0
1213.546000, 5.404097E-4, 1.398929E+0
1213.547000, 4.494549E-1, 1.409125E+0
1213.548000, 2.658081E-1, 1.398929E+0
1213.549000, 7.195862E-2, 1.409125E+0
1213.550000, 8.216122E-2, 1.398929E+0
1213.551000, 2.249977E-1, 1.409125E+0
1213.552000, -1.831064E-1, 1.409125E+0
1213.553000, -3.667533E-1, 1.409125E+0
1213.554000, -3.157402E-1, 1.409125E+0
1213.555000, 3.474289E-1, 1.398929E+0
1213.556000, 1.102421E+0, 1.409125E+0
1213.557000, 6.126965E-1, 1.409125E+0
1213.558000, 1.739846E-1, 1.409125E+0
1213.559000, 3.114822E-2, 1.398929E+0
1213.560000, 5.155342E-2, 1.409125E+0
1213.561000, 6.175602E-2, 1.398929E+0
1213.562000, 1.637820E-1, 1.409125E+0
1213.563000, 2.658081E-1, 1.398929E+0
1213.564000, 1.637820E-1, 1.409125E+0
1213.565000, 8.216122E-2, 1.398929E+0
1213.566000, -3.157402E-1, 1.409125E+0
1213.567000, -9.176938E-1, 1.398929E+0
1213.568000, -1.060530E+0, 1.409125E+0
1213.569000, -9.687068E-1, 1.398929E+0
1213.570000, -2.443220E-1, 1.409125E+0
1213.571000, 1.653362E+0, 1.398929E+0
