Time (s), Filtered Data By Channel
0.170000, 3.725477E-1, 5.251638E-3
0.171000, 2.663969E-1, 5.152930E-3
0.172000, 7.624019E-2, 3.767532E-3
0.173000, 5.390015E-1, 2.589309E-3
0.174000, 5.290242E-1, 1.599408E-3
0.175000, 1.163690E+0, 7.798376E-4
0.176000, 1.078707E-1, 8.537583E-3
0.177000, 6.529936E-1, 2.423940E-3
0.178000, 3.197757E-1, 7.110353E-3
0.179000, 4.583245E-1, 3.652382E-3
0.180000, 1.058381E+0, 2.587643E-3
0.181000, 3.992206E-2, 1.694433E-3
0.182000, 1.074955E+0, 9.557930E-4
0.183000, 7.728533E-1, 3.556483E-4
0.184000, 8.876700E-2, 8.772238E-3
0.185000, 1.555811E+0, 2.350890E-3
0.186000, 5.483612E-1, 7.047761E-3
0.187000, 3.090686E+0, 3.826626E-3
0.188000, 1.295725E+0, 5.799544E-3
0.189000, 1.151407E+0, 3.783328E-3
0.190000, 3.488864E-1, 6.544961E-3
0.191000, 1.267337E-1, 5.077095E-3
0.192000, 2.147432E-1, 3.811460E-3
0.193000, 2.443232E-1, 2.730420E-3
0.194000, 9.307038E-1, 6.833887E-3
0.195000, 7.313009E-1, 1.254666E-2
0.196000, 1.433616E+0, 4.450884E-5
0.197000, 1.773087E-1, 9.150185E-3
, , 
0.198000, 9.818109E-2, 1.992265E-3
0.199000, 5.626086E-1, 7.389304E-3
0.200000, 1.402117E-1, 3.500489E-3
0.201000, 2.310394E-1, 2.539589E-3
0.202000, 3.180841E-1, 6.921705E-3
0.203000, 4.630913E-1, 3.894950E-3
0.204000, 6.172420E-1, 2.867303E-3
0.205000, 2.492246E-1, 6.654563E-3
0.206000, 2.190782E-1, 4.107473E-3
0.207000, 6.087917E-1, 5.620137E-3
0.208000, 1.142690E+0, 4.956551E-3
0.209000, 5.419942E-1, 4.937038E-3
0.210000, 1.627849E+0, 3.159052E-3
0.211000, 1.329275E+0, 6.958997E-3
0.212000, 1.649076E-1, 5.307597E-3
0.213000, 2.373503E+0, 3.883755E-3
0.214000, 7.906098E-1, 2.668391E-3
0.215000, 5.166850E-1, 1.643186E-3
0.216000, 3.369421E-1, 7.905902E-4
0.217000, 2.217584E-1, 9.383331E-5
0.218000, 1.177048E+0, 9.114124E-3
0.219000, 2.118804E+0, 1.944584E-3
0.220000, 2.838885E-1, 7.503804E-3
0.221000, 3.816629E-1, 5.316561E-3
0.222000, 1.250535E+0, 3.475314E-3
0.223000, 1.947345E+0, 1.946565E-3
0.224000, 5.729873E-2, 7.952521E-3
0.225000, 2.276783E-2, 6.110008E-3
0.226000, 6.497814E-1, 4.130477E-3
0.227000, 1.237508E+0, 6.002806E-3
