Time (s), Activation By Channel (% of MVC)
39.666000, 7.596839E-2, 4.355698E-3
39.667000, 3.877472E-2, 5.448470E-3
39.668000, 7.550016E-2, 3.589815E-3
39.669000, 4.946001E-2, 6.600566E-3
39.670000, 2.585046E-1, 3.637461E-3
39.671000, 2.181494E-1, 6.486617E-3
39.672000, 1.269378E-1, 4.845857E-3
39.673000, 2.831736E-1, 5.214353E-3
39.674000, 1.159860E-1, 5.079409E-3
39.675000, 3.580859E-2, 3.599965E-3
39.676000, 2.256569E-2, 6.307511E-3
39.677000, 2.949801E-2, 4.130213E-3
39.678000, 5.917385E-2, 2.785805E-3
39.679000, 5.171289E-2, 6.995678E-3
39.680000, 6.897436E-2, 3.558927E-3
39.681000, 1.457856E-2, 6.328791E-3
39.682000, 2.501966E-2, 4.130364E-3
39.683000, 1.656730E-4, 2.808258E-3
39.684000, 2.520085E-2, 6.950762E-3
39.685000, 1.567033E-2, 3.625838E-3
39.686000, 5.083014E-2, 6.240887E-3
39.687000, 9.905647E-2, 4.413244E-3
39.688000, 3.634576E-2, 5.773323E-3
39.689000, 2.090661E-2, 4.205603E-3
39.690000, 2.178089E-1, 5.773889E-3
39.691000, 3.864882E-2, 4.605644E-3
39.692000, 2.060715E-2, 5.436403E-3
39.693000, 4.522659E-2, 1.353819E-2
39.694000, 4.717149E-2, 6.063731E-4
39.695000, 1.067082E-1, 8.780911E-3
39.696000, 6.373766E-2, 2.133005E-3
39.697000, 1.980633E-2, 7.429717E-3
39.698000, 5.187017E-3, 5.330152E-3
, , 
39.699000, 1.854350E-1, 5.097597E-3
39.700000, 4.809266E-2, 4.909294E-3
39.701000, 6.411775E-3, 3.213727E-3
39.702000, 8.005586E-2, 6.848369E-3
39.703000, 1.477322E-1, 3.487658E-3
39.704000, 7.116348E-2, 2.086541E-3
39.705000, 3.819345E-2, 9.371049E-4
39.706000, 5.515485E-2, 1.279020E-5
39.707000, 1.267046E-1, 9.362546E-3
39.708000, 7.966208E-2, 7.070524E-3
39.709000, 1.725567E-1, 3.551434E-3
39.710000, 1.511876E-2, 6.262452E-3
39.711000, 8.200065E-2, 4.377682E-3
39.712000, 7.916440E-2, 5.867563E-3
39.713000, 1.253400E-1, 4.293285E-3
39.714000, 3.107852E-2, 5.924496E-3
39.715000, 2.183069E-2, 4.388794E-3
39.716000, 3.394819E-2, 5.559566E-3
39.717000, 2.471787E-2, 4.848862E-3
39.718000, 6.104533E-2, 5.167576E-3
39.719000, 2.446063E-2, 3.473543E-3
39.720000, 1.273419E-1, 6.593478E-3
39.721000, 1.264695E-1, 3.732532E-3
39.722000, 7.948201E-2, 6.333548E-3
39.723000, 1.294240E-1, 4.659854E-3
39.724000, 1.162613E-1, 5.412684E-3
39.725000, 4.907278E-2, 3.765719E-3
39.726000, 3.699918E-2, 6.263030E-3
39.727000, 1.439082E-2, 4.092780E-3
39.728000, 2.098369E-1, 2.699484E-3
39.729000, 4.746139E-1, 1.547418E-3
39.730000, 1.316069E-1, 6.114491E-4
39.731000, 2.001064E-2, 8.783221E-3
, , 
39.732000, 4.168120E-1, 2.134103E-3
39.733000, 1.016516E-2, 1.234125E-3
39.734000, 1.000834E-1, 8.139512E-3
39.735000, 3.632842E-1, 2.785468E-3
39.736000, 1.876461E-1, 1.881316E-3
39.737000, 6.027807E-2, 7.506810E-3
39.738000, 2.914175E-1, 3.394832E-3
39.739000, 1.019220E-1, 2.459905E-3
39.740000, 2.955521E-1, 6.965082E-3
39.741000, 2.751103E-1, 3.894886E-3
39.742000, 5.026531E-3, 2.914674E-3
39.743000, 3.983969E-1, 2.092957E-3
39.744000, 2.205372E-1, 1.412726E-3
39.745000, 2.918218E-2, 7.792952E-3
39.746000, 7.716257E-2, 3.254198E-3
39.747000, 1.520318E-1, 6.218915E-3
39.748000, 1.484296E-1, 4.068676E-3
39.749000, 1.311641E-1, 6.375412E-3
39.750000, 8.619565E-2, 5.006055E-3
39.751000, 1.260881E-1, 4.828389E-3
39.752000, 5.930873E-2, 5.648605E-3
39.753000, 1.388478E-1, 4.313061E-3
39.754000, 4.287814E-2, 5.486575E-3
39.755000, 6.345748E-3, 3.624819E-3
39.756000, 4.012183E-2, 2.083701E-3
39.757000, 6.223861E-2, 1.647195E-2
39.758000, 1.409067E-2, 3.138390E-3
39.759000, 5.667156E-2, 6.631282E-3
39.760000, 8.465829E-2, 3.921462E-3
39.761000, 2.422306E-1, 5.979667E-3
39.762000, 8.318009E-2, 4.194511E-3
39.763000, 9.821956E-2, 5.943743E-3
39.764000, 4.173088E-1, 4.327117E-3
, , 
39.765000, 1.619105E-1, 2.869692E-3
39.766000, 5.743423E-2, 6.980111E-3
39.767000, 1.438156E-1, 5.108440E-3
39.768000, 1.121056E-1, 3.508056E-3
39.769000, 1.352220E-2, 2.155724E-3
39.770000, 2.848567E-1, 7.621964E-3
39.771000, 1.674753E-1, 2.946592E-3
39.772000, 7.550724E-2, 1.732540E-3
39.773000, 8.970292E-2, 7.920457E-3
39.774000, 4.033637E-2, 2.759496E-3
39.775000, 5.764140E-2, 1.643910E-3
39.776000, 5.622849E-2, 7.923118E-3
39.777000, 4.366696E-2, 5.820251E-3
39.778000, 1.670284E-1, 4.617636E-3
39.779000, 1.700181E-2, 1.192903E-2
39.780000, 5.525993E-2, 6.848255E-4
39.781000, 9.728626E-2, 9.788131E-3
39.782000, 7.430080E-3, 1.377517E-3
39.783000, 4.008331E-2, 6.870975E-4
39.784000, 2.795058E-2, 8.511732E-3
39.785000, 1.744639E-1, 6.094000E-3
39.786000, 3.857258E-3, 4.609103E-3
39.787000, 1.019373E-1, 3.488726E-3
39.788000, 2.615282E-2, 6.108181E-3
39.789000, 4.731309E-2, 4.593669E-3
39.790000, 6.376305E-2, 3.469246E-3
39.791000, 5.548564E-2, 2.517179E-3
39.792000, 1.263022E-1, 6.930776E-3
39.793000, 4.361364E-2, 1.255331E-2
39.794000, 9.640492E-3, 5.285966E-5
39.795000, 1.518858E-1, 8.974776E-3
39.796000, 1.002736E-1, 2.233334E-3
39.797000, 1.013473E-1, 1.556529E-3
, , 
39.798000, 6.190794E-2, 9.976781E-4
39.799000, 1.438104E-1, 5.436926E-4
39.800000, 5.280586E-2, 1.823523E-4
39.801000, 2.294815E-2, 8.748770E-3
39.802000, 1.148271E-1, 6.118217E-3
39.803000, 1.228100E-1, 3.902058E-3
39.804000, 7.975646E-2, 6.589771E-3
39.805000, 1.013471E-2, 5.252480E-3
39.806000, 7.564367E-2, 4.563270E-3
39.807000, 8.243289E-2, 5.921151E-3
39.808000, 1.067926E-1, 4.583690E-3
39.809000, 3.882799E-2, 5.225466E-3
39.810000, 1.240773E-2, 5.271794E-3
39.811000, 1.185879E-1, 3.952851E-3
39.812000, 8.604828E-2, 5.832708E-3
39.813000, 1.933952E-2, 4.692604E-3
39.814000, 1.666864E-2, 3.405529E-3
39.815000, 6.374106E-2, 2.306067E-3
39.816000, 8.936144E-2, 1.378007E-3
39.817000, 1.245588E-1, 8.045267E-3
39.818000, 1.253295E-1, 2.814394E-3
39.819000, 4.128945E-2, 1.834425E-3
39.820000, 4.552886E-1, 7.635494E-3
39.821000, 3.003789E-2, 3.182265E-3
39.822000, 1.534532E-1, 2.164653E-3
39.823000, 1.888301E-1, 7.339097E-3
39.824000, 1.926606E-1, 3.448232E-3
39.825000, 1.174710E-1, 6.247833E-3
39.826000, 5.095860E-2, 4.285344E-3
39.827000, 8.486432E-2, 6.004292E-3
39.828000, 1.278711E-2, 4.511680E-3
39.829000, 1.357403E-1, 5.417077E-3
39.830000, 3.725334E-2, 4.992182E-3
, , 
39.831000, 1.725082E-2, 5.038020E-3
39.832000, 4.931239E-2, 5.282391E-3
39.833000, 1.808763E-1, 3.826084E-3
39.834000, 1.407764E-1, 6.061867E-3
39.835000, 2.460132E-1, 4.391721E-3
39.836000, 1.465080E-1, 3.059517E-3
39.837000, 2.448906E-2, 6.713367E-3
39.838000, 1.172125E-1, 3.846328E-3
39.839000, 1.144731E-1, 2.611391E-3
39.840000, 1.033383E-2, 7.072910E-3
39.841000, 2.275070E-2, 3.566884E-3
39.842000, 1.588713E-1, 2.403796E-3
39.843000, 1.858164E-1, 1.434424E-3
39.844000, 2.988793E-1, 8.011576E-3
39.845000, 2.984600E-1, 5.810516E-3
39.846000, 5.143840E-2, 4.705004E-3
39.847000, 3.358453E-2, 3.424611E-3
39.848000, 8.469745E-2, 6.306355E-3
39.849000, 5.685728E-2, 4.285699E-3
39.850000, 2.865624E-1, 3.073988E-3
39.851000, 8.536625E-2, 6.595706E-3
39.852000, 1.505993E-1, 4.050659E-3
39.853000, 1.300483E-1, 2.886747E-3
39.854000, 2.549270E-1, 1.909841E-3
39.855000, 9.995637E-3, 1.101371E-3
39.856000, 1.186580E-1, 1.685835E-2
39.857000, 1.822509E-1, 5.600212E-3
39.858000, 4.127793E-2, 4.244797E-3
39.859000, 2.192409E-1, 5.561674E-3
39.860000, 2.172119E-1, 4.955099E-3
39.861000, 1.193886E-1, 3.669001E-3
39.862000, 1.215722E-1, 6.073555E-3
39.863000, 2.639620E-1, 4.502054E-3
, , 
39.864000, 2.852913E-1, 3.270023E-3
39.865000, 3.396056E-1, 6.422952E-3
39.866000, 6.837077E-2, 4.198023E-3
39.867000, 1.885806E-2, 3.007391E-3
39.868000, 4.770176E-2, 6.647911E-3
39.869000, 1.802731E-1, 4.007231E-3
39.870000, 1.557325E-1, 5.803584E-3
39.871000, 1.905147E-1, 4.710890E-3
39.872000, 1.646668E-2, 3.424580E-3
39.873000, 7.444314E-2, 6.316113E-3
39.874000, 1.671730E-1, 4.263384E-3
39.875000, 1.348054E-1, 3.037169E-3
39.876000, 1.916752E-1, 6.648185E-3
39.877000, 1.535945E-1, 3.982060E-3
39.878000, 3.075362E-2, 2.802173E-3
39.879000, 6.141188E-2, 6.841104E-3
39.880000, 9.268066E-2, 4.823916E-3
39.881000, 1.217199E-1, 5.521236E-3
39.882000, 8.683427E-2, 4.084004E-3
39.883000, 9.369786E-2, 2.860724E-3
39.884000, 3.472072E-2, 6.819256E-3
39.885000, 8.702921E-3, 3.818440E-3
39.886000, 4.215349E-2, 6.003322E-3
39.887000, 9.946441E-2, 4.145078E-3
39.888000, 8.444155E-2, 6.059445E-3
39.889000, 1.214910E-1, 4.498690E-3
39.890000, 2.258288E-2, 5.483247E-3
39.891000, 1.175731E-1, 4.885926E-3
39.892000, 7.738507E-2, 3.478069E-3
39.893000, 2.404346E-2, 2.288610E-3
39.894000, 6.977556E-2, 1.297084E-3
39.895000, 1.248415E-2, 8.167067E-3
39.896000, 4.021958E-3, 1.132173E-2
, , 
39.897000, 4.240445E-2, 1.155455E-3
39.898000, 2.545313E-2, 1.014364E-2
39.899000, 2.126428E-2, 1.117790E-3
39.900000, 6.019086E-2, 5.059100E-4
39.901000, 1.268747E-1, 8.629656E-3
39.902000, 1.176424E-1, 2.488966E-3
39.903000, 6.764470E-2, 6.911805E-3
39.904000, 9.427538E-2, 4.688897E-3
39.905000, 6.570864E-2, 5.827604E-3
39.906000, 4.163418E-2, 4.121243E-3
39.907000, 5.627420E-2, 6.256435E-3
39.908000, 3.836308E-2, 3.815841E-3
39.909000, 5.890454E-2, 6.453092E-3
39.910000, 1.520749E-2, 4.937066E-3
39.911000, 2.764280E-2, 3.633424E-3
