Time, Activation By Channel (% of MVC)
203.912000, 1.739846E-1, 1.398929E+0
203.913000, 5.404097E-4, 1.409125E+0
203.914000, -1.831064E-1, 1.398929E+0
203.915000, -4.027000E-2, 1.409125E+0
203.916000, 1.331742E-1, 1.409125E+0
203.917000, 1.331742E-1, 1.398929E+0
203.918000, 1.841872E-1, 1.398929E+0
203.919000, 4.135082E-2, 1.398929E+0
203.920000, -1.986479E-2, 1.409125E+0
203.921000, 2.094561E-2, 1.398929E+0
203.922000, 6.175602E-2, 1.409125E+0
203.923000, 4.135082E-2, 1.398929E+0
203.924000, 8.216122E-2, 1.398929E+0
203.925000, 4.135082E-2, 1.398929E+0
203.926000, 5.155342E-2, 1.409125E+0
203.927000, 8.216122E-2, 1.398929E+0
203.928000, 2.045924E-1, 1.409125E+0
203.929000, 1.433768E-1, 1.398929E+0
203.930000, -9.662192E-3, 1.398929E+0
203.931000, 8.216122E-2, 1.398929E+0
203.932000, 1.025664E-1, 1.409125E+0
203.933000, 7.195862E-2, 1.409125E+0
203.934000, 1.229716E-1, 1.398929E+0
203.935000, 1.943898E-1, 1.409125E+0
203.936000, 7.195862E-2, 1.398929E+0
203.937000, 1.127690E-1, 1.409125E+0
203.938000, 1.841872E-1, 1.398929E+0
203.939000, 1.535794E-1, 1.409125E+0
, , 
203.940000, -3.006740E-2, 1.398929E+0
203.941000, -8.108041E-2, 1.398929E+0
203.942000, 3.114822E-2, 1.398929E+0
203.943000, 7.195862E-2, 1.409125E+0
203.944000, 5.155342E-2, 1.398929E+0
203.945000, -3.006740E-2, 1.398929E+0
203.946000, 2.094561E-2, 1.409125E+0
203.947000, 2.454029E-1, 1.409125E+0
203.948000, 1.739846E-1, 1.398929E+0
203.949000, 1.127690E-1, 1.409125E+0
203.950000, -5.047260E-2, 1.409125E+0
203.951000, -4.027000E-2, 1.398929E+0
203.952000, -9.662192E-3, 1.398929E+0
203.953000, 5.155342E-2, 1.409125E+0
203.954000, 1.025664E-1, 1.398929E+0
203.955000, 1.127690E-1, 1.409125E+0
203.956000, 1.127690E-1, 1.398929E+0
203.957000, 8.216122E-2, 1.398929E+0
203.958000, 4.135082E-2, 1.398929E+0
203.959000, 4.135082E-2, 1.398929E+0
203.960000, 5.155342E-2, 1.409125E+0
203.961000, 2.094561E-2, 1.398929E+0
203.962000, 4.135082E-2, 1.398929E+0
203.963000, 8.216122E-2, 1.409125E+0
203.964000, 5.155342E-2, 1.409125E+0
203.965000, 1.535794E-1, 1.398929E+0
203.966000, 1.433768E-1, 1.409125E+0
203.967000, -4.027000E-2, 1.409125E+0
203.968000, -6.067520E-2, 1.398929E+0
203.969000, 2.094561E-2, 1.398929E+0
203.970000, 1.074301E-2, 1.409125E+0
203.971000, 4.135082E-2, 1.398929E+0
203.972000, 6.175602E-2, 1.398929E+0
, , 
203.973000, 8.216122E-2, 1.409125E+0
203.974000, 7.195862E-2, 1.398929E+0
203.975000, 9.236383E-2, 1.409125E+0
203.976000, 1.025664E-1, 1.409125E+0
203.977000, 6.175602E-2, 1.409125E+0
203.978000, 7.195862E-2, 1.398929E+0
203.979000, 1.025664E-1, 1.398929E+0
203.980000, 1.331742E-1, 1.409125E+0
203.981000, -9.662192E-3, 1.398929E+0
203.982000, 5.404097E-4, 1.398929E+0
203.983000, 8.216122E-2, 1.409125E+0
203.984000, 9.236383E-2, 1.409125E+0
203.985000, 8.216122E-2, 1.409125E+0
203.986000, 1.025664E-1, 1.409125E+0
203.987000, 1.433768E-1, 1.409125E+0
203.988000, 9.236383E-2, 1.398929E+0
203.989000, 1.331742E-1, 1.409125E+0
203.990000, 1.535794E-1, 1.409125E+0
203.991000, 1.127690E-1, 1.398929E+0
203.992000, 1.127690E-1, 1.398929E+0
203.993000, -4.027000E-2, 1.398929E+0
203.994000, 2.094561E-2, 1.398929E+0
203.995000, 6.175602E-2, 1.398929E+0
203.996000, 7.195862E-2, 1.398929E+0
203.997000, 9.236383E-2, 1.409125E+0
203.998000, 1.229716E-1, 1.398929E+0
203.999000, 1.637820E-1, 1.398929E+0
204.000000, 1.229716E-1, 1.409125E+0
204.001000, 1.127690E-1, 1.398929E+0
204.002000, 3.114822E-2, 1.409125E+0
204.003000, -9.662192E-3, 1.398929E+0
204.004000, 1.331742E-1, 1.409125E+0
204.005000, 1.739846E-1, 1.398929E+0
, , 
204.006000, 1.025664E-1, 1.409125E+0
204.007000, 5.155342E-2, 1.409125E+0
204.008000, 8.216122E-2, 1.398929E+0
204.009000, 1.127690E-1, 1.398929E+0
204.010000, 4.135082E-2, 1.409125E+0
204.011000, 1.025664E-1, 1.398929E+0
204.012000, -9.662192E-3, 1.398929E+0
204.013000, 3.114822E-2, 1.398929E+0
204.014000, 4.135082E-2, 1.398929E+0
204.015000, 2.147950E-1, 1.398929E+0
204.016000, 8.216122E-2, 1.398929E+0
204.017000, 1.841872E-1, 1.409125E+0
204.018000, -9.662192E-3, 1.398929E+0
204.019000, -1.014856E-1, 1.409125E+0
204.020000, 1.127690E-1, 1.409125E+0
204.021000, 6.175602E-2, 1.398929E+0
204.022000, 1.127690E-1, 1.409125E+0
204.023000, 1.025664E-1, 1.409125E+0
