Time (s), Activation By Channel (% of MVC)
203.912000, 6.265226E-3, 3.211180E-3
203.913000, 1.544386E-1, 6.617224E-3
203.914000, 2.723273E-1, 3.889882E-3
203.915000, 6.736775E-2, 6.045045E-3
203.916000, 1.103497E-1, 4.283111E-3
203.917000, 8.712282E-2, 5.841241E-3
203.918000, 1.103543E-1, 4.215619E-3
203.919000, 4.220846E-2, 2.834232E-3
203.920000, 8.073424E-2, 6.975756E-3
203.921000, 1.779844E-2, 3.557806E-3
203.922000, 2.896473E-2, 6.344453E-3
203.923000, 1.000080E-2, 4.105748E-3
203.924000, 4.840887E-2, 2.779415E-3
203.925000, 5.053631E-3, 1.671147E-3
203.926000, 1.725930E-2, 7.891369E-3
203.927000, 4.289399E-2, 2.864673E-3
203.928000, 1.374884E-1, 6.839324E-3
203.929000, 4.324859E-2, 3.785814E-3
203.930000, 1.051234E-1, 2.612088E-3
203.931000, 1.209956E-4, 1.635182E-3
203.932000, 1.496525E-2, 7.816048E-3
203.933000, 1.869132E-2, 5.618616E-3
203.934000, 2.680631E-2, 4.894281E-3
203.935000, 7.522078E-2, 5.039289E-3
203.936000, 5.852906E-2, 5.369707E-3
203.937000, 1.436526E-2, 4.657907E-3
203.938000, 4.344771E-2, 5.666502E-3
203.939000, 4.195536E-3, 4.436651E-3
, , 
203.940000, 1.689705E-1, 5.820847E-3
203.941000, 1.677580E-1, 4.310034E-3
203.942000, 2.038777E-2, 3.025625E-3
203.943000, 2.677993E-2, 6.704523E-3
203.944000, 8.328680E-3, 3.892601E-3
203.945000, 5.655350E-2, 2.689665E-3
203.946000, 1.274033E-2, 6.968056E-3
203.947000, 2.102150E-1, 4.958053E-3
203.948000, 9.223697E-2, 5.385943E-3
203.949000, 1.161774E-2, 4.698586E-3
203.950000, 1.338715E-1, 3.074308E-3
203.951000, 8.539428E-2, 6.923006E-3
203.952000, 2.886542E-2, 5.179849E-3
203.953000, 3.979560E-2, 4.961554E-3
203.954000, 7.941504E-2, 5.269300E-3
203.955000, 7.009565E-2, 4.908500E-3
203.956000, 5.161915E-2, 5.291889E-3
203.957000, 9.809016E-3, 3.740107E-3
203.958000, 2.971909E-2, 2.429446E-3
203.959000, 2.248158E-2, 1.337389E-3
203.960000, 7.779798E-3, 8.208591E-3
203.961000, 3.160733E-2, 2.564144E-3
