Time (s), Percentage Displayed
82.448971, 10.610647
82.482050, 10.906579
82.515136, 10.906579
82.548227, 10.213444
82.581322, 10.007224
82.615413, 7.653934
82.648500, 7.740590
82.681589, 7.712606
82.714678, 8.543624
82.747763, 8.812954
82.780853, 8.372729
82.814943, 8.733825
82.848031, 9.217418
82.882114, 10.470163
82.915201, 10.786260
82.948255, 10.786260
82.981345, 10.246233
83.014433, 10.246233
83.047558, 11.226264
83.080607, 11.226264
83.113728, 12.796345
83.146815, 12.796345
83.179914, 13.130126
83.213001, 13.392803
83.246089, 13.207319
83.279178, 13.371782
83.311261, 12.676475
83.344350, 13.510253
83.377438, 13.142013
83.411488, 12.496875
83.444615, 12.639666
83.477663, 11.765281
83.510793, 13.018714
83.543871, 12.900650
83.576961, 12.900650
83.611049, 11.626930
83.644107, 11.649571
83.676233, 11.563657
83.709280, 10.481295
83.742433, 11.346934
83.775498, 11.214328
83.808543, 11.662015
83.841665, 10.798903
83.875773, 10.275239
83.908849, 11.113563
83.941897, 10.450186
83.976019, 11.308921
84.009076, 10.539300
84.042197, 10.032442
84.075257, 10.025481
84.108340, 10.232147
84.142466, 10.360614
84.175521, 10.913045
84.209609, 10.539529
84.242697, 9.834876
84.275818, 9.814386
84.308904, 9.955025
84.342067, 10.301327
84.376189, 10.478916
84.408244, 9.851437
84.442345, 10.118598
84.475507, 10.194749
84.508569, 9.888590
84.541666, 11.108442
84.574738, 11.186904
84.607825, 12.811797
84.640912, 12.695376
84.674017, 11.978963
84.707090, 12.242170
84.739200, 12.933201
84.772261, 12.710214
84.805350, 12.147515
84.838438, 11.881570
84.871551, 11.561525
84.905617, 12.063796
84.939738, 12.033055
84.972795, 11.560310
85.006886, 11.697099
85.039973, 11.042270
85.073063, 10.801405
85.106149, 10.025820
85.138234, 9.895935
85.171323, 10.019209
85.204410, 10.216702
85.238501, 9.971770
85.272629, 9.627215
85.305679, 10.517297
85.338805, 10.894908
85.372905, 11.206859
85.405946, 11.206859
85.439082, 11.885655
85.472171, 11.885655
85.505285, 12.273026
85.538358, 12.342071
