Time (s), Filtered Data By Channel
0.137000, 2.680452E-1, 6.709108E-3
0.138000, 6.057506E-1, 5.341979E-3
0.139000, 1.198187E-1, 4.162033E-3
0.140000, 4.504566E-1, 5.499074E-3
0.141000, 3.354817E-1, 5.135403E-3
0.142000, 2.487960E-1, 4.709262E-3
0.143000, 2.693156E-1, 2.891190E-3
0.144000, 5.311388E-1, 1.392767E-3
0.145000, 5.719215E-1, 1.811970E-4
0.146000, 2.953816E-1, 7.746298E-4
0.147000, 1.876026E-1, 1.504118E-3
0.148000, 7.081657E-1, 2.034954E-3
0.149000, 5.201391E-1, 2.393100E-3
0.150000, 5.188187E-1, 1.125384E-2
0.151000, 2.852324E-1, 1.533642E-4
0.152000, 5.487471E-1, 3.005957E-4
0.153000, 9.372629E-1, 9.271576E-3
0.154000, 1.505432E+0, 6.637550E-3
0.155000, 2.375867E-1, 4.383176E-3
0.156000, 1.791203E-1, 6.173850E-3
0.157000, 4.526898E-1, 3.729273E-3
0.158000, 1.181199E+0, 1.955001E-3
0.159000, 1.088557E+0, 4.894994E-4
0.160000, 1.009114E-1, 6.967796E-4
0.161000, 1.534650E-1, 1.632191E-3
0.162000, 2.097920E-1, 2.343845E-3
0.163000, 4.733392E-1, 2.857564E-3
0.164000, 4.355481E-1, 1.184888E-2
, , 
0.165000, 2.345846E-1, 9.198912E-3
0.166000, 4.712934E-1, 1.755386E-3
0.167000, 1.008294E-1, 8.997238E-4
0.168000, 1.401532E-1, 2.270401E-4
0.169000, 1.857432E+0, 2.851068E-4
0.170000, 1.349393E+0, 6.576847E-4
0.171000, 1.556854E-1, 9.561245E-3
0.172000, 4.299059E-2, 1.779231E-3
0.173000, 1.414060E-1, 1.238826E-3
0.174000, 4.360463E-1, 8.166660E-4
0.175000, 2.059619E-1, 4.964154E-4
0.176000, 5.162936E-2, 8.387959E-3
0.177000, 1.332735E-1, 5.708121E-3
0.178000, 9.830027E-2, 5.208267E-3
0.179000, 7.030425E-1, 4.256007E-3
0.180000, 1.204337E-1, 5.214213E-3
0.181000, 1.140852E+0, 3.074381E-3
0.182000, 9.978664E-1, 1.303745E-3
0.183000, 4.520771E-1, 1.337576E-4
0.184000, 1.715125E-1, 1.272594E-3
0.185000, 1.635466E-1, 2.145591E-3
0.186000, 2.555429E-1, 2.783886E-3
0.187000, 9.254637E-2, 3.216892E-3
0.188000, 6.689180E-1, 1.212332E-2
0.189000, 5.602167E-1, 7.359836E-4
0.190000, 5.371394E-2, 1.187279E-3
0.191000, 1.970882E-1, 1.013623E-2
0.192000, 1.412848E-1, 7.463843E-3
0.193000, 4.863558E-2, 5.157665E-3
0.194000, 7.472708E-1, 3.189170E-3
0.195000, 6.661065E-1, 1.530639E-3
0.196000, 3.289831E-2, 1.552025E-4
0.197000, 2.849832E-1, 9.631248E-4
, , 
0.198000, 3.309965E-1, 1.849394E-3
