Time (s), Activation By Channel (% of MVC)
53.696000, 7.440285E-3, 2.201332E-3
53.697000, 2.581179E-2, 1.051319E-3
53.698000, 3.474203E-3, 8.546005E-3
53.699000, 3.070767E-2, 6.468542E-3
53.700000, 3.170886E-2, 4.701645E-3
53.701000, 1.363982E-2, 5.435577E-3
53.702000, 2.584754E-2, 3.829327E-3
53.703000, 2.456564E-2, 2.472520E-3
53.704000, 2.216010E-2, 1.342186E-3
53.705000, 1.027453E-2, 4.163449E-4
53.706000, 7.987560E-3, 3.259721E-4
53.707000, 3.869104E-2, 9.555757E-3
53.708000, 5.089366E-2, 1.501156E-3
53.709000, 3.172394E-2, 7.186246E-4
53.710000, 5.127233E-2, 9.420266E-5
53.711000, 4.567357E-2, 3.903144E-4
53.712000, 3.066137E-2, 7.520352E-4
53.713000, 7.178355E-4, 9.658024E-3
53.714000, 1.324637E-2, 1.669859E-3
53.715000, 2.219181E-2, 7.541587E-3
53.716000, 1.263176E-2, 5.148811E-3
53.717000, 2.300372E-2, 3.132370E-3
53.718000, 3.907616E-3, 7.193579E-3
53.719000, 1.637214E-2, 5.720292E-3
53.720000, 2.498546E-2, 4.445805E-3
53.721000, 4.275395E-3, 3.352285E-3
53.722000, 1.100747E-3, 6.228198E-3
53.723000, 2.075978E-2, 4.169580E-3
, , 
53.724000, 2.539433E-2, 2.453208E-3
53.725000, 1.451301E-2, 1.045239E-3
53.726000, 6.273339E-3, 8.737545E-3
53.727000, 1.758518E-2, 6.783612E-3
53.728000, 8.568514E-2, 5.088047E-3
53.729000, 1.817401E-2, 5.021138E-3
53.730000, 3.052768E-3, 5.229013E-3
53.731000, 2.627222E-2, 4.940155E-3
53.732000, 1.534047E-2, 3.390792E-3
53.733000, 2.482939E-3, 2.109391E-3
53.734000, 1.011678E-2, 1.067311E-3
53.735000, 7.064789E-4, 8.413444E-3
53.736000, 3.283173E-2, 6.216124E-3
53.737000, 4.252050E-3, 4.330636E-3
53.738000, 1.877948E-2, 2.730940E-3
53.739000, 2.036515E-2, 7.259125E-3
53.740000, 3.846751E-2, 5.521711E-3
53.741000, 4.154694E-2, 4.604747E-3
53.742000, 5.081672E-2, 5.646983E-3
53.743000, 2.928785E-2, 4.506791E-3
53.744000, 3.833032E-2, 2.932609E-3
53.745000, 2.551766E-2, 1.620738E-3
53.746000, 2.604243E-3, 8.105323E-3
53.747000, 5.907564E-3, 6.127856E-3
53.748000, 8.514806E-3, 4.214777E-3
53.749000, 1.915304E-2, 5.844384E-3
53.750000, 2.639140E-2, 4.172241E-3
53.751000, 4.800116E-3, 2.759617E-3
53.752000, 5.861667E-2, 7.069288E-3
53.753000, 3.558427E-4, 5.195945E-3
53.754000, 4.384802E-2, 3.608892E-3
53.755000, 1.292946E-2, 6.369932E-3
53.756000, 1.001975E-2, 4.026835E-3
, , 
53.757000, 3.348127E-2, 5.984559E-3
53.758000, 3.154662E-3, 4.270864E-3
53.759000, 5.123515E-3, 2.822674E-3
53.760000, 6.593289E-3, 7.036097E-3
53.761000, 1.111514E-2, 5.187262E-3
53.762000, 2.873085E-2, 3.619736E-3
53.763000, 2.157988E-2, 2.306917E-3
53.764000, 1.543977E-2, 7.427518E-3
53.765000, 3.619349E-2, 3.185547E-3
53.766000, 2.677354E-3, 6.635875E-3
53.767000, 4.865037E-3, 3.894280E-3
53.768000, 1.080164E-2, 6.005887E-3
53.769000, 3.067850E-2, 4.449769E-3
53.770000, 7.484563E-3, 3.130472E-3
53.771000, 7.975880E-3, 2.029362E-3
53.772000, 1.681301E-2, 7.527035E-3
53.773000, 2.254695E-2, 5.417858E-3
53.774000, 8.385711E-3, 3.629307E-3
53.775000, 1.951770E-2, 2.132031E-3
53.776000, 1.324249E-2, 8.979936E-4
53.777000, 1.892981E-2, 8.750565E-3
53.778000, 3.941863E-2, 6.697008E-3
53.779000, 1.754587E-2, 4.931666E-3
53.780000, 6.679512E-4, 3.429210E-3
53.781000, 2.055380E-2, 2.165485E-3
53.782000, 6.187659E-4, 1.117507E-3
53.783000, 1.253531E-2, 8.387598E-3
53.784000, 3.816295E-2, 6.228491E-3
53.785000, 3.129653E-3, 4.391004E-3
53.786000, 1.251541E-2, 2.845520E-3
53.787000, 5.341578E-2, 7.087220E-3
53.788000, 1.975496E-2, 5.292014E-3
53.789000, 1.426856E-2, 4.890490E-3
, , 
53.790000, 2.970315E-2, 5.308759E-3
53.791000, 4.827429E-2, 3.758566E-3
53.792000, 4.211349E-2, 6.199561E-3
53.793000, 7.742762E-3, 4.446775E-3
53.794000, 2.568356E-2, 5.679642E-3
53.795000, 1.359807E-2, 4.064785E-3
53.796000, 3.080008E-2, 2.700664E-3
53.797000, 5.311803E-2, 1.563583E-3
53.798000, 3.237232E-2, 6.309948E-4
53.799000, 3.333159E-2, 1.184955E-4
53.800000, 1.087405E-2, 7.051263E-4
53.801000, 2.691292E-2, 9.799033E-3
53.802000, 3.537854E-2, 7.276141E-3
53.803000, 4.880063E-3, 5.119540E-3
53.804000, 1.775206E-2, 5.354179E-3
53.805000, 1.826387E-2, 4.033962E-3
53.806000, 1.691431E-2, 2.915660E-3
53.807000, 1.137465E-2, 1.979402E-3
53.808000, 2.317019E-2, 1.206430E-3
53.809000, 2.249851E-2, 8.071966E-3
53.810000, 4.742837E-2, 5.730359E-3
53.811000, 2.890734E-2, 4.900483E-3
53.812000, 2.307702E-2, 3.712084E-3
53.813000, 1.787861E-2, 2.702773E-3
53.814000, 4.035392E-3, 1.855050E-3
53.815000, 1.104583E-2, 7.498643E-3
53.816000, 2.429344E-2, 3.419229E-3
53.817000, 1.058944E-2, 6.165272E-3
53.818000, 6.374785E-4, 4.541590E-3
53.819000, 2.384892E-2, 5.234805E-3
53.820000, 1.434212E-2, 3.352497E-3
53.821000, 1.928554E-2, 6.857246E-3
53.822000, 2.544249E-2, 5.285273E-3
, , 
53.823000, 3.741159E-2, 3.929063E-3
53.824000, 2.690093E-2, 2.770096E-3
53.825000, 4.381839E-2, 6.860367E-3
53.826000, 1.893251E-2, 3.813877E-3
53.827000, 1.686943E-2, 5.982575E-3
53.828000, 2.937607E-2, 4.108635E-3
53.829000, 7.225681E-3, 6.103490E-3
53.830000, 2.072927E-3, 4.543647E-3
53.831000, 3.537376E-2, 3.208279E-3
53.832000, 4.108755E-2, 6.573254E-3
53.833000, 1.787581E-2, 3.973346E-3
53.834000, 8.732783E-2, 2.721837E-3
53.835000, 5.559808E-2, 6.981616E-3
53.836000, 4.738456E-2, 5.013790E-3
53.837000, 1.294742E-2, 3.358921E-3
53.838000, 1.297863E-2, 6.664975E-3
53.839000, 4.893170E-2, 4.945160E-3
53.840000, 3.777312E-3, 3.475562E-3
53.841000, 6.091868E-3, 2.234168E-3
53.842000, 1.650056E-2, 1.199887E-3
53.843000, 4.088217E-2, 8.298490E-3
53.844000, 3.946290E-2, 6.138166E-3
53.845000, 1.070586E-2, 4.303708E-3
53.846000, 3.272960E-2, 5.886645E-3
53.847000, 5.025942E-3, 4.320033E-3
53.848000, 2.355830E-2, 2.990366E-3
53.849000, 1.869106E-2, 6.775343E-3
53.850000, 1.442810E-2, 3.795050E-3
53.851000, 1.938182E-2, 6.077717E-3
53.852000, 1.261588E-2, 4.256192E-3
53.853000, 5.109967E-4, 5.924000E-3
53.854000, 3.415728E-2, 4.349527E-3
53.855000, 5.488935E-3, 3.013884E-3
, , 
53.856000, 6.958620E-3, 6.756274E-3
53.857000, 1.492814E-3, 3.810885E-3
53.858000, 1.002263E-2, 2.586888E-3
53.859000, 3.537372E-2, 7.084097E-3
53.860000, 4.345693E-2, 5.080614E-3
53.861000, 4.720333E-3, 3.388449E-3
53.862000, 2.125634E-2, 6.673045E-3
53.863000, 4.154861E-3, 4.989995E-3
53.864000, 8.615231E-3, 5.095672E-3
53.865000, 3.499728E-2, 3.464737E-3
53.866000, 9.284922E-3, 6.545839E-3
53.867000, 7.754617E-3, 3.829631E-3
53.868000, 2.301486E-3, 6.194135E-3
53.869000, 7.309378E-4, 4.165770E-3
53.870000, 8.167683E-3, 5.875572E-3
53.871000, 1.306914E-2, 4.465102E-3
53.872000, 7.213260E-3, 5.596778E-3
53.873000, 1.980139E-2, 3.928670E-3
53.874000, 6.918337E-3, 2.521773E-3
53.875000, 8.808136E-3, 7.299487E-3
53.876000, 8.793454E-2, 5.416488E-3
53.877000, 4.568839E-2, 3.817782E-3
53.878000, 2.170173E-2, 6.174590E-3
53.879000, 2.625819E-2, 4.444150E-3
53.880000, 2.593322E-3, 2.981369E-3
53.881000, 2.928894E-3, 1.761060E-3
53.882000, 5.445742E-3, 7.592335E-4
53.883000, 2.834845E-2, 8.697945E-3
53.884000, 3.460280E-2, 2.161012E-3
53.885000, 1.977283E-2, 1.207436E-3
53.886000, 1.040765E-3, 4.365016E-4
53.887000, 3.393056E-2, 8.823295E-3
53.888000, 1.335540E-2, 6.449177E-3
, , 
53.889000, 5.037485E-2, 4.225581E-3
53.890000, 1.449516E-2, 5.560893E-3
53.891000, 4.018373E-2, 3.670443E-3
53.892000, 2.233089E-2, 6.562161E-3
53.893000, 2.574949E-2, 5.024568E-3
53.894000, 9.249499E-4, 3.711359E-3
53.895000, 1.743131E-2, 2.601418E-3
53.896000, 6.376111E-3, 1.674758E-3
53.897000, 1.975472E-2, 7.738546E-3
53.898000, 3.194880E-2, 3.136793E-3
53.899000, 1.611127E-2, 6.475290E-3
53.900000, 2.154089E-2, 4.216937E-3
53.901000, 1.599024E-2, 3.088029E-3
53.902000, 2.714522E-3, 2.136196E-3
53.903000, 6.892847E-3, 1.343816E-3
53.904000, 2.206161E-2, 6.942713E-4
53.905000, 1.449789E-2, 1.719298E-4
53.906000, 5.171799E-4, 8.888924E-3
53.907000, 1.159320E-2, 6.359997E-3
53.908000, 1.065347E-2, 4.220383E-3
53.909000, 9.724336E-3, 6.217094E-3
53.910000, 8.808403E-3, 4.844901E-3
53.911000, 9.404357E-3, 3.662161E-3
53.912000, 1.325678E-2, 2.652015E-3
53.913000, 1.077534E-2, 1.798455E-3
53.914000, 1.050797E-2, 7.564746E-3
53.915000, 1.375533E-3, 5.309935E-3
53.916000, 2.088549E-2, 3.416974E-3
53.917000, 2.544662E-2, 6.800423E-3
53.918000, 1.620084E-3, 3.417331E-3
53.919000, 1.032658E-2, 6.720835E-3
53.920000, 7.394398E-3, 5.088538E-3
53.921000, 2.214057E-2, 3.682788E-3
, , 
53.922000, 5.577113E-3, 6.166544E-3
53.923000, 1.785641E-3, 4.335758E-3
53.924000, 1.325691E-3, 5.842350E-3
53.925000, 1.247834E-2, 4.257007E-3
53.926000, 2.922866E-3, 2.904002E-3
53.927000, 3.081800E-2, 1.763074E-3
53.928000, 4.104676E-2, 8.147786E-4
53.929000, 2.062124E-2, 8.610555E-3
53.930000, 1.241567E-2, 6.388696E-3
53.931000, 1.097956E-3, 4.502882E-3
