Time (s), Filtered Data By Channel
0.170000, 6.430672E-3, 4.456903E-4
0.171000, 4.461180E-2, 8.839907E-3
0.172000, 8.648109E-2, 6.498416E-3
0.173000, 5.948667E-2, 4.139273E-3
0.174000, 1.623449E-2, 2.964425E-3
0.175000, 8.044797E-2, 1.974994E-3
0.176000, 5.538031E-2, 7.498055E-3
0.177000, 5.351895E-2, 5.329783E-3
0.178000, 5.960242E-2, 5.148398E-3
0.179000, 7.091451E-2, 3.827233E-3
0.180000, 8.520833E-2, 2.704156E-3
0.181000, 4.871767E-2, 1.760666E-3
0.182000, 6.360776E-2, 7.671878E-3
0.183000, 2.797055E-2, 3.182904E-3
0.184000, 8.010302E-3, 2.200928E-3
0.185000, 9.274295E-3, 7.269421E-3
0.186000, 4.846414E-2, 3.548413E-3
0.187000, 4.497240E-2, 2.530507E-3
0.188000, 5.797827E-2, 6.974597E-3
0.189000, 3.011328E-2, 4.841257E-3
0.190000, 5.182651E-2, 5.599790E-3
0.191000, 4.745465E-2, 4.239931E-3
0.192000, 2.766657E-2, 3.077207E-3
0.193000, 4.645360E-2, 2.093680E-3
0.194000, 2.367410E-2, 7.378768E-3
0.195000, 2.160714E-3, 5.214338E-3
0.196000, 5.751316E-2, 5.256367E-3
0.197000, 2.748864E-3, 3.924840E-3
, , 
0.198000, 1.948984E-2, 5.861853E-3
0.199000, 8.607877E-3, 3.979586E-3
0.200000, 1.701641E-2, 2.411708E-3
0.201000, 4.339574E-2, 7.524634E-3
0.202000, 5.165066E-2, 5.717536E-3
0.203000, 2.893719E-2, 4.161718E-3
0.204000, 1.939337E-2, 2.835905E-3
0.205000, 6.342308E-3, 6.931365E-3
0.206000, 1.664937E-2, 3.633421E-3
0.207000, 3.267556E-2, 2.403280E-3
0.208000, 3.469408E-2, 1.374740E-3
0.209000, 4.439357E-4, 8.122676E-3
0.210000, 4.108635E-2, 5.965479E-3
0.211000, 7.718233E-2, 4.137579E-3
0.212000, 1.420437E-1, 6.043401E-3
0.213000, 1.288794E-1, 4.465170E-3
0.214000, 8.544549E-2, 5.528889E-3
0.215000, 3.029886E-2, 4.832830E-3
0.216000, 1.324250E-1, 5.229525E-3
0.217000, 1.678671E-1, 3.579148E-3
0.218000, 1.877227E-1, 6.447641E-3
0.219000, 1.687397E-1, 4.736767E-3
0.220000, 1.045787E-1, 3.280937E-3
0.221000, 7.081087E-2, 2.057033E-3
0.222000, 3.407062E-2, 7.608088E-3
0.223000, 3.414899E-3, 3.057589E-3
0.224000, 1.388142E-2, 1.925751E-3
0.225000, 1.286666E-2, 9.917702E-4
0.226000, 6.473772E-2, 2.352411E-4
0.227000, 3.206364E-2, 9.014217E-3
0.228000, 6.850574E-2, 6.632843E-3
0.229000, 6.628983E-2, 4.046939E-3
0.230000, 1.011175E-2, 2.915042E-3
, , 
0.231000, 4.785386E-2, 1.968234E-3
0.232000, 4.374385E-2, 1.187519E-3
0.233000, 2.087368E-2, 8.096070E-3
0.234000, 1.133937E-2, 5.757373E-3
0.235000, 3.770117E-2, 4.872562E-3
0.236000, 4.525743E-2, 3.684983E-3
0.237000, 2.137940E-2, 2.677949E-3
0.238000, 6.926302E-3, 1.833694E-3
0.239000, 6.066884E-3, 7.515593E-3
0.240000, 2.216141E-2, 5.243668E-3
0.241000, 3.662954E-3, 5.319418E-3
0.242000, 4.993291E-2, 4.585233E-3
0.243000, 9.143300E-2, 5.834302E-3
0.244000, 4.077193E-2, 4.452652E-3
0.245000, 5.568987E-2, 5.383080E-3
0.246000, 4.769796E-2, 3.548682E-3
0.247000, 6.665475E-2, 6.623671E-3
0.248000, 1.038974E-1, 5.023923E-3
0.249000, 7.430054E-2, 5.002402E-3
0.250000, 7.543521E-2, 3.332716E-3
0.251000, 8.095481E-2, 6.699155E-3
0.252000, 4.568986E-2, 4.981477E-3
0.253000, 4.292570E-2, 3.509142E-3
0.254000, 5.848495E-3, 2.261046E-3
0.255000, 9.542865E-3, 1.216951E-3
0.256000, 2.490498E-2, 8.293566E-3
0.257000, 8.505407E-2, 2.504066E-3
0.258000, 7.422155E-2, 1.483928E-3
0.259000, 6.444715E-2, 6.436265E-4
0.260000, 5.563414E-2, 8.686221E-3
0.261000, 9.963597E-2, 2.270037E-3
0.262000, 3.216180E-2, 7.263443E-3
0.263000, 8.864512E-3, 3.505167E-3
, , 
0.264000, 1.169983E-2, 2.450419E-3
0.265000, 4.776621E-2, 7.080613E-3
0.266000, 5.405430E-2, 4.963691E-3
0.267000, 7.348221E-2, 3.181938E-3
0.268000, 8.386717E-2, 6.947834E-3
0.269000, 5.226051E-2, 5.314166E-3
0.270000, 5.212486E-2, 3.912331E-3
0.271000, 1.247408E-1, 5.929345E-3
0.272000, 2.647949E-1, 4.088523E-3
0.273000, 1.806462E-1, 2.550231E-3
0.274000, 6.781315E-2, 7.366809E-3
0.275000, 1.682709E-2, 3.101830E-3
0.276000, 8.276662E-2, 6.830260E-3
0.277000, 3.956544E-2, 3.618831E-3
0.278000, 3.383883E-2, 2.314373E-3
0.279000, 3.295045E-3, 7.405218E-3
0.280000, 8.183308E-3, 5.423752E-3
0.281000, 7.299140E-2, 3.731803E-3
0.282000, 9.124480E-2, 6.346952E-3
0.283000, 1.440525E-1, 3.956300E-3
0.284000, 3.699771E-2, 6.141020E-3
0.285000, 9.792521E-3, 4.146297E-3
0.286000, 8.867040E-2, 2.686314E-3
0.287000, 3.467049E-2, 1.470811E-3
0.288000, 2.297599E-2, 8.175216E-3
0.289000, 6.329439E-2, 2.518477E-3
0.290000, 1.116361E-2, 7.229143E-3
0.291000, 1.875758E-2, 3.368789E-3
0.292000, 5.523265E-2, 2.182098E-3
0.293000, 1.412251E-3, 1.204426E-3
0.294000, 3.608821E-3, 4.137710E-4
0.295000, 3.534916E-2, 8.861708E-3
0.296000, 8.840138E-3, 6.499583E-3
, , 
0.297000, 1.418056E-2, 4.166525E-3
0.298000, 2.478701E-2, 3.025448E-3
0.299000, 2.204182E-2, 2.072999E-3
0.300000, 4.753687E-2, 1.289341E-3
0.301000, 6.506109E-2, 7.995228E-3
0.302000, 3.255596E-2, 5.656180E-3
0.303000, 3.459890E-2, 4.974902E-3
0.304000, 3.532694E-2, 3.788820E-3
0.305000, 4.359553E-2, 5.867790E-3
0.306000, 3.077916E-2, 3.870985E-3
0.307000, 2.052339E-2, 2.204068E-3
0.308000, 1.350567E-2, 7.816063E-3
0.309000, 2.345683E-2, 6.077938E-3
0.310000, 6.651595E-2, 4.576869E-3
0.311000, 7.894586E-3, 5.358742E-3
0.312000, 2.619930E-2, 3.606457E-3
0.313000, 7.148153E-2, 6.499853E-3
0.314000, 4.299963E-2, 4.848510E-3
0.315000, 1.127814E-2, 3.434548E-3
0.316000, 1.314351E-2, 6.413967E-3
0.317000, 2.159627E-2, 4.076071E-3
0.318000, 3.214020E-3, 5.873735E-3
0.319000, 1.667879E-2, 4.525877E-3
0.320000, 1.782691E-2, 3.146876E-3
0.321000, 1.364864E-3, 6.666270E-3
0.322000, 1.051972E-3, 4.791940E-3
0.323000, 1.544784E-2, 3.215894E-3
0.324000, 1.884415E-2, 1.908633E-3
0.325000, 4.702852E-3, 7.808804E-3
0.326000, 2.268912E-2, 5.820747E-3
0.327000, 6.817248E-2, 4.118281E-3
0.328000, 5.516249E-2, 2.676642E-3
0.329000, 5.232106E-2, 7.178977E-3
, , 
0.330000, 3.902109E-3, 3.321755E-3
0.331000, 4.414760E-2, 2.048836E-3
0.332000, 2.766014E-2, 9.959424E-4
0.333000, 1.175750E-2, 1.409766E-4
0.334000, 3.994197E-2, 9.188121E-3
0.335000, 4.131998E-2, 6.869252E-3
0.336000, 5.838747E-3, 1.241459E-2
0.337000, 2.869452E-2, 8.892401E-3
0.338000, 1.698772E-2, 6.544671E-3
0.339000, 5.798350E-3, 4.543338E-3
0.340000, 6.058117E-3, 2.857232E-3
0.341000, 4.047843E-2, 1.456597E-3
0.342000, 4.585125E-2, 8.337956E-3
0.343000, 2.119459E-2, 2.239717E-3
0.344000, 1.841547E-3, 1.055808E-3
0.345000, 4.420965E-3, 8.550488E-3
0.346000, 3.350784E-3, 2.188718E-3
0.347000, 9.453419E-4, 7.509677E-3
0.348000, 1.730390E-2, 5.511659E-3
0.349000, 3.186395E-2, 3.806951E-3
0.350000, 2.850437E-2, 2.369543E-3
0.351000, 2.641942E-2, 7.476502E-3
0.352000, 3.800623E-2, 5.612933E-3
0.353000, 7.511774E-2, 4.622376E-3
0.354000, 5.602167E-2, 3.113947E-3
0.355000, 2.024113E-2, 6.797819E-3
0.356000, 3.025542E-2, 3.655917E-3
0.357000, 6.579901E-2, 6.307251E-3
0.358000, 6.277038E-2, 4.552859E-3
0.359000, 4.913649E-2, 5.580648E-3
0.360000, 3.688540E-2, 3.977280E-3
0.361000, 6.060056E-2, 6.023012E-3
0.362000, 6.558240E-2, 4.302844E-3
, , 
0.363000, 3.055043E-2, 2.851920E-3
0.364000, 1.464018E-2, 7.006650E-3
0.365000, 1.323206E-2, 5.155387E-3
0.366000, 3.028731E-2, 3.583834E-3
0.367000, 2.519207E-2, 6.385119E-3
0.368000, 2.163340E-2, 4.634272E-3
0.369000, 1.929366E-2, 3.153492E-3
0.370000, 1.131198E-1, 6.733966E-3
0.371000, 6.385492E-2, 4.910502E-3
0.372000, 2.600767E-2, 3.365552E-3
0.373000, 1.104643E-1, 6.578083E-3
0.374000, 7.102553E-2, 4.803279E-3
0.375000, 2.159070E-2, 3.299958E-3
0.376000, 1.050960E-1, 6.608579E-3
0.377000, 1.606434E-1, 4.804705E-3
0.378000, 8.905428E-2, 3.277838E-3
0.379000, 2.092056E-3, 6.649224E-3
0.380000, 1.783139E-2, 4.859345E-3
0.381000, 1.312709E-2, 5.308626E-3
0.382000, 5.337865E-2, 4.912686E-3
0.383000, 8.105242E-2, 5.260509E-3
0.384000, 9.813349E-2, 4.955994E-3
0.385000, 8.910854E-2, 3.429435E-3
0.386000, 7.859749E-2, 6.500114E-3
0.387000, 6.710366E-2, 4.715108E-3
0.388000, 2.043986E-2, 3.205066E-3
0.389000, 2.291951E-3, 1.943943E-3
0.390000, 8.330585E-2, 7.744072E-3
0.391000, 5.859922E-2, 5.740442E-3
0.392000, 7.971960E-2, 4.617387E-3
0.393000, 2.858326E-2, 5.436556E-3
0.394000, 4.862471E-2, 3.768133E-3
0.395000, 1.114870E-2, 2.367095E-3
, , 
0.396000, 2.210648E-1, 1.207619E-3
0.397000, 1.741068E-1, 2.651615E-4
0.398000, 6.477744E-2, 9.134593E-3
0.399000, 4.493333E-2, 1.779435E-3
0.400000, 5.557888E-2, 7.772821E-3
0.401000, 7.016490E-2, 2.996589E-3
0.402000, 8.733070E-3, 1.958674E-3
0.403000, 2.506360E-2, 1.108344E-3
0.404000, 2.728416E-2, 8.226124E-3
0.405000, 7.970712E-2, 5.922128E-3
0.406000, 9.634738E-2, 4.686916E-3
0.407000, 4.274886E-2, 3.490072E-3
0.408000, 1.276347E-3, 2.483398E-3
0.409000, 3.086851E-2, 7.003747E-3
0.410000, 2.355171E-2, 3.803288E-3
0.411000, 1.541155E-3, 5.872113E-3
0.412000, 3.782357E-3, 3.889750E-3
0.413000, 2.416667E-2, 6.417575E-3
0.414000, 4.803853E-2, 4.939398E-3
0.415000, 4.727070E-2, 4.978954E-3
0.416000, 6.328219E-2, 5.436152E-3
0.417000, 8.179260E-2, 4.593051E-3
0.418000, 6.634675E-2, 5.723410E-3
0.419000, 6.149034E-2, 4.258273E-3
0.420000, 2.958290E-2, 5.643181E-3
0.421000, 3.784825E-2, 3.858502E-3
0.422000, 4.983328E-2, 2.372610E-3
0.423000, 2.981417E-2, 1.155183E-3
0.424000, 4.802158E-3, 8.473536E-3
0.425000, 4.650549E-2, 6.398633E-3
0.426000, 4.317011E-3, 4.039156E-3
0.427000, 3.296778E-2, 5.929102E-3
0.428000, 9.622417E-2, 4.479149E-3
, , 
0.429000, 8.599677E-2, 5.521220E-3
0.430000, 4.890469E-2, 3.798075E-3
0.431000, 1.117413E-2, 2.342886E-3
0.432000, 1.783979E-2, 7.519779E-3
0.433000, 1.278124E-2, 5.671279E-3
0.434000, 9.244884E-3, 4.550802E-3
0.435000, 4.404700E-2, 3.031184E-3
0.436000, 1.914819E-2, 1.761443E-3
0.437000, 9.141490E-3, 7.933644E-3
0.438000, 2.195308E-2, 5.935116E-3
0.439000, 1.824307E-2, 4.231192E-3
0.440000, 5.650165E-2, 2.794629E-3
0.441000, 7.191775E-2, 7.051495E-3
0.442000, 1.702690E-2, 3.461369E-3
0.443000, 5.601679E-2, 2.201736E-3
0.444000, 3.119220E-2, 1.162081E-3
0.445000, 7.397238E-2, 3.193479E-4
0.446000, 1.026800E-1, 8.999255E-3
0.447000, 1.282413E-1, 6.672166E-3
0.448000, 8.927197E-2, 4.684855E-3
0.449000, 4.842952E-2, 5.643834E-3
0.450000, 1.643860E-2, 4.200710E-3
0.451000, 7.893034E-3, 2.979601E-3
0.452000, 3.494166E-2, 6.692338E-3
0.453000, 3.749226E-2, 3.957372E-3
0.454000, 4.988160E-2, 2.801032E-3
0.455000, 9.412668E-2, 6.816309E-3
0.456000, 8.770457E-2, 4.772234E-3
0.457000, 3.607069E-2, 3.051501E-3
0.458000, 2.003286E-2, 1.623440E-3
0.459000, 5.083965E-2, 4.588230E-4
0.460000, 9.648387E-2, 9.121176E-3
0.461000, 1.676834E-1, 1.650194E-3
, , 
0.462000, 1.062244E-1, 8.011265E-3
0.463000, 3.127515E-2, 2.678468E-3
0.464000, 5.297948E-2, 1.586682E-3
0.465000, 1.027622E-1, 7.946268E-3
0.466000, 1.528897E-1, 5.802328E-3
0.467000, 1.571677E-1, 3.970273E-3
0.468000, 1.016091E-1, 2.423101E-3
0.469000, 3.711598E-3, 1.134895E-3
0.470000, 1.907050E-2, 8.570215E-3
0.471000, 2.240285E-2, 2.077125E-3
0.472000, 5.090848E-2, 9.460299E-4
0.473000, 3.394685E-2, 2.938695E-5
0.474000, 4.116823E-2, 9.346646E-3
0.475000, 6.816354E-2, 7.061667E-3
0.476000, 5.907638E-2, 5.102394E-3
0.477000, 4.149057E-2, 5.211023E-3
0.478000, 4.435771E-2, 4.887004E-3
0.479000, 9.693857E-3, 5.389049E-3
0.480000, 7.234828E-3, 3.907713E-3
0.481000, 4.131154E-2, 5.989674E-3
0.482000, 8.173327E-2, 4.466723E-3
0.483000, 1.321286E-1, 5.504456E-3
0.484000, 1.187724E-1, 4.883393E-3
0.485000, 5.089116E-2, 5.151179E-3
0.486000, 7.041291E-3, 3.472720E-3
0.487000, 1.042557E-1, 2.069735E-3
0.488000, 8.571441E-2, 7.735836E-3
0.489000, 5.209224E-2, 5.827648E-3
0.490000, 1.754116E-2, 4.196328E-3
0.491000, 1.622515E-2, 5.834211E-3
0.492000, 4.578621E-3, 4.145809E-3
0.493000, 3.993042E-3, 5.923610E-3
0.494000, 2.001540E-2, 4.258547E-3
, , 
0.495000, 3.852727E-2, 2.850451E-3
