Time, Activation By Channel (% of MVC)
22.874000, 2.454029E-1, 1.398929E+0
22.875000, 2.454029E-1, 1.398929E+0
22.876000, 1.739846E-1, 1.409125E+0
22.877000, 6.175602E-2, 1.398929E+0
22.878000, -6.067520E-2, 1.398929E+0
22.879000, 2.094561E-2, 1.398929E+0
22.880000, 2.454029E-1, 1.398929E+0
22.881000, 2.862133E-1, 1.409125E+0
22.882000, 1.331742E-1, 1.398929E+0
22.883000, 1.074301E-2, 1.409125E+0
22.884000, 1.025664E-1, 1.398929E+0
22.885000, 1.637820E-1, 1.409125E+0
22.886000, 6.175602E-2, 1.409125E+0
22.887000, -1.986479E-2, 1.398929E+0
22.888000, 3.114822E-2, 1.398929E+0
22.889000, 9.236383E-2, 1.398929E+0
22.890000, 1.535794E-1, 1.409125E+0
22.891000, 9.236383E-2, 1.398929E+0
22.892000, -1.986479E-2, 1.398929E+0
22.893000, 2.094561E-2, 1.398929E+0
22.894000, 5.155342E-2, 1.409125E+0
22.895000, 6.175602E-2, 1.398929E+0
22.896000, 1.127690E-1, 1.398929E+0
22.897000, 7.195862E-2, 1.398929E+0
22.898000, 3.114822E-2, 1.398929E+0
22.899000, 5.155342E-2, 1.409125E+0
22.900000, 1.025664E-1, 1.409125E+0
22.901000, 1.433768E-1, 1.398929E+0
, , 
22.902000, 1.229716E-1, 1.398929E+0
22.903000, 5.155342E-2, 1.398929E+0
22.904000, 3.114822E-2, 1.409125E+0
22.905000, 5.404097E-4, 1.409125E+0
22.906000, 8.216122E-2, 1.398929E+0
22.907000, 4.135082E-2, 1.409125E+0
22.908000, 9.236383E-2, 1.409125E+0
22.909000, 1.025664E-1, 1.409125E+0
22.910000, 1.127690E-1, 1.398929E+0
22.911000, 1.331742E-1, 1.398929E+0
22.912000, 8.216122E-2, 1.398929E+0
22.913000, -7.087780E-2, 1.409125E+0
22.914000, 6.175602E-2, 1.409125E+0
22.915000, 9.236383E-2, 1.398929E+0
22.916000, 1.229716E-1, 1.398929E+0
22.917000, 3.114822E-2, 1.409125E+0
22.918000, 1.025664E-1, 1.409125E+0
22.919000, 2.094561E-2, 1.398929E+0
22.920000, -7.087780E-2, 1.398929E+0
22.921000, -1.986479E-2, 1.409125E+0
22.922000, 9.236383E-2, 1.398929E+0
22.923000, 1.841872E-1, 1.409125E+0
22.924000, 2.045924E-1, 1.398929E+0
22.925000, 1.739846E-1, 1.398929E+0
22.926000, -6.067520E-2, 1.398929E+0
22.927000, 6.175602E-2, 1.409125E+0
22.928000, 5.155342E-2, 1.409125E+0
22.929000, 4.135082E-2, 1.398929E+0
22.930000, 6.175602E-2, 1.398929E+0
22.931000, 5.155342E-2, 1.398929E+0
22.932000, 1.229716E-1, 1.409125E+0
22.933000, 2.147950E-1, 1.398929E+0
22.934000, 1.433768E-1, 1.409125E+0
, , 
22.935000, 1.074301E-2, 1.398929E+0
22.936000, -6.067520E-2, 1.409125E+0
22.937000, 5.155342E-2, 1.409125E+0
22.938000, 9.236383E-2, 1.398929E+0
22.939000, 1.229716E-1, 1.398929E+0
22.940000, 1.433768E-1, 1.409125E+0
22.941000, 5.155342E-2, 1.409125E+0
22.942000, 2.094561E-2, 1.409125E+0
22.943000, 5.155342E-2, 1.398929E+0
22.944000, 2.094561E-2, 1.398929E+0
22.945000, 6.175602E-2, 1.409125E+0
22.946000, 9.236383E-2, 1.398929E+0
22.947000, 1.025664E-1, 1.398929E+0
22.948000, 4.135082E-2, 1.398929E+0
22.949000, -9.662192E-3, 1.398929E+0
22.950000, 2.094561E-2, 1.409125E+0
22.951000, 1.074301E-2, 1.409125E+0
22.952000, 4.135082E-2, 1.398929E+0
22.953000, 9.236383E-2, 1.409125E+0
22.954000, 8.216122E-2, 1.398929E+0
22.955000, 5.155342E-2, 1.409125E+0
22.956000, 6.175602E-2, 1.398929E+0
22.957000, 5.155342E-2, 1.398929E+0
22.958000, 5.155342E-2, 1.398929E+0
22.959000, 1.637820E-1, 1.409125E+0
22.960000, 3.270237E-1, 1.398929E+0
22.961000, 3.114822E-2, 1.398929E+0
22.962000, -4.027000E-2, 1.398929E+0
22.963000, 2.094561E-2, 1.398929E+0
22.964000, 8.216122E-2, 1.409125E+0
22.965000, 1.025664E-1, 1.398929E+0
22.966000, 5.155342E-2, 1.398929E+0
22.967000, 4.135082E-2, 1.398929E+0
, , 
