Time (s), Activation By Channel (% of MVC)
56.265000, 5.019417E-2, 4.710516E-3
56.266000, 1.744638E-2, 5.540076E-3
56.267000, 1.624821E-3, 4.618708E-3
56.268000, 7.325468E-3, 3.052175E-3
56.269000, 3.688958E-2, 6.901520E-3
56.270000, 1.305374E-2, 5.126723E-3
56.271000, 8.338007E-2, 3.614788E-3
56.272000, 5.240980E-2, 6.309610E-3
56.273000, 8.813972E-2, 4.527530E-3
56.274000, 1.187182E-2, 3.027156E-3
56.275000, 1.476486E-2, 6.869868E-3
56.276000, 1.779085E-2, 5.047472E-3
56.277000, 4.836323E-2, 3.496530E-3
56.278000, 2.795739E-2, 6.458814E-3
56.279000, 6.527526E-2, 4.700194E-3
56.280000, 4.666122E-2, 3.216398E-3
56.281000, 3.169718E-2, 1.980754E-3
56.282000, 2.854659E-2, 7.683085E-3
56.283000, 3.391991E-2, 5.657025E-3
56.284000, 7.967274E-2, 3.929921E-3
56.285000, 4.825529E-2, 6.176094E-3
56.286000, 4.033112E-2, 4.544642E-3
56.287000, 4.945566E-2, 3.166472E-3
56.288000, 1.637217E-2, 2.016828E-3
56.289000, 2.072135E-2, 7.578761E-3
56.290000, 2.108537E-3, 5.500389E-3
56.291000, 2.580098E-2, 4.915896E-3
56.292000, 1.668575E-1, 3.556585E-3
56.293000, 1.891902E-2, 2.415229E-3
56.294000, 6.934194E-3, 1.469799E-3
56.295000, 6.750747E-3, 7.951530E-3
56.296000, 1.093034E-2, 5.726288E-3
56.297000, 5.762730E-3, 4.811951E-3
, , 
56.298000, 1.661045E-3, 5.098994E-3
56.299000, 7.155269E-3, 5.329764E-3
56.300000, 1.062833E-2, 3.970054E-3
56.301000, 4.868082E-3, 2.817475E-3
56.302000, 1.601224E-2, 6.799145E-3
56.303000, 2.501853E-3, 4.756806E-3
56.304000, 6.919317E-3, 3.039737E-3
56.305000, 2.693403E-2, 1.616792E-3
56.306000, 3.986717E-2, 8.192742E-3
56.307000, 2.963908E-2, 6.275015E-3
56.308000, 5.619181E-3, 4.028069E-3
56.309000, 8.332152E-2, 6.053678E-3
56.310000, 2.051458E-1, 4.390084E-3
56.311000, 4.951683E-2, 2.974609E-3
56.312000, 9.890477E-2, 1.784876E-3
56.313000, 2.488130E-2, 7.995165E-4
56.314000, 2.089051E-2, 8.652878E-3
56.315000, 3.655743E-2, 6.449645E-3
56.316000, 6.929885E-2, 4.575425E-3
56.317000, 6.527506E-2, 5.651516E-3
56.318000, 6.935685E-2, 4.532721E-3
56.319000, 9.614719E-2, 5.658880E-3
56.320000, 7.712211E-2, 4.096146E-3
56.321000, 2.561575E-2, 5.878487E-3
56.322000, 1.345669E-2, 4.145325E-3
56.323000, 5.605472E-2, 5.959109E-3
56.324000, 6.096284E-3, 4.320597E-3
56.325000, 3.014455E-2, 2.931761E-3
56.326000, 6.279306E-3, 1.769444E-3
56.327000, 1.916095E-3, 7.839480E-3
56.328000, 1.010696E-2, 5.773995E-3
56.329000, 7.134943E-3, 4.020313E-3
56.330000, 1.344110E-3, 2.549249E-3
, , 
56.331000, 1.215711E-2, 1.333069E-3
56.332000, 4.627908E-3, 8.305575E-3
56.333000, 1.692510E-2, 2.401518E-3
56.334000, 2.634091E-2, 1.322603E-3
56.335000, 2.100489E-2, 4.499848E-4
56.336000, 2.407204E-2, 8.890520E-3
56.337000, 6.941971E-3, 2.072426E-3
56.338000, 1.923267E-2, 7.440871E-3
56.339000, 1.721522E-2, 5.293049E-3
56.340000, 1.910061E-1, 5.180506E-3
56.341000, 6.571597E-2, 3.867000E-3
56.342000, 1.597942E-2, 2.760737E-3
56.343000, 1.179526E-1, 1.840483E-3
56.344000, 4.713175E-2, 7.564768E-3
56.345000, 2.404083E-2, 5.331708E-3
56.346000, 1.158438E-2, 5.206937E-3
56.347000, 1.606709E-2, 3.940890E-3
56.348000, 1.878497E-2, 5.784227E-3
56.349000, 2.936475E-2, 3.845439E-3
56.350000, 3.639482E-2, 6.424094E-3
56.351000, 7.506118E-2, 3.737504E-3
56.352000, 3.062503E-2, 2.192207E-3
56.353000, 1.474837E-2, 7.724947E-3
56.354000, 2.006501E-2, 2.749862E-3
56.355000, 5.691195E-3, 7.170439E-3
56.356000, 4.944812E-3, 5.355696E-3
56.357000, 1.356208E-2, 4.851694E-3
56.358000, 2.352506E-4, 3.332150E-3
56.359000, 1.650602E-2, 6.577614E-3
56.360000, 3.597896E-2, 4.763100E-3
56.361000, 2.210874E-2, 3.216555E-3
56.362000, 2.393117E-2, 6.736698E-3
56.363000, 1.170028E-1, 4.977290E-3
, , 
56.364000, 1.428783E-2, 3.493178E-3
56.365000, 4.316093E-2, 6.394047E-3
56.366000, 8.183588E-2, 4.568210E-3
56.367000, 3.801819E-2, 5.631105E-3
56.368000, 2.171945E-2, 4.087049E-3
56.369000, 3.667472E-3, 5.861036E-3
56.370000, 8.993941E-3, 4.096144E-3
56.371000, 1.534269E-4, 2.608159E-3
56.372000, 2.462298E-2, 1.371247E-3
56.373000, 1.568299E-2, 8.290323E-3
56.374000, 1.765727E-2, 6.258051E-3
56.375000, 1.368706E-3, 4.130485E-3
56.376000, 1.593307E-2, 5.890899E-3
56.377000, 2.589873E-2, 4.188336E-3
56.378000, 3.212769E-2, 5.899156E-3
56.379000, 3.818079E-2, 4.255048E-3
56.380000, 1.504632E-2, 2.869837E-3
56.381000, 2.378267E-2, 6.932619E-3
56.382000, 4.631325E-2, 5.034140E-3
56.383000, 7.757290E-2, 3.423596E-3
56.384000, 5.278863E-2, 6.576769E-3
56.385000, 3.175526E-2, 4.850380E-3
56.386000, 4.644267E-2, 3.387706E-3
56.387000, 3.237197E-2, 2.163647E-3
56.388000, 4.761751E-2, 7.496683E-3
56.389000, 2.253250E-2, 3.177215E-3
56.390000, 4.590282E-3, 6.595327E-3
56.391000, 5.979251E-3, 3.973018E-3
56.392000, 2.612910E-3, 2.752602E-3
56.393000, 1.802884E-2, 1.737651E-3
56.394000, 1.165828E-2, 7.744273E-3
56.395000, 1.014788E-2, 5.571320E-3
56.396000, 2.720507E-2, 3.728743E-3
, , 
56.397000, 1.746667E-1, 6.464767E-3
56.398000, 8.254749E-2, 3.754953E-3
56.399000, 4.855365E-2, 2.252057E-3
56.400000, 1.135924E-2, 7.636349E-3
56.401000, 1.776926E-3, 2.855501E-3
56.402000, 8.176424E-2, 1.593407E-3
56.403000, 5.981800E-3, 8.083842E-3
56.404000, 2.282210E-2, 6.059817E-3
56.405000, 1.818994E-2, 4.326079E-3
56.406000, 4.936073E-3, 5.693925E-3
56.407000, 3.068662E-2, 4.663724E-3
56.408000, 3.158829E-2, 3.265795E-3
56.409000, 3.003805E-3, 2.103114E-3
56.410000, 1.537905E-2, 7.499959E-3
56.411000, 2.420572E-2, 3.226466E-3
56.412000, 2.578524E-2, 6.498739E-3
56.413000, 8.485313E-3, 4.539628E-3
56.414000, 1.302799E-2, 5.767010E-3
56.415000, 1.060552E-2, 4.344062E-3
56.416000, 3.355500E-4, 1.138896E-2
56.417000, 8.277319E-3, 1.436456E-3
56.418000, 6.422918E-2, 2.050554E-3
56.419000, 5.268463E-2, 2.493053E-3
56.420000, 2.777015E-2, 1.143659E-2
56.421000, 2.436869E-2, 8.759445E-3
56.422000, 1.260157E-2, 6.446912E-3
56.423000, 3.857153E-2, 4.182389E-3
56.424000, 3.849619E-3, 3.015552E-3
56.425000, 2.216690E-2, 2.046765E-3
