Time, Activation By Channel (% of MVC)
14.157000, 2.094561E-2, 1.409125E+0
14.158000, 4.135082E-2, 1.398929E+0
14.159000, 5.155342E-2, 1.409125E+0
14.160000, 5.155342E-2, 1.409125E+0
14.161000, 6.175602E-2, 1.409125E+0
14.162000, 4.135082E-2, 1.409125E+0
14.163000, 5.155342E-2, 1.409125E+0
14.164000, 4.135082E-2, 1.409125E+0
14.165000, 6.175602E-2, 1.398929E+0
14.166000, 9.236383E-2, 1.409125E+0
14.167000, 1.127690E-1, 1.398929E+0
14.168000, 6.175602E-2, 1.409125E+0
14.169000, 6.175602E-2, 1.398929E+0
14.170000, 4.135082E-2, 1.398929E+0
14.171000, 6.175602E-2, 1.398929E+0
14.172000, 2.094561E-2, 1.398929E+0
14.173000, 2.094561E-2, 1.409125E+0
14.174000, 3.114822E-2, 1.409125E+0
14.175000, 5.155342E-2, 1.409125E+0
14.176000, 3.114822E-2, 1.409125E+0
14.177000, 6.175602E-2, 1.409125E+0
14.178000, 5.155342E-2, 1.398929E+0
14.179000, 7.195862E-2, 1.409125E+0
14.180000, 1.025664E-1, 1.409125E+0
14.181000, 1.127690E-1, 1.409125E+0
14.182000, 1.127690E-1, 1.409125E+0
14.183000, 1.127690E-1, 1.409125E+0
14.184000, 1.127690E-1, 1.409125E+0
14.185000, 1.025664E-1, 1.409125E+0
14.186000, 7.195862E-2, 1.409125E+0
14.187000, 8.216122E-2, 1.409125E+0
14.188000, 6.175602E-2, 1.409125E+0
14.189000, 7.195862E-2, 1.409125E+0
, , 
14.190000, 2.094561E-2, 1.409125E+0
14.191000, 5.155342E-2, 1.409125E+0
14.192000, 6.175602E-2, 1.409125E+0
14.193000, 9.236383E-2, 1.398929E+0
14.194000, 1.331742E-1, 1.409125E+0
14.195000, 1.739846E-1, 1.409125E+0
14.196000, 1.637820E-1, 1.398929E+0
14.197000, 1.331742E-1, 1.398929E+0
14.198000, 1.127690E-1, 1.409125E+0
14.199000, 1.331742E-1, 1.409125E+0
14.200000, 1.331742E-1, 1.409125E+0
14.201000, 1.229716E-1, 1.409125E+0
14.202000, 4.135082E-2, 1.409125E+0
14.203000, 8.216122E-2, 1.398929E+0
14.204000, 1.025664E-1, 1.409125E+0
14.205000, 8.216122E-2, 1.398929E+0
14.206000, -1.986479E-2, 1.398929E+0
14.207000, 8.216122E-2, 1.409125E+0
14.208000, 1.433768E-1, 1.398929E+0
14.209000, 1.739846E-1, 1.409125E+0
14.210000, 1.841872E-1, 1.398929E+0
14.211000, 1.433768E-1, 1.409125E+0
14.212000, -7.087780E-2, 1.409125E+0
14.213000, -5.047260E-2, 1.409125E+0
14.214000, 2.094561E-2, 1.398929E+0
14.215000, 9.236383E-2, 1.398929E+0
14.216000, 1.127690E-1, 1.398929E+0
14.217000, 1.433768E-1, 1.398929E+0
14.218000, 5.155342E-2, 1.398929E+0
14.219000, -3.006740E-2, 1.398929E+0
14.220000, 4.135082E-2, 1.398929E+0
14.221000, -3.006740E-2, 1.398929E+0
14.222000, -4.027000E-2, 1.398929E+0
, , 
14.223000, 2.094561E-2, 1.398929E+0
14.224000, 5.404097E-4, 1.409125E+0
14.225000, 5.155342E-2, 1.398929E+0
14.226000, 6.175602E-2, 1.398929E+0
14.227000, 1.127690E-1, 1.398929E+0
14.228000, 9.236383E-2, 1.398929E+0
14.229000, 1.025664E-1, 1.409125E+0
14.230000, 1.025664E-1, 1.398929E+0
14.231000, 5.404097E-4, 1.409125E+0
14.232000, 9.236383E-2, 1.398929E+0
14.233000, 9.236383E-2, 1.398929E+0
14.234000, 1.331742E-1, 1.409125E+0
14.235000, 1.127690E-1, 1.409125E+0
14.236000, 2.094561E-2, 1.398929E+0
14.237000, -9.662192E-3, 1.398929E+0
14.238000, 5.155342E-2, 1.398929E+0
14.239000, 8.216122E-2, 1.409125E+0
14.240000, 3.114822E-2, 1.398929E+0
14.241000, 8.216122E-2, 1.398929E+0
14.242000, 1.025664E-1, 1.398929E+0
14.243000, 7.195862E-2, 1.398929E+0
14.244000, -9.128301E-2, 1.398929E+0
14.245000, -1.218908E-1, 1.398929E+0
14.246000, -1.218908E-1, 1.398929E+0
14.247000, 1.127690E-1, 1.398929E+0
14.248000, 2.454029E-1, 1.398929E+0
14.249000, 1.433768E-1, 1.398929E+0
14.250000, 9.236383E-2, 1.398929E+0
14.251000, 1.025664E-1, 1.398929E+0
14.252000, 1.229716E-1, 1.398929E+0
14.253000, 1.229716E-1, 1.398929E+0
14.254000, 1.025664E-1, 1.398929E+0
14.255000, 9.236383E-2, 1.398929E+0
, , 
14.256000, 6.175602E-2, 1.398929E+0
14.257000, 3.114822E-2, 1.398929E+0
14.258000, 6.175602E-2, 1.398929E+0
14.259000, 7.195862E-2, 1.398929E+0
14.260000, 9.236383E-2, 1.409125E+0
14.261000, 1.025664E-1, 1.398929E+0
14.262000, 9.236383E-2, 1.409125E+0
14.263000, 1.331742E-1, 1.398929E+0
14.264000, 1.127690E-1, 1.409125E+0
14.265000, 1.433768E-1, 1.409125E+0
14.266000, 9.236383E-2, 1.398929E+0
14.267000, -1.986479E-2, 1.409125E+0
14.268000, 3.114822E-2, 1.409125E+0
14.269000, 4.135082E-2, 1.398929E+0
14.270000, 3.114822E-2, 1.409125E+0
14.271000, 6.175602E-2, 1.398929E+0
14.272000, 6.175602E-2, 1.409125E+0
14.273000, 7.195862E-2, 1.409125E+0
14.274000, 1.025664E-1, 1.409125E+0
14.275000, 9.236383E-2, 1.398929E+0
14.276000, 9.236383E-2, 1.409125E+0
14.277000, -8.108041E-2, 1.409125E+0
14.278000, 1.074301E-2, 1.409125E+0
