Time (s), Raw Data By Channel
0.137000, 1.331742E-1, 1.398929E+0
0.138000, 5.106705E-1, 1.409125E+0
0.139000, 4.800627E-1, 1.398929E+0
0.140000, 2.556055E-1, 1.409125E+0
0.141000, 6.175602E-2, 1.409125E+0
0.142000, -9.662192E-3, 1.409125E+0
0.143000, 1.637820E-1, 1.398929E+0
0.144000, 9.236383E-2, 1.409125E+0
0.145000, -5.047260E-2, 1.398929E+0
0.146000, -4.027000E-2, 1.398929E+0
0.147000, -1.116882E-1, 1.409125E+0
0.148000, 2.094561E-2, 1.398929E+0
0.149000, -7.087780E-2, 1.398929E+0
0.150000, 1.074301E-2, 1.398929E+0
0.151000, 1.841872E-1, 1.409125E+0
0.152000, 2.045924E-1, 1.398929E+0
0.153000, 1.331742E-1, 1.409125E+0
0.154000, 2.147950E-1, 1.409125E+0
0.155000, 1.127690E-1, 1.398929E+0
0.156000, 6.175602E-2, 1.409125E+0
0.157000, 1.025664E-1, 1.409125E+0
0.158000, 1.535794E-1, 1.409125E+0
0.159000, 3.114822E-2, 1.409125E+0
0.160000, 7.195862E-2, 1.398929E+0
0.161000, 1.025664E-1, 1.398929E+0
0.162000, 9.236383E-2, 1.398929E+0
0.163000, -1.014856E-1, 1.398929E+0
0.164000, -1.986479E-2, 1.409125E+0
, , 
0.165000, -3.006740E-2, 1.409125E+0
0.166000, -1.986479E-2, 1.398929E+0
0.167000, -7.087780E-2, 1.398929E+0
0.168000, -1.320934E-1, 1.409125E+0
0.169000, -3.006740E-2, 1.409125E+0
0.170000, -5.047260E-2, 1.409125E+0
0.171000, 3.882393E-1, 1.409125E+0
0.172000, 6.175602E-2, 1.398929E+0
0.173000, 1.025664E-1, 1.398929E+0
0.174000, 2.556055E-1, 1.409125E+0
0.175000, 3.474289E-1, 1.398929E+0
0.176000, 3.474289E-1, 1.409125E+0
0.177000, 4.188471E-1, 1.409125E+0
0.178000, 4.494549E-1, 1.398929E+0
0.179000, -1.933090E-1, 1.398929E+0
0.180000, -4.585767E-1, 1.398929E+0
0.181000, -2.239168E-1, 1.398929E+0
0.182000, -1.116882E-1, 1.409125E+0
0.183000, 2.094561E-2, 1.409125E+0
0.184000, 1.127690E-1, 1.398929E+0
0.185000, 1.127690E-1, 1.409125E+0
0.186000, 1.433768E-1, 1.398929E+0
0.187000, 1.229716E-1, 1.409125E+0
0.188000, -1.986479E-2, 1.398929E+0
0.189000, 3.114822E-2, 1.398929E+0
0.190000, 4.135082E-2, 1.398929E+0
0.191000, 3.114822E-2, 1.398929E+0
0.192000, 7.195862E-2, 1.398929E+0
0.193000, 8.216122E-2, 1.409125E+0
0.194000, 7.195862E-2, 1.409125E+0
0.195000, 1.074301E-2, 1.398929E+0
0.196000, 6.175602E-2, 1.409125E+0
0.197000, 9.236383E-2, 1.398929E+0
, , 
0.198000, 7.195862E-2, 1.409125E+0
0.199000, 2.094561E-2, 1.398929E+0
0.200000, 1.025664E-1, 1.409125E+0
0.201000, 1.535794E-1, 1.398929E+0
0.202000, 2.249977E-1, 1.398929E+0
0.203000, 2.147950E-1, 1.398929E+0
0.204000, 2.352003E-1, 1.409125E+0
0.205000, 1.943898E-1, 1.398929E+0
0.206000, 1.841872E-1, 1.398929E+0
0.207000, -6.067520E-2, 1.398929E+0
0.208000, 6.175602E-2, 1.398929E+0
0.209000, -1.320934E-1, 1.409125E+0
0.210000, -2.443220E-1, 1.398929E+0
0.211000, -1.422960E-1, 1.398929E+0
0.212000, 2.094561E-2, 1.398929E+0
0.213000, 4.290497E-1, 1.398929E+0
0.214000, 1.943898E-1, 1.398929E+0
0.215000, 2.352003E-1, 1.409125E+0
0.216000, 6.331017E-1, 1.409125E+0
0.217000, 3.372263E-1, 1.409125E+0
0.218000, 2.658081E-1, 1.398929E+0
0.219000, 2.045924E-1, 1.398929E+0
0.220000, -2.239168E-1, 1.409125E+0
0.221000, -1.627012E-1, 1.409125E+0
0.222000, 7.195862E-2, 1.409125E+0
0.223000, 1.074301E-2, 1.398929E+0
0.224000, -1.986479E-2, 1.398929E+0
0.225000, 1.074301E-2, 1.398929E+0
0.226000, 4.135082E-2, 1.409125E+0
0.227000, 2.760107E-1, 1.398929E+0
0.228000, 2.964159E-1, 1.409125E+0
0.229000, 1.074301E-2, 1.409125E+0
0.230000, -1.729038E-1, 1.409125E+0
, , 
0.231000, 1.841872E-1, 1.398929E+0
0.232000, 2.352003E-1, 1.398929E+0
0.233000, 6.175602E-2, 1.398929E+0
0.234000, -1.422960E-1, 1.398929E+0
0.235000, 1.535794E-1, 1.398929E+0
0.236000, 4.135082E-2, 1.398929E+0
