Time (s), Percentage Displayed
9.609561, 14.231679
9.643652, 13.812929
9.675738, 15.205413
9.708825, 15.742511
9.741918, 16.092606
9.776009, 16.778376
9.810099, 16.973474
9.843182, 16.312617
9.876270, 16.279842
9.909348, 16.006789
9.943422, 15.915106
9.977501, 15.382413
