t0,5/2/2017  11:03:14.356096
delta t,0.001000

time,Y
5/2/2017  11:03:14.356096,2.609863
5/2/2017  11:03:14.357096,2.609863
5/2/2017  11:03:14.358096,2.739558
5/2/2017  11:03:14.359096,2.604777
5/2/2017  11:03:14.360096,2.706498
5/2/2017  11:03:14.361096,2.618764
5/2/2017  11:03:14.362096,2.723028
5/2/2017  11:03:14.363096,2.696326
5/2/2017  11:03:14.364096,2.612406
5/2/2017  11:03:14.365096,2.511956
5/2/2017  11:03:14.366096,2.646737
5/2/2017  11:03:14.367096,2.688697
5/2/2017  11:03:14.368096,2.640379
5/2/2017  11:03:14.369096,2.635293
5/2/2017  11:03:14.370096,2.687425
5/2/2017  11:03:14.371096,2.700141
5/2/2017  11:03:14.372096,2.679796
5/2/2017  11:03:14.373096,2.658181
5/2/2017  11:03:14.374096,2.753544
5/2/2017  11:03:14.375096,2.723028
5/2/2017  11:03:14.376096,2.717942
5/2/2017  11:03:14.377096,2.729385
5/2/2017  11:03:14.378096,2.683611
5/2/2017  11:03:14.379096,2.712856
5/2/2017  11:03:14.380096,2.560274
5/2/2017  11:03:14.381096,2.701412
5/2/2017  11:03:14.382096,2.467453
5/2/2017  11:03:14.383096,2.623850
5/2/2017  11:03:14.384096,2.604777
5/2/2017  11:03:14.385096,2.585704
5/2/2017  11:03:14.386096,2.705227
5/2/2017  11:03:14.387096,2.626393
5/2/2017  11:03:14.388096,2.705227
5/2/2017  11:03:14.389096,2.691240
5/2/2017  11:03:14.390096,2.636565
5/2/2017  11:03:14.391096,2.756087
5/2/2017  11:03:14.392096,2.664538
5/2/2017  11:03:14.393096,2.678525
5/2/2017  11:03:14.394096,10.417284
5/2/2017  11:03:14.395096,10.417284
5/2/2017  11:03:14.396096,10.416966
5/2/2017  11:03:14.397096,10.416966
5/2/2017  11:03:14.398096,10.416966
5/2/2017  11:03:14.399096,10.416966
5/2/2017  11:03:14.400096,10.416966
5/2/2017  11:03:14.401096,10.416966
5/2/2017  11:03:14.402096,10.417284
5/2/2017  11:03:14.403096,10.417284
5/2/2017  11:03:14.404096,10.417284
5/2/2017  11:03:14.405096,10.417284
5/2/2017  11:03:14.406096,10.416966
5/2/2017  11:03:14.407096,10.417284
5/2/2017  11:03:14.408096,10.417284
5/2/2017  11:03:14.409096,10.417284
5/2/2017  11:03:14.410096,10.417284
5/2/2017  11:03:14.411096,10.416966
5/2/2017  11:03:14.412096,10.417284
5/2/2017  11:03:14.413096,10.416966
5/2/2017  11:03:14.414096,10.416966
5/2/2017  11:03:14.415096,10.416966
5/2/2017  11:03:14.416096,10.416966
5/2/2017  11:03:14.417096,10.416966
5/2/2017  11:03:14.418096,10.416966
5/2/2017  11:03:14.419096,10.417284
5/2/2017  11:03:14.420096,10.416966
5/2/2017  11:03:14.421096,10.416966
5/2/2017  11:03:14.422096,10.416966
5/2/2017  11:03:14.423096,10.417284
5/2/2017  11:03:14.424096,10.416966
5/2/2017  11:03:14.425096,10.416966
5/2/2017  11:03:14.426096,10.417284
5/2/2017  11:03:14.427096,10.416966
5/2/2017  11:03:14.428096,10.417284
5/2/2017  11:03:14.429096,10.417284
5/2/2017  11:03:14.430096,10.416966
5/2/2017  11:03:14.431096,10.417284
5/2/2017  11:03:14.432096,10.416966
5/2/2017  11:03:14.433096,10.416966
5/2/2017  11:03:14.434096,10.417284
5/2/2017  11:03:14.435096,10.416966
5/2/2017  11:03:14.436096,10.416966
5/2/2017  11:03:14.437096,10.416966
5/2/2017  11:03:14.438096,10.417284
5/2/2017  11:03:14.439096,10.416966
5/2/2017  11:03:14.440096,10.416966
5/2/2017  11:03:14.441096,10.417284
5/2/2017  11:03:14.442096,10.417284
5/2/2017  11:03:14.443096,10.416966
5/2/2017  11:03:14.444096,10.416966
5/2/2017  11:03:14.445096,10.416966
5/2/2017  11:03:14.446096,10.416966
5/2/2017  11:03:14.447096,10.416966
5/2/2017  11:03:14.448096,10.416966
5/2/2017  11:03:14.449096,10.417284
5/2/2017  11:03:14.450096,10.416966
5/2/2017  11:03:14.451096,10.416966
5/2/2017  11:03:14.452096,10.417284
5/2/2017  11:03:14.453096,10.416966
5/2/2017  11:03:14.454096,10.417284
5/2/2017  11:03:14.455096,10.417284
5/2/2017  11:03:14.456096,10.416966
5/2/2017  11:03:14.457096,10.417284
5/2/2017  11:03:14.458096,10.417284
5/2/2017  11:03:14.459096,10.417284
5/2/2017  11:03:14.460096,10.416966
5/2/2017  11:03:14.461096,10.416966
5/2/2017  11:03:14.462096,10.417284
5/2/2017  11:03:14.463096,10.416966
5/2/2017  11:03:14.464096,10.416966
5/2/2017  11:03:14.465096,10.416966
5/2/2017  11:03:14.466096,10.416966
5/2/2017  11:03:14.467096,10.416966
5/2/2017  11:03:14.468096,10.416966
5/2/2017  11:03:14.469096,10.416966
5/2/2017  11:03:14.470096,10.417284
5/2/2017  11:03:14.471096,10.416966
5/2/2017  11:03:14.472096,10.416966
5/2/2017  11:03:14.473096,10.416966
5/2/2017  11:03:14.474096,10.417284
5/2/2017  11:03:14.475096,10.416966
5/2/2017  11:03:14.476096,10.417284
5/2/2017  11:03:14.477096,10.417284
5/2/2017  11:03:14.478096,10.417284
5/2/2017  11:03:14.479096,10.416966
5/2/2017  11:03:14.480096,10.417284
5/2/2017  11:03:14.481096,10.416966
5/2/2017  11:03:14.482096,10.416966
5/2/2017  11:03:14.483096,10.416966
5/2/2017  11:03:14.484096,10.416966
5/2/2017  11:03:14.485096,10.416966
5/2/2017  11:03:14.486096,10.417284
5/2/2017  11:03:14.487096,10.416966
5/2/2017  11:03:14.488096,10.416966
5/2/2017  11:03:14.489096,10.416966
5/2/2017  11:03:14.490096,2.772617
5/2/2017  11:03:14.491096,2.659452
5/2/2017  11:03:14.492096,2.702684
5/2/2017  11:03:14.493096,2.743372
5/2/2017  11:03:14.494096,2.737014
5/2/2017  11:03:14.495096,2.625121
5/2/2017  11:03:14.496096,2.614949
5/2/2017  11:03:14.497096,2.598419
5/2/2017  11:03:14.498096,2.712856
5/2/2017  11:03:14.499096,2.627664
5/2/2017  11:03:14.500096,2.672167
5/2/2017  11:03:14.501096,2.705227
5/2/2017  11:03:14.502096,2.655638
5/2/2017  11:03:14.503096,2.669624
5/2/2017  11:03:14.504096,2.654366
5/2/2017  11:03:14.505096,2.612406
5/2/2017  11:03:14.506096,2.616221
5/2/2017  11:03:14.507096,2.569174
5/2/2017  11:03:14.508096,2.678525
5/2/2017  11:03:14.509096,2.642922
5/2/2017  11:03:14.510096,2.634022
5/2/2017  11:03:14.511096,2.678525
5/2/2017  11:03:14.512096,2.594605
5/2/2017  11:03:14.513096,2.650551
5/2/2017  11:03:14.514096,2.611134
5/2/2017  11:03:14.515096,2.532301
5/2/2017  11:03:14.516096,2.614949
5/2/2017  11:03:14.517096,2.621307
5/2/2017  11:03:14.518096,2.738286
5/2/2017  11:03:14.519096,2.684882
5/2/2017  11:03:14.520096,2.655638
5/2/2017  11:03:14.521096,2.798047
5/2/2017  11:03:14.522096,2.614949
5/2/2017  11:03:14.523096,2.707770
5/2/2017  11:03:14.524096,2.723028
5/2/2017  11:03:14.525096,2.695054
5/2/2017  11:03:14.526096,2.655638
5/2/2017  11:03:14.527096,2.611134
5/2/2017  11:03:14.528096,2.613678
5/2/2017  11:03:14.529096,2.728114
5/2/2017  11:03:14.530096,2.618764
5/2/2017  11:03:14.531096,2.590790
5/2/2017  11:03:14.532096,2.743372
5/2/2017  11:03:14.533096,2.696326
5/2/2017  11:03:14.534096,2.766259
5/2/2017  11:03:14.535096,2.585704
5/2/2017  11:03:14.536096,2.710313
5/2/2017  11:03:14.537096,2.656909
5/2/2017  11:03:14.538096,2.656909
5/2/2017  11:03:14.539096,2.767531
5/2/2017  11:03:14.540096,2.803133
5/2/2017  11:03:14.541096,2.700141
5/2/2017  11:03:14.542096,2.763716
5/2/2017  11:03:14.543096,2.692511
5/2/2017  11:03:14.544096,2.607320
5/2/2017  11:03:14.545096,2.604777
5/2/2017  11:03:14.546096,2.570446
5/2/2017  11:03:14.547096,2.600962
5/2/2017  11:03:14.548096,2.637836
5/2/2017  11:03:14.549096,2.672167
5/2/2017  11:03:14.550096,2.645465
5/2/2017  11:03:14.551096,2.674710
5/2/2017  11:03:14.552096,2.684882
5/2/2017  11:03:14.553096,2.598419
5/2/2017  11:03:14.554096,2.578075
5/2/2017  11:03:14.555096,2.739558
5/2/2017  11:03:14.556096,2.639108
5/2/2017  11:03:14.557096,2.649280
5/2/2017  11:03:14.558096,2.743372
5/2/2017  11:03:14.559096,2.684882
5/2/2017  11:03:14.560096,2.609863
5/2/2017  11:03:14.561096,2.744644
5/2/2017  11:03:14.562096,2.705227
5/2/2017  11:03:14.563096,2.618764
5/2/2017  11:03:14.564096,2.696326
5/2/2017  11:03:14.565096,2.758630
5/2/2017  11:03:14.566096,2.738286
5/2/2017  11:03:14.567096,2.758630
5/2/2017  11:03:14.568096,2.566631
5/2/2017  11:03:14.569096,2.622578
5/2/2017  11:03:14.570096,2.650551
5/2/2017  11:03:14.571096,2.602234
5/2/2017  11:03:14.572096,2.697598
5/2/2017  11:03:14.573096,2.667081
5/2/2017  11:03:14.574096,2.659452
5/2/2017  11:03:14.575096,2.688697
5/2/2017  11:03:14.576096,2.623850
5/2/2017  11:03:14.577096,2.608591
5/2/2017  11:03:14.578096,2.702684
5/2/2017  11:03:14.579096,2.665810
5/2/2017  11:03:14.580096,2.683611
5/2/2017  11:03:14.581096,2.733200
5/2/2017  11:03:14.582096,2.697598
5/2/2017  11:03:14.583096,2.689968
5/2/2017  11:03:14.584096,2.717942
5/2/2017  11:03:14.585096,10.417284
5/2/2017  11:03:14.586096,10.417284
5/2/2017  11:03:14.587096,10.416966
5/2/2017  11:03:14.588096,10.417284
5/2/2017  11:03:14.589096,10.417284
5/2/2017  11:03:14.590096,10.416966
5/2/2017  11:03:14.591096,10.416966
5/2/2017  11:03:14.592096,10.417284
5/2/2017  11:03:14.593096,10.417284
5/2/2017  11:03:14.594096,10.417284
5/2/2017  11:03:14.595096,10.417284
5/2/2017  11:03:14.596096,10.417284
5/2/2017  11:03:14.597096,10.416966
5/2/2017  11:03:14.598096,10.416966
5/2/2017  11:03:14.599096,10.416966
5/2/2017  11:03:14.600096,10.416966
5/2/2017  11:03:14.601096,10.417284
5/2/2017  11:03:14.602096,10.417284
5/2/2017  11:03:14.603096,10.417284
5/2/2017  11:03:14.604096,10.416966
5/2/2017  11:03:14.605096,10.416966
5/2/2017  11:03:14.606096,10.416966
5/2/2017  11:03:14.607096,10.417284
5/2/2017  11:03:14.608096,10.417284
5/2/2017  11:03:14.609096,10.417284
5/2/2017  11:03:14.610096,10.416966
5/2/2017  11:03:14.611096,10.417284
5/2/2017  11:03:14.612096,10.416966
5/2/2017  11:03:14.613096,10.416966
5/2/2017  11:03:14.614096,10.416966
5/2/2017  11:03:14.615096,10.417284
5/2/2017  11:03:14.616096,10.416966
5/2/2017  11:03:14.617096,10.416966
5/2/2017  11:03:14.618096,10.416966
5/2/2017  11:03:14.619096,10.416966
5/2/2017  11:03:14.620096,10.416966
5/2/2017  11:03:14.621096,10.416966
5/2/2017  11:03:14.622096,10.417284
5/2/2017  11:03:14.623096,10.417284
5/2/2017  11:03:14.624096,10.417284
5/2/2017  11:03:14.625096,10.417284
5/2/2017  11:03:14.626096,10.417284
5/2/2017  11:03:14.627096,10.416966
5/2/2017  11:03:14.628096,10.416966
5/2/2017  11:03:14.629096,10.416966
5/2/2017  11:03:14.630096,10.417284
5/2/2017  11:03:14.631096,10.416966
5/2/2017  11:03:14.632096,10.416966
5/2/2017  11:03:14.633096,10.416966
5/2/2017  11:03:14.634096,10.416966
5/2/2017  11:03:14.635096,10.416966
5/2/2017  11:03:14.636096,10.417284
5/2/2017  11:03:14.637096,10.416966
5/2/2017  11:03:14.638096,10.417284
5/2/2017  11:03:14.639096,10.417284
