Parameters: 	Upper Cutoff:  500	Lower Cutoff: 10	Sample Rate (Hz): 1000	Frames Per Second30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807	10/19/2017  17:43:20.282807
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:43:20.309206	3.700497E+0	9.504330E-3	1.163738E-3	3.775139E-4	4.395270E-3	2.111239E-3	1.183855E-2	2.033082E-3
10/19/2017  17:43:20.310206	6.151047E+0	1.218910E-3	5.428611E-3	1.018376E-2	5.542314E-3	1.019577E-2	5.457881E-3	6.742601E-4
10/19/2017  17:43:20.311206	5.293709E+0	5.611365E-3	4.135190E-4	2.308596E-2	1.429031E-2	6.458264E-3	9.389172E-3	2.968542E-3
10/19/2017  17:43:20.312206	4.102416E+0	4.798244E-3	1.710584E-2	1.030271E-2	5.110137E-3	5.551715E-3	1.559631E-3	6.834030E-3
10/19/2017  17:43:20.313206	6.198399E-1	6.549480E-3	6.443118E-3	1.670078E-3	1.955550E-3	2.368120E-3	8.726468E-4	1.342273E-3
10/19/2017  17:43:20.314206	1.356616E+0	1.414718E-3	5.235166E-3	1.776984E-2	1.014254E-2	5.054056E-3	1.113759E-2	5.927824E-3
10/19/2017  17:43:20.315206	3.785493E+0	3.465600E-3	7.590849E-3	1.634668E-3	3.838570E-3	9.797886E-3	1.141928E-4	5.064069E-3
10/19/2017  17:43:20.316206	1.673212E+0	1.871642E-3	9.014493E-3	2.044296E-2	6.261781E-3	8.212830E-3	1.158127E-2	2.759533E-3
10/19/2017  17:43:20.317206	1.156692E-1	6.382441E-3	7.401261E-4	5.672494E-3	3.014871E-3	9.649309E-3	2.737145E-4	7.018806E-3
10/19/2017  17:43:20.318206	1.879587E+0	7.602675E-4	7.484446E-4	4.582568E-3	6.822410E-3	1.080670E-3	1.636165E-2	5.862709E-3
10/19/2017  17:43:20.319206	2.706215E-1	1.675971E-3	1.012916E-2	8.533608E-3	3.709777E-3	1.016371E-2	1.726376E-4	7.352338E-3
