Parameters: 	Upper Cutoff: : 300	Lower Cutoff: : 30	Sample Rate (HZ)1000	Frames Per Second: 30	Display Window Size (S)400	MVC Window Size (s): 400	Seconds To Acquire MVC: 3	Display Channel: 0
waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]
t0	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649	10/19/2017  17:45:55.994649
delta t	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000	0.001000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]
10/19/2017  17:45:56.015013	6.055922E-1	1.828100E-2	1.900811E-2	-1.014651E+1	2.477858E-2	2.455003E-2	7.459952E-2	3.164702E-2
10/19/2017  17:45:56.016013	-1.499182E+0	1.828100E-2	3.173413E-2	-1.014142E+1	2.222863E-2	2.455003E-2	7.459952E-2	3.164702E-2
10/19/2017  17:45:56.017013	2.093276E-2	1.064948E-2	1.900811E-2	-1.015415E+1	2.222863E-2	1.691808E-2	6.188501E-2	3.164702E-2
10/19/2017  17:45:56.018013	1.421573E+0	1.064948E-2	1.137250E-2	-1.014142E+1	1.457878E-2	2.963800E-2	7.205661E-2	2.401527E-2
10/19/2017  17:45:56.019013	6.310122E-1	1.828100E-2	2.664372E-2	-1.013887E+1	1.457878E-2	2.200605E-2	7.459952E-2	3.164702E-2
10/19/2017  17:45:56.020013	-7.340406E-1	8.105642E-3	2.155331E-2	-1.012869E+1	2.987847E-2	1.946206E-2	6.951371E-2	3.673486E-2
10/19/2017  17:45:56.021013	-1.229730E+0	2.082484E-2	1.646291E-2	-1.013632E+1	1.712873E-2	2.455003E-2	7.205661E-2	2.147136E-2
10/19/2017  17:45:56.022013	-4.569628E-1	1.064948E-2	2.409852E-2	-1.014142E+1	1.967868E-2	2.455003E-2	7.714242E-2	3.164702E-2
10/19/2017  17:45:56.023013	6.183022E-1	8.105642E-3	2.155331E-2	-1.014142E+1	1.457878E-2	1.946206E-2	7.205661E-2	3.164702E-2
10/19/2017  17:45:56.024013	7.937001E-1	1.573716E-2	2.155331E-2	-1.014142E+1	1.967868E-2	1.946206E-2	6.951371E-2	2.147136E-2
10/19/2017  17:45:56.025013	1.474955E+0	8.105642E-3	2.155331E-2	-1.012105E+1	2.222863E-2	9.286120E-3	8.222822E-2	3.419094E-2
10/19/2017  17:45:56.026013	5.191643E-1	5.561801E-3	1.137250E-2	-1.012869E+1	2.477858E-2	1.183011E-2	6.697081E-2	2.910311E-2
10/19/2017  17:45:56.027013	-7.365826E-1	3.017961E-3	1.900811E-2	-1.014142E+1	9.478889E-3	2.963800E-2	6.951371E-2	2.147136E-2
10/19/2017  17:45:56.028013	1.149867E-1	1.064948E-2	1.646291E-2	-1.014142E+1	2.222863E-2	1.691808E-2	7.205661E-2	2.910311E-2
10/19/2017  17:45:56.029013	1.403780E+0	1.319332E-2	2.155331E-2	-1.013123E+1	9.478889E-3	1.946206E-2	6.442791E-2	3.673486E-2
10/19/2017  17:45:56.030013	1.582006E-1	2.082484E-2	2.409852E-2	-1.013887E+1	2.222863E-2	2.709402E-2	7.459952E-2	3.419094E-2
10/19/2017  17:45:56.031013	-8.153845E-1	1.828100E-2	2.664372E-2	-1.013632E+1	1.967868E-2	1.946206E-2	7.205661E-2	4.436661E-2
10/19/2017  17:45:56.032013	-5.738947E-1	1.064948E-2	2.664372E-2	-1.014651E+1	1.967868E-2	1.437409E-2	6.442791E-2	3.419094E-2
10/19/2017  17:45:56.033013	-2.586870E-1	1.573716E-2	1.900811E-2	-1.014396E+1	2.222863E-2	2.709402E-2	7.205661E-2	1.892744E-2
10/19/2017  17:45:56.034013	-1.010831E-1	1.828100E-2	1.900811E-2	-1.013123E+1	2.222863E-2	1.183011E-2	7.205661E-2	3.927877E-2
10/19/2017  17:45:56.035013	-2.205570E-1	2.082484E-2	8.827299E-3	-1.013378E+1	2.987847E-2	1.946206E-2	6.951371E-2	3.164702E-2
10/19/2017  17:45:56.036013	-4.772988E-1	1.573716E-2	1.646291E-2	-1.014651E+1	2.222863E-2	2.709402E-2	6.442791E-2	2.401527E-2
10/19/2017  17:45:56.037013	-7.365826E-1	5.561801E-3	1.646291E-2	-1.013887E+1	1.202884E-2	2.200605E-2	8.477112E-2	2.655919E-2
10/19/2017  17:45:56.038013	-5.942307E-1	1.064948E-2	1.646291E-2	-1.013632E+1	2.477858E-2	1.946206E-2	6.951371E-2	3.927877E-2
10/19/2017  17:45:56.039013	-2.841070E-1	1.573716E-2	2.155331E-2	-1.013632E+1	3.242842E-2	3.218199E-2	6.951371E-2	3.164702E-2
10/19/2017  17:45:56.040013	1.302387E-1	2.082484E-2	1.391770E-2	-1.013632E+1	2.222863E-2	2.455003E-2	7.459952E-2	2.401527E-2
10/19/2017  17:45:56.041013	4.047744E-1	1.064948E-2	2.155331E-2	-1.014142E+1	1.712873E-2	1.691808E-2	7.968532E-2	2.655919E-2
10/19/2017  17:45:56.042013	2.115826E-1	3.017961E-3	1.900811E-2	-1.013632E+1	1.967868E-2	1.946206E-2	6.951371E-2	3.927877E-2
10/19/2017  17:45:56.043013	-4.798408E-1	1.828100E-2	1.391770E-2	-1.014651E+1	2.732853E-2	3.981394E-2	6.951371E-2	2.655919E-2
10/19/2017  17:45:56.044013	-8.382625E-1	2.082484E-2	2.155331E-2	-1.013632E+1	1.457878E-2	1.946206E-2	8.222822E-2	2.910311E-2
10/19/2017  17:45:56.045013	-6.041116E-2	5.561801E-3	1.391770E-2	-1.014142E+1	1.967868E-2	1.437409E-2	7.459952E-2	2.147136E-2
10/19/2017  17:45:56.046013	1.487665E+0	1.064948E-2	2.155331E-2	-1.013378E+1	2.222863E-2	2.455003E-2	7.205661E-2	2.401527E-2
								
10/19/2017  17:45:56.047013	6.259282E-1	1.319332E-2	1.137250E-2	-1.013632E+1	2.222863E-2	2.200605E-2	7.205661E-2	3.164702E-2
10/19/2017  17:45:56.048013	8.394560E-1	1.064948E-2	1.900811E-2	-1.012614E+1	2.987847E-2	1.691808E-2	8.222822E-2	4.182269E-2
10/19/2017  17:45:56.049013	9.411359E-1	1.319332E-2	1.900811E-2	-1.012869E+1	2.987847E-2	2.455003E-2	6.951371E-2	2.401527E-2
10/19/2017  17:45:56.050013	5.750883E-1	1.828100E-2	1.391770E-2	-1.014905E+1	2.477858E-2	2.709402E-2	7.968532E-2	1.638352E-2
10/19/2017  17:45:56.051013	1.113992E+0	8.105642E-3	2.409852E-2	-1.012359E+1	1.457878E-2	2.455003E-2	7.714242E-2	3.164702E-2
10/19/2017  17:45:56.052013	4.149424E-1	1.573716E-2	1.900811E-2	-1.014396E+1	1.967868E-2	1.946206E-2	7.459952E-2	4.436661E-2
10/19/2017  17:45:56.053013	-2.688550E-1	1.319332E-2	1.646291E-2	-1.013378E+1	1.712873E-2	1.691808E-2	7.459952E-2	2.147136E-2
10/19/2017  17:45:56.054013	-7.442085E-1	1.064948E-2	2.409852E-2	-1.015160E+1	1.202884E-2	2.963800E-2	7.968532E-2	2.655919E-2
10/19/2017  17:45:56.055013	-4.162908E-1	3.017961E-3	1.900811E-2	-1.013123E+1	2.222863E-2	9.286120E-3	6.697081E-2	3.673486E-2
10/19/2017  17:45:56.056013	7.403181E-1	4.741205E-4	3.736893E-3	-1.013887E+1	2.477858E-2	9.286120E-3	6.697081E-2	2.910311E-2
10/19/2017  17:45:56.057013	2.115826E-1	2.082484E-2	1.900811E-2	-1.014142E+1	2.477858E-2	2.455003E-2	6.951371E-2	2.401527E-2
10/19/2017  17:45:56.058013	8.194071E-2	1.319332E-2	3.427933E-2	-1.013887E+1	1.967868E-2	2.709402E-2	7.968532E-2	3.164702E-2
10/19/2017  17:45:56.059013	-1.442971E-1	1.064948E-2	1.646291E-2	-1.014651E+1	1.712873E-2	1.946206E-2	7.205661E-2	3.419094E-2
10/19/2017  17:45:56.060013	-6.730326E-1	1.064948E-2	1.391770E-2	-1.013632E+1	1.202884E-2	2.455003E-2	7.459952E-2	2.147136E-2
10/19/2017  17:45:56.061013	-4.061229E-1	1.064948E-2	2.155331E-2	-1.014651E+1	1.712873E-2	1.946206E-2	7.968532E-2	3.164702E-2
10/19/2017  17:45:56.062013	9.335099E-1	1.064948E-2	1.900811E-2	-1.013887E+1	2.222863E-2	1.946206E-2	7.205661E-2	3.673486E-2
10/19/2017  17:45:56.063013	1.261428E+0	3.354405E-2	1.137250E-2	-1.013378E+1	3.497837E-2	2.709402E-2	7.205661E-2	2.147136E-2
10/19/2017  17:45:56.064013	-2.228120E-2	1.828100E-2	1.900811E-2	-1.014142E+1	1.967868E-2	2.709402E-2	8.222822E-2	2.655919E-2
10/19/2017  17:45:56.065013	-5.967727E-1	-7.157401E-3	2.409852E-2	-1.014142E+1	2.477858E-2	1.437409E-2	6.951371E-2	3.419094E-2
10/19/2017  17:45:56.066013	-1.976790E-1	1.573716E-2	1.137250E-2	-1.013887E+1	2.477858E-2	1.946206E-2	6.697081E-2	3.164702E-2
10/19/2017  17:45:56.067013	-2.383510E-1	2.082484E-2	1.646291E-2	-1.014651E+1	3.242842E-2	2.709402E-2	7.714242E-2	2.910311E-2
10/19/2017  17:45:56.068013	-4.467948E-1	1.064948E-2	2.664372E-2	-1.014142E+1	1.457878E-2	1.946206E-2	7.714242E-2	3.927877E-2
10/19/2017  17:45:56.069013	-2.434350E-1	3.017961E-3	1.646291E-2	-1.013123E+1	1.712873E-2	1.691808E-2	6.188501E-2	2.910311E-2
10/19/2017  17:45:56.070013	8.194071E-2	1.573716E-2	6.282096E-3	-1.014142E+1	2.732853E-2	2.963800E-2	6.697081E-2	2.655919E-2
10/19/2017  17:45:56.071013	2.395446E-1	1.064948E-2	1.646291E-2	-1.013632E+1	1.457878E-2	1.946206E-2	7.968532E-2	4.182269E-2
10/19/2017  17:45:56.072013	-2.637710E-1	3.017961E-3	1.900811E-2	-1.010832E+1	2.222863E-2	2.200605E-2	7.714242E-2	3.419094E-2
10/19/2017  17:45:56.073013	1.480326E-1	1.064948E-2	1.391770E-2	-1.014396E+1	2.732853E-2	2.709402E-2	6.951371E-2	2.401527E-2
10/19/2017  17:45:56.074013	-1.112511E-1	1.573716E-2	2.664372E-2	-1.014396E+1	1.457878E-2	2.455003E-2	7.459952E-2	2.910311E-2
10/19/2017  17:45:56.075013	-2.942750E-1	-2.069720E-3	2.409852E-2	-1.012869E+1	1.967868E-2	1.437409E-2	7.459952E-2	3.673486E-2
10/19/2017  17:45:56.076013	-3.984969E-1	1.319332E-2	8.827299E-3	-1.014396E+1	2.732853E-2	1.946206E-2	6.951371E-2	2.910311E-2
10/19/2017  17:45:56.077013	-3.552829E-1	2.082484E-2	2.664372E-2	-1.013887E+1	2.477858E-2	1.183011E-2	7.459952E-2	2.910311E-2
10/19/2017  17:45:56.078013	8.140360E-1	1.064948E-2	1.900811E-2	-1.013123E+1	1.967868E-2	1.437409E-2	6.188501E-2	3.673486E-2
10/19/2017  17:45:56.079013	2.364655E+0	1.064948E-2	1.191689E-3	-1.013123E+1	1.967868E-2	1.183011E-2	6.951371E-2	2.401527E-2
								
10/19/2017  17:45:56.080013	1.322436E+0	1.064948E-2	2.409852E-2	-1.014905E+1	1.967868E-2	2.709402E-2	7.968532E-2	3.419094E-2
10/19/2017  17:45:56.081013	-3.374889E-1	8.105642E-3	1.900811E-2	-1.012869E+1	2.222863E-2	2.709402E-2	7.459952E-2	4.691052E-2
10/19/2017  17:45:56.082013	-1.748011E-1	2.845637E-2	1.900811E-2	-1.013123E+1	1.712873E-2	1.946206E-2	7.205661E-2	3.673486E-2
10/19/2017  17:45:56.083013	-4.366268E-1	1.064948E-2	1.646291E-2	-1.014142E+1	1.712873E-2	1.437409E-2	7.459952E-2	2.401527E-2
10/19/2017  17:45:56.084013	-8.509724E-1	1.064948E-2	1.900811E-2	-1.013887E+1	2.477858E-2	1.691808E-2	7.205661E-2	3.927877E-2
10/19/2017  17:45:56.085013	-8.458885E-1	1.064948E-2	1.391770E-2	-1.012869E+1	2.477858E-2	1.946206E-2	6.951371E-2	3.164702E-2
10/19/2017  17:45:56.086013	-4.823828E-1	2.336868E-2	1.391770E-2	-1.014142E+1	1.202884E-2	2.709402E-2	7.968532E-2	3.673486E-2
10/19/2017  17:45:56.087013	-1.341291E-1	8.105642E-3	3.173413E-2	-1.014396E+1	1.457878E-2	9.286120E-3	7.714242E-2	3.164702E-2
10/19/2017  17:45:56.088013	1.302387E-1	1.319332E-2	1.391770E-2	-1.013378E+1	1.967868E-2	1.946206E-2	7.968532E-2	2.147136E-2
10/19/2017  17:45:56.089013	2.395446E-1	1.573716E-2	1.137250E-2	-1.014396E+1	1.967868E-2	1.183011E-2	7.714242E-2	2.147136E-2
10/19/2017  17:45:56.090013	4.861183E-1	1.573716E-2	1.646291E-2	-1.013887E+1	2.222863E-2	2.455003E-2	7.459952E-2	3.927877E-2
10/19/2017  17:45:56.091013	5.623783E-1	1.064948E-2	1.900811E-2	-1.012105E+1	1.967868E-2	2.455003E-2	6.951371E-2	3.927877E-2
10/19/2017  17:45:56.092013	-7.057916E-2	8.105642E-3	1.137250E-2	-1.013887E+1	2.477858E-2	2.200605E-2	6.697081E-2	2.401527E-2
10/19/2017  17:45:56.093013	-2.536030E-1	2.082484E-2	1.900811E-2	-1.015669E+1	2.222863E-2	1.691808E-2	7.714242E-2	2.655919E-2
10/19/2017  17:45:56.094013	-1.366711E-1	1.064948E-2	3.173413E-2	-1.014651E+1	1.712873E-2	2.455003E-2	7.968532E-2	3.164702E-2
10/19/2017  17:45:56.095013	-6.349026E-1	8.105642E-3	1.900811E-2	-1.012869E+1	1.712873E-2	1.437409E-2	8.731403E-2	3.164702E-2
10/19/2017  17:45:56.096013	-7.823385E-1	1.828100E-2	1.137250E-2	-1.013887E+1	3.242842E-2	1.946206E-2	7.459952E-2	2.910311E-2
10/19/2017  17:45:56.097013	-3.196949E-1	1.573716E-2	1.900811E-2	-1.014651E+1	1.457878E-2	2.709402E-2	7.205661E-2	2.401527E-2
10/19/2017  17:45:56.098013	1.531166E-1	1.064948E-2	1.900811E-2	-1.013887E+1	1.457878E-2	9.286120E-3	7.714242E-2	2.910311E-2
10/19/2017  17:45:56.099013	1.180084E+0	1.828100E-2	1.900811E-2	-1.013378E+1	1.967868E-2	1.946206E-2	7.205661E-2	3.419094E-2
10/19/2017  17:45:56.100013	3.158045E-1	2.082484E-2	1.646291E-2	-1.014142E+1	2.987847E-2	2.455003E-2	6.697081E-2	2.910311E-2
10/19/2017  17:45:56.101013	-4.315428E-1	2.336868E-2	2.155331E-2	-1.013887E+1	1.202884E-2	2.455003E-2	7.968532E-2	3.164702E-2
10/19/2017  17:45:56.102013	-3.552829E-1	5.561801E-3	1.391770E-2	-1.013378E+1	2.222863E-2	-3.433805E-3	7.205661E-2	3.164702E-2
10/19/2017  17:45:56.103013	-8.328914E-2	5.561801E-3	2.155331E-2	-1.015160E+1	2.477858E-2	1.946206E-2	6.442791E-2	3.164702E-2
