Time (s), Percentage Displayed
9.593611, 9.575351
9.627702, 9.501268
9.660776, 10.011732
9.693878, 10.374708
9.726945, 10.619464
9.760044, 10.890344
9.793143, 11.148838
9.826207, 11.666161
9.859278, 12.103391
9.892405, 12.085557
9.926497, 12.091331
9.959585, 12.313763
9.993634, 12.336463
