Time, Activation By Channel (% of MVC)
0.112808, 1.408499E+0, 1.398929E+0
0.113808, 1.408499E+0, 1.398929E+0
0.114808, 1.408499E+0, 1.409125E+0
0.115808, 1.398297E+0, 1.398929E+0
0.116808, 1.398297E+0, 1.398929E+0
0.117808, 1.408499E+0, 1.409125E+0
0.118808, 1.408499E+0, 1.398929E+0
0.119808, 1.408499E+0, 1.409125E+0
0.120808, 1.398297E+0, 1.409125E+0
0.121808, 1.398297E+0, 1.398929E+0
0.122808, 1.398297E+0, 1.398929E+0
0.123808, 1.408499E+0, 1.409125E+0
0.124808, 1.398297E+0, 1.398929E+0
0.125808, 1.398297E+0, 1.398929E+0
0.126808, 1.398297E+0, 1.409125E+0
0.127808, 1.398297E+0, 1.409125E+0
0.128808, 1.408499E+0, 1.398929E+0
0.129808, 1.408499E+0, 1.409125E+0
0.130808, 1.398297E+0, 1.409125E+0
0.131808, 1.408499E+0, 1.409125E+0
0.132808, 1.398297E+0, 1.398929E+0
0.133808, 1.408499E+0, 1.409125E+0
0.134808, 1.408499E+0, 1.409125E+0
0.135808, 1.408499E+0, 1.409125E+0
0.136808, 1.408499E+0, 1.409125E+0
0.137808, 1.398297E+0, 1.398929E+0
0.138808, 1.398297E+0, 1.409125E+0
0.139808, 1.408499E+0, 1.398929E+0
0.140808, 1.398297E+0, 1.398929E+0
, , 
0.141808, 1.398297E+0, 1.398929E+0
0.142808, 1.398297E+0, 1.398929E+0
0.143808, 1.398297E+0, 1.409125E+0
0.144808, 1.408499E+0, 1.398929E+0
0.145808, 1.398297E+0, 1.398929E+0
0.146808, 1.398297E+0, 1.398929E+0
0.147808, 1.408499E+0, 1.398929E+0
0.148808, 1.398297E+0, 1.398929E+0
0.149808, 1.408499E+0, 1.398929E+0
0.150808, 1.408499E+0, 1.398929E+0
0.151808, 1.408499E+0, 1.398929E+0
0.152808, 1.398297E+0, 1.409125E+0
0.153808, 1.398297E+0, 1.409125E+0
0.154808, 1.408499E+0, 1.398929E+0
0.155808, 1.408499E+0, 1.409125E+0
0.156808, 1.408499E+0, 1.409125E+0
0.157808, 1.398297E+0, 1.398929E+0
0.158808, 1.408499E+0, 1.398929E+0
0.159808, 1.398297E+0, 1.398929E+0
0.160808, 1.408499E+0, 1.398929E+0
0.161808, 1.398297E+0, 1.398929E+0
0.162808, 1.398297E+0, 1.398929E+0
0.163808, 1.408499E+0, 1.409125E+0
0.164808, 1.398297E+0, 1.398929E+0
0.165808, 1.408499E+0, 1.409125E+0
0.166808, 1.408499E+0, 1.409125E+0
0.167808, 1.408499E+0, 1.409125E+0
0.168808, 1.398297E+0, 1.409125E+0
0.169808, 1.408499E+0, 1.409125E+0
0.170808, 1.408499E+0, 1.409125E+0
0.171808, 1.398297E+0, 1.398929E+0
0.172808, 1.408499E+0, 1.398929E+0
0.173808, 1.408499E+0, 1.409125E+0
, , 
0.174808, 1.398297E+0, 1.398929E+0
0.175808, 1.408499E+0, 1.398929E+0
0.176808, 1.398297E+0, 1.409125E+0
0.177808, 1.408499E+0, 1.409125E+0
0.178808, 1.398297E+0, 1.409125E+0
0.179808, 1.408499E+0, 1.409125E+0
0.180808, 1.408499E+0, 1.398929E+0
0.181808, 1.398297E+0, 1.398929E+0
0.182808, 1.398297E+0, 1.409125E+0
0.183808, 1.398297E+0, 1.409125E+0
0.184808, 1.408499E+0, 1.409125E+0
0.185808, 1.408499E+0, 1.398929E+0
0.186808, 1.398297E+0, 1.409125E+0
0.187808, 1.398297E+0, 1.398929E+0
0.188808, 1.398297E+0, 1.398929E+0
0.189808, 1.408499E+0, 1.409125E+0
0.190808, 1.398297E+0, 1.398929E+0
0.191808, 1.398297E+0, 1.398929E+0
0.192808, 1.398297E+0, 1.398929E+0
0.193808, 1.408499E+0, 1.398929E+0
0.194808, 1.408499E+0, 1.398929E+0
0.195808, 1.398297E+0, 1.398929E+0
0.196808, 1.408499E+0, 1.398929E+0
0.197808, 1.408499E+0, 1.398929E+0
0.198808, 1.408499E+0, 1.398929E+0
0.199808, 1.408499E+0, 1.409125E+0
0.200808, 1.398297E+0, 1.409125E+0
0.201808, 1.408499E+0, 1.398929E+0
0.202808, 1.398297E+0, 1.398929E+0
0.203808, 1.408499E+0, 1.398929E+0
0.204808, 1.398297E+0, 1.398929E+0
0.205808, 1.408499E+0, 1.409125E+0
0.206808, 1.408499E+0, 1.409125E+0
, , 
0.207808, 1.408499E+0, 1.409125E+0
0.208808, 1.408499E+0, 1.409125E+0
0.209808, 1.398297E+0, 1.398929E+0
0.210808, 1.408499E+0, 1.398929E+0
0.211808, 1.398297E+0, 1.398929E+0
0.212808, 1.408499E+0, 1.409125E+0
0.213808, 1.408499E+0, 1.398929E+0
0.214808, 1.398297E+0, 1.409125E+0
0.215808, 1.408499E+0, 1.398929E+0
0.216808, 1.408499E+0, 1.398929E+0
0.217808, 1.408499E+0, 1.409125E+0
