Time (s), Filtered Data By Channel
0.140384, 2.520347E-3, 6.400437E-3
0.141384, 1.323102E-3, 4.715576E-3
0.142384, 8.306059E-3, 5.373869E-3
0.143384, 6.236402E-3, 3.747700E-3
0.144384, 4.464937E-3, 6.257946E-3
0.145384, 5.691430E-3, 4.529123E-3
0.146384, 4.553746E-3, 5.592446E-3
0.147384, 5.609366E-3, 4.663193E-3
0.148384, 4.026519E-3, 3.165596E-3
0.149384, 5.960643E-3, 6.743118E-3
0.150384, 4.222059E-3, 4.943615E-3
0.151384, 2.755436E-3, 3.423854E-3
0.152384, 7.121585E-3, 6.494598E-3
0.153384, 3.378211E-3, 3.955428E-3
0.154384, 6.554185E-3, 6.009855E-3
0.155384, 4.763663E-3, 4.257099E-3
0.156384, 3.247606E-3, 2.776687E-3
0.157384, 1.980071E-3, 1.543279E-3
0.158384, 7.720243E-3, 8.118373E-3
0.159384, 5.721649E-3, 2.561751E-3
0.160384, 4.636376E-3, 1.453470E-3
0.161384, 5.430639E-3, 8.100643E-3
0.162384, 3.767636E-3, 5.980607E-3
0.163384, 6.284637E-3, 4.173555E-3
0.164384, 4.059580E-3, 2.651106E-3
0.165384, 6.010127E-3, 7.264846E-3
0.166384, 4.316660E-3, 3.193031E-3
0.167384, 2.886224E-3, 1.892018E-3
, , 
0.168384, 6.959317E-3, 7.827714E-3
0.169384, 5.089472E-3, 5.848462E-3
0.170384, 5.155103E-3, 4.491533E-3
0.171384, 3.645445E-3, 3.076599E-3
0.172384, 2.380455E-3, 6.752898E-3
0.173384, 7.320941E-3, 4.879065E-3
0.174384, 3.329845E-3, 5.360043E-3
0.175384, 6.474761E-3, 4.802127E-3
0.176384, 4.078506E-3, 3.231997E-3
0.177384, 5.817891E-3, 1.919855E-3
0.178384, 4.649332E-3, 7.810656E-3
0.179384, 3.329300E-3, 5.841576E-3
0.180384, 2.223585E-3, 4.162002E-3
0.181384, 1.310387E-3, 2.745457E-3
0.182384, 5.691459E-4, 7.084310E-3
0.183384, 1.947016E-5, 5.209229E-3
0.184384, 4.735783E-4, 3.618281E-3
0.185384, 9.466754E-3, 6.366163E-3
0.186384, 1.796960E-3, 4.627391E-3
0.187384, 1.173870E-3, 3.155718E-3
0.188384, 7.984047E-3, 6.725187E-3
0.189384, 3.120019E-3, 3.753711E-3
0.190384, 6.313498E-3, 6.189727E-3
0.191384, 4.120222E-3, 4.420717E-3
0.192384, 6.368164E-3, 2.928395E-3
0.193384, 5.031356E-3, 6.964704E-3
0.194384, 3.876576E-3, 3.509374E-3
0.195384, 2.887354E-3, 6.432546E-3
0.196384, 2.048134E-3, 4.656650E-3
0.197384, 1.344246E-3, 5.498065E-3
0.198384, 7.618768E-4, 3.915155E-3
0.199384, 2.880537E-4, 6.065797E-3
0.200384, 8.746039E-3, 4.327693E-3
, , 
0.201384, 6.196729E-3, 5.790601E-3
0.202384, 4.607975E-3, 4.478286E-3
0.203384, 3.551194E-3, 5.649453E-3
0.204384, 6.013314E-3, 4.040699E-3
0.205384, 4.712648E-3, 2.686246E-3
0.206384, 3.587173E-3, 1.561329E-3
0.207384, 2.620229E-3, 8.008582E-3
0.208384, 1.797831E-3, 5.903678E-3
0.209384, 1.106658E-3, 4.539855E-3
0.210384, 5.340516E-4, 5.442706E-3
0.211384, 8.588655E-3, 4.935056E-3
0.212384, 2.538870E-3, 3.542589E-3
0.213384, 6.879865E-3, 6.277845E-3
0.214384, 3.978821E-3, 4.244514E-3
0.215384, 5.682851E-3, 2.980278E-3
0.216384, 4.957508E-3, 6.727157E-3
0.217384, 3.757475E-3, 4.756981E-3
0.218384, 5.930213E-3, 3.095510E-3
0.219384, 4.691526E-3, 6.937473E-3
0.220384, 3.479596E-3, 5.227755E-3
0.221384, 2.442718E-3, 4.883003E-3
0.222384, 7.091038E-3, 3.275781E-3
0.223384, 4.981268E-3, 6.712315E-3
0.224384, 5.440625E-3, 3.684499E-3
0.225384, 4.054268E-3, 6.318995E-3
0.226384, 2.866509E-3, 4.060140E-3
0.227384, 1.860238E-3, 2.688054E-3
0.228384, 1.019029E-3, 1.554952E-3
0.229384, 8.329500E-3, 8.015430E-3
0.230384, 6.045330E-3, 5.904865E-3
0.231384, 4.539825E-3, 4.102022E-3
0.232384, 3.305362E-3, 6.071201E-3
0.233384, 6.398675E-3, 4.152345E-3
, , 
0.234384, 4.434419E-3, 2.639586E-3
0.235384, 2.792348E-3, 1.381237E-3
0.236384, 7.216574E-3, 3.523464E-4
0.237384, 5.467919E-3, 9.121896E-3
0.238384, 3.964620E-3, 6.922034E-3
0.239384, 2.685796E-3, 3.615345E-3
0.240384, 1.611397E-3, 6.274924E-3
0.241384, 7.934439E-3, 4.193118E-3
0.242384, 2.841634E-3, 5.762602E-3
0.243384, 1.793030E-3, 4.643832E-3
0.244384, 7.731422E-3, 3.281363E-3
0.245384, 5.594926E-3, 2.142821E-3
0.246384, 3.788884E-3, 1.205440E-3
0.247384, 2.281701E-3, 4.477133E-4
0.248384, 7.613252E-3, 8.801667E-3
0.249384, 5.769297E-3, 6.419713E-3
0.250384, 4.469390E-3, 4.260530E-3
0.251384, 2.970606E-3, 1.177954E-2
0.252384, 6.926373E-3, 6.593511E-4
0.253384, 5.093629E-3, 9.670680E-4
0.254384, 5.125859E-3, 1.175994E-3
0.255384, 3.601038E-3, 1.300502E-3
0.256384, 2.328946E-3, 1.000489E-2
0.257384, 7.373143E-3, 1.491755E-3
0.258384, 5.374755E-3, 1.070057E-3
0.259384, 3.673042E-3, 7.342971E-4
0.260384, 2.241610E-3, 8.178131E-3
0.261384, 7.601485E-3, 3.115253E-3
0.262384, 2.931291E-3, 6.154563E-3
0.263384, 6.968851E-3, 3.840016E-3
0.264384, 3.510003E-3, 1.917856E-3
0.265384, 2.215508E-3, 3.497138E-4
0.266384, 7.508952E-3, 9.552060E-3
, , 
0.267384, 3.124939E-3, 7.680253E-3
0.268384, 6.690743E-3, 6.034136E-3
0.269384, 4.799802E-3, 4.596815E-3
0.270384, 3.198544E-3, 3.352053E-3
0.271384, 1.859952E-3, 6.366799E-3
0.272384, 7.583127E-4, 4.218345E-3
0.273384, 1.307840E-4, 5.666244E-3
0.274384, 9.487103E-3, 3.878008E-3
0.275384, 7.177413E-3, 2.398951E-3
0.276384, 3.460359E-3, 1.196164E-3
0.277384, 6.356694E-3, 2.386674E-4
0.278384, 4.471937E-3, 5.026011E-4
0.279384, 2.881192E-3, 1.054804E-3
0.280384, 1.556925E-3, 1.443222E-3
0.281384, 4.728919E-4, 1.034234E-2
0.282384, 3.958600E-4, 1.019289E-3
0.283384, 1.072978E-3, 5.135211E-4
0.284384, 1.023745E-2, 1.365735E-4
0.285384, 7.755262E-3, 1.304890E-4
0.286384, 3.036481E-3, 3.049565E-4
0.287384, 2.012364E-3, 9.053585E-3
0.288384, 7.481808E-3, 6.248549E-3
0.289384, 5.311847E-3, 3.868881E-3
0.290384, 5.185279E-3, 6.773130E-3
0.291384, 4.772383E-3, 3.080139E-3
0.292384, 3.027256E-3, 1.286230E-3
0.293384, 7.082409E-3, 8.824385E-3
0.294384, 5.429980E-3, 1.507462E-3
0.295384, 4.640051E-3, 8.509998E-3
0.296384, 2.994925E-3, 1.899754E-3
0.297384, 7.026846E-3, 5.966230E-4
0.298384, 3.358361E-3, 4.352035E-4
0.299384, 6.661886E-3, 9.877737E-3
, , 
0.300384, 4.935717E-3, 7.618194E-3
0.301384, 3.463570E-3, 5.650348E-3
0.302384, 2.222365E-3, 4.699161E-3
