Time (s), Activation By Channel (% of MVC)
-0.014302, 7.203999E-3, 3.594405E-3
-0.013302, 5.394940E-3, 6.582848E-3
-0.012302, 4.803285E-3, 4.994604E-3
-0.011302, 5.396250E-3, 3.635585E-3
-0.010302, 4.815759E-3, 6.166290E-3
-0.009302, 5.372145E-3, 4.362099E-3
-0.008302, 4.849453E-3, 3.093557E-3
-0.007302, 3.325871E-3, 6.626491E-3
-0.006302, 6.601693E-3, 3.975671E-3
-0.005302, 3.853025E-3, 5.877646E-3
-0.004302, 6.119823E-3, 4.047447E-3
-0.003302, 4.365852E-3, 6.132146E-3
-0.002302, 5.773584E-3, 4.101807E-3
-0.001302, 4.487796E-3, 2.612435E-3
-0.000302, 5.659976E-3, 1.387058E-3
0.000698, 4.593886E-3, 8.253334E-3
0.001698, 5.560707E-3, 6.193122E-3
0.002698, 3.969734E-3, 4.227614E-3
0.003698, 2.631684E-3, 5.759449E-3
0.004698, 7.134920E-3, 4.628800E-3
0.005698, 5.198549E-3, 3.258795E-3
0.006698, 5.101179E-3, 2.121123E-3
0.007698, 5.020335E-3, 7.460013E-3
0.008698, 5.248508E-3, 5.365854E-3
0.009698, 3.755155E-3, 3.584483E-3
0.010698, 2.499515E-3, 6.562825E-3
0.011698, 1.458134E-3, 3.690431E-3
0.012698, 8.047835E-3, 6.440535E-3
0.013698, 2.772361E-3, 3.827387E-3
0.014698, 1.769911E-3, 2.360271E-3
0.015698, 7.708232E-3, 7.503023E-3
0.016698, 5.526834E-3, 5.646189E-3
0.017698, 4.978096E-3, 4.591073E-3
, , 
0.018698, 3.682119E-3, 5.559466E-3
0.019698, 2.588533E-3, 3.965910E-3
0.020698, 1.677168E-3, 6.030835E-3
0.021698, 9.290070E-4, 4.312436E-3
0.022698, 3.261627E-4, 2.867671E-3
0.023698, 1.481355E-4, 6.981236E-3
0.024698, 5.095612E-4, 3.533408E-3
0.025698, 7.727097E-4, 6.371773E-3
0.026698, 9.607774E-3, 4.563112E-3
0.027698, 1.784438E-3, 5.620303E-3
0.028698, 7.393330E-3, 4.061997E-3
0.029698, 3.682183E-3, 5.898426E-3
0.030698, 2.869762E-3, 4.507256E-3
0.031698, 6.476349E-3, 3.147243E-3
0.032698, 4.442711E-3, 6.637351E-3
0.033698, 3.485869E-3, 3.923183E-3
0.034698, 2.664074E-3, 2.698508E-3
0.035698, 6.692200E-3, 6.968831E-3
0.036698, 4.216654E-3, 4.958777E-3
0.037698, 3.250189E-3, 3.258305E-3
0.038698, 2.419872E-3, 6.812239E-3
0.039698, 6.943412E-3, 3.512887E-3
0.040698, 4.696397E-3, 6.551697E-3
0.041698, 5.832386E-3, 4.874381E-3
0.042698, 4.131225E-3, 3.447395E-3
0.043698, 6.234144E-3, 6.403732E-3
0.044698, 4.785045E-3, 4.559219E-3
0.045698, 3.529827E-3, 3.006428E-3
0.046698, 2.452808E-3, 1.717250E-3
0.047698, 1.538908E-3, 7.986086E-3
0.048698, 7.883008E-3, 2.664157E-3
0.049698, 5.671779E-3, 7.115317E-3
0.050698, 3.814745E-3, 5.190718E-3
, , 
0.051698, 2.276555E-3, 3.552028E-3
0.052698, 1.023789E-3, 2.173523E-3
0.053698, 2.494587E-5, 1.030632E-3
0.054698, 7.495701E-4, 8.551115E-3
0.055698, 1.327468E-3, 6.451970E-3
0.056698, 1.734587E-3, 3.991715E-3
0.057698, 1.994923E-3, 2.666007E-3
0.058698, 2.130658E-3, 1.563923E-3
0.059698, 1.081884E-2, 7.988232E-3
0.060698, 7.923088E-3, 5.869909E-3
0.061698, 5.434420E-3, 4.067686E-3
0.062698, 3.320135E-3, 2.552646E-3
0.063698, 7.108166E-3, 1.297232E-3
0.064698, 2.930484E-3, 2.752458E-4
0.065698, 1.277319E-3, 5.381518E-4
0.066698, 8.730763E-3, 9.817491E-3
0.067698, 1.688055E-3, 1.208170E-3
0.068698, 3.760378E-4, 4.097585E-4
0.069698, 9.328710E-3, 8.868875E-3
0.070698, 1.357004E-3, 6.506321E-3
0.071698, 8.379679E-3, 4.488146E-3
0.072698, 2.269374E-3, 5.866763E-3
0.073698, 7.508303E-3, 4.205821E-3
0.074698, 5.560774E-3, 6.081056E-3
0.075698, 4.768358E-3, 4.053655E-3
0.076698, 3.347429E-3, 6.176993E-3
0.077698, 2.172909E-3, 4.642963E-3
0.078698, 1.218215E-3, 3.338058E-3
0.079698, 8.198311E-3, 2.240437E-3
0.080698, 2.711598E-3, 7.321612E-3
0.081698, 1.796964E-3, 5.225582E-3
0.082698, 1.059541E-3, 5.194914E-3
0.083698, 8.178673E-3, 4.822424E-3
, , 
0.084698, 2.874169E-3, 5.511099E-3
0.085698, 2.070579E-3, 4.584009E-3
0.086698, 1.415698E-3, 2.970481E-3
0.087698, 8.914366E-4, 7.015896E-3
0.088698, 8.175584E-3, 3.389415E-3
0.089698, 3.010930E-3, 2.051083E-3
0.090698, 2.307743E-3, 7.693144E-3
0.091698, 6.932616E-3, 2.923256E-3
0.092698, 4.569371E-3, 1.766953E-3
0.093698, 2.589721E-3, 8.287538E-4
0.094698, 9.577027E-4, 8.413447E-5
0.095698, 9.017785E-3, 9.140975E-3
0.096698, 1.442071E-3, 6.726090E-3
0.097698, 8.479773E-3, 3.993488E-3
0.098698, 6.635832E-3, 2.905164E-3
0.099698, 3.625972E-3, 6.647497E-3
0.100698, 6.486847E-3, 4.543306E-3
