Time (s), Activation By Channel (% of MVC)
0.112808, 5.898682E-3, 4.180569E-3
0.113808, 4.421807E-3, 2.657672E-3
0.114808, 3.166128E-3, 7.247689E-3
0.115808, 6.546135E-3, 3.229481E-3
0.116808, 4.579919E-3, 1.954308E-3
0.117808, 5.728515E-3, 7.734995E-3
0.118808, 4.254399E-3, 2.928571E-3
0.119808, 3.000613E-3, 6.838899E-3
0.120808, 6.710162E-3, 4.904109E-3
0.121808, 4.742485E-3, 5.393635E-3
0.122808, 3.088971E-3, 3.937787E-3
0.123808, 6.937538E-3, 5.931988E-3
0.124808, 3.445675E-3, 4.552721E-3
0.125808, 2.082049E-3, 3.260416E-3
0.126808, 9.677468E-4, 6.467385E-3
0.127808, 7.584145E-5, 4.511534E-3
0.128808, 9.275706E-3, 5.791256E-3
0.129808, 6.955700E-3, 4.324159E-3
0.130808, 3.696136E-3, 2.722744E-3
0.131808, 6.104674E-3, 1.393300E-3
0.132808, 4.453816E-3, 8.342026E-3
0.133808, 5.437045E-3, 2.284288E-3
0.134808, 3.621547E-3, 1.139680E-3
0.135808, 2.096267E-3, 2.155170E-4
0.136808, 8.342723E-4, 5.123529E-4
0.137808, 8.846873E-3, 9.717794E-3
0.138808, 6.816737E-3, 1.370793E-3
0.139808, 3.583857E-3, 8.026067E-3
0.140808, 6.430967E-3, 5.770813E-3
, , 
0.141808, 4.707591E-3, 3.849700E-3
0.142808, 3.244868E-3, 2.233338E-3
0.143808, 2.018297E-3, 7.757502E-3
0.144808, 7.652027E-3, 2.643289E-3
0.145808, 3.023586E-3, 1.301689E-3
0.146808, 1.895250E-3, 2.075612E-4
0.147808, 7.691177E-3, 6.647962E-4
0.148808, 3.055094E-3, 1.339784E-3
0.149808, 6.671414E-3, 1.840481E-3
0.150808, 4.712110E-3, 2.188637E-3
0.151808, 3.060969E-3, 2.404651E-3
0.152808, 6.967929E-3, 1.115863E-2
0.153808, 5.247407E-3, 8.326277E-3
0.154808, 4.878665E-3, 2.760793E-3
0.155808, 3.278217E-3, 6.657516E-3
0.156808, 1.947161E-3, 4.441152E-3
0.157808, 7.798440E-3, 6.077125E-3
0.158808, 2.827271E-3, 4.787071E-3
0.159808, 6.985872E-3, 3.685467E-3
0.160808, 3.572953E-3, 2.753465E-3
0.161808, 6.306085E-3, 1.973405E-3
0.162808, 4.468492E-3, 1.328785E-3
0.163808, 5.744575E-3, 7.846829E-3
0.164808, 4.452894E-3, 3.225324E-3
0.165808, 5.749416E-3, 6.227374E-3
0.166808, 4.197789E-3, 4.060850E-3
0.167808, 2.891083E-3, 2.255223E-3
0.168808, 6.851749E-3, 7.753661E-4
0.169808, 3.757959E-3, 4.122073E-4
0.170808, 2.569416E-3, 1.339316E-3
0.171808, 7.072311E-3, 1.068714E-2
0.172808, 3.622885E-3, 8.342078E-3
0.173808, 2.505599E-3, 2.353927E-3
, , 
0.174808, 7.077764E-3, 7.369126E-3
0.175808, 3.664183E-3, 5.380662E-3
0.176808, 6.073393E-3, 4.977527E-3
0.177808, 4.525431E-3, 3.586640E-3
0.178808, 5.344314E-3, 2.435379E-3
0.179808, 5.133122E-3, 1.497318E-3
0.180808, 3.809207E-3, 7.903330E-3
0.181808, 5.968918E-3, 5.647625E-3
0.182808, 4.065930E-3, 4.927744E-3
0.183808, 2.474518E-3, 3.708936E-3
0.184808, 7.492440E-3, 2.689451E-3
0.185808, 5.708880E-3, 6.803587E-3
