waveform	Voltage_0 (Filtered)	Voltage_1 (Filtered)	Voltage_2 (Filtered)	Voltage_3 (Filtered)	Voltage_4 (Filtered)	Voltage_5 (Filtered)	Voltage_6 (Filtered)	Voltage_7 (Filtered)
t0	9/5/2017  17:13:07.426241	9/5/2017  17:13:07.426262	9/5/2017  17:13:07.426283	9/5/2017  17:13:07.426304	9/5/2017  17:13:07.426325	9/5/2017  17:13:07.426345	9/5/2017  17:13:07.426366	9/5/2017  17:13:07.426387
delta t	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500	0.000500

time	Voltage_0 (Filtered)	Voltage_1 (Filtered)	Voltage_2 (Filtered)	Voltage_3 (Filtered)	Voltage_4 (Filtered)	Voltage_5 (Filtered)	Voltage_6 (Filtered)	Voltage_7 (Filtered)
9/5/2017  17:13:07.426241	2.066272E-2	3.068721E-5	2.069759E-2	1.511569E-1	2.078340E-2	2.073227E-2	2.052309E-2	2.049748E-2
9/5/2017  17:13:07.426741	1.355772E-1	1.255267E-4	1.359190E-1	9.891593E-1	1.361036E-1	1.362968E-1	1.349645E-1	1.346839E-1
9/5/2017  17:13:07.427241	4.098895E-1	3.008865E-4	4.113218E-1	2.981964E+0	4.105458E-1	4.124281E-1	4.087296E-1	4.075971E-1
9/5/2017  17:13:07.427741	7.694923E-1	7.674379E-4	7.730632E-1	5.582718E+0	7.689719E-1	7.741475E-1	7.681547E-1	7.655268E-1
9/5/2017  17:13:07.428241	1.020191E+0	1.696635E-3	1.026498E+0	7.386041E+0	1.017893E+0	1.025944E+0	1.019476E+0	1.015114E+0
9/5/2017  17:13:07.428741	1.025155E+0	2.672104E-3	1.033334E+0	7.412553E+0	1.022295E+0	1.031216E+0	1.026257E+0	1.020790E+0
9/5/2017  17:13:07.429241	8.122235E-1	3.164627E-3	8.182206E-1	5.861905E+0	8.087407E-1	8.171996E-1	8.147831E-1	8.103681E-1
9/5/2017  17:13:07.429741	5.197656E-1	3.052907E-3	5.172046E-1	3.719677E+0	5.122353E-1	5.205789E-1	5.209294E-1	5.201059E-1
9/5/2017  17:13:07.430241	2.775593E-1	2.256790E-3	2.639421E-1	1.916755E+0	2.633637E-1	2.729166E-1	2.756180E-1	2.784944E-1
9/5/2017  17:13:07.430741	1.330555E-1	8.574183E-4	1.141341E-1	8.129808E-1	1.153138E-1	1.263739E-1	1.303571E-1	1.341725E-1
9/5/2017  17:13:07.431241	5.751142E-2	4.051786E-4	4.281618E-2	2.375379E-1	4.328699E-2	5.381780E-2	5.812139E-2	6.005688E-2
9/5/2017  17:13:07.431741	1.456767E-3	7.188201E-4	7.215759E-3	1.690213E-1	8.216513E-3	1.275492E-3	3.423278E-3	3.283549E-3
9/5/2017  17:13:07.432241	7.559798E-2	4.423606E-4	7.542744E-2	6.524931E-1	7.727938E-2	7.537220E-2	7.016514E-2	7.034433E-2
9/5/2017  17:13:07.432741	1.671420E-1	7.514961E-4	1.661540E-1	1.245330E+0	1.674782E-1	1.694992E-1	1.650693E-1	1.636906E-1
9/5/2017  17:13:07.433241	2.618458E-1	1.852508E-3	2.610698E-1	1.843963E+0	2.599728E-1	2.647513E-1	2.625115E-1	2.604140E-1
9/5/2017  17:13:07.433741	3.432088E-1	2.661239E-3	3.406089E-1	2.340453E+0	3.348086E-1	3.435815E-1	3.431758E-1	3.429331E-1
9/5/2017  17:13:07.434241	4.011778E-1	2.276606E-3	3.971214E-1	2.698540E+0	3.852171E-1	3.996942E-1	4.000905E-1	4.024206E-1
9/5/2017  17:13:07.434741	4.365587E-1	1.254076E-3	4.348867E-1	2.946912E+0	4.182962E-1	4.371900E-1	4.385451E-1	4.405087E-1
9/5/2017  17:13:07.435241	4.604829E-1	9.932983E-4	4.631234E-1	3.133313E+0	4.452090E-1	4.648272E-1	4.674564E-1	4.657859E-1
9/5/2017  17:13:07.435741	4.854389E-1	1.735514E-3	4.888726E-1	3.289424E+0	4.712030E-1	4.893390E-1	4.921906E-1	4.868124E-1
9/5/2017  17:13:07.436241	5.133185E-1	2.222656E-3	5.120699E-1	3.421979E+0	4.941389E-1	5.113870E-1	5.132002E-1	5.067235E-1
9/5/2017  17:13:07.436741	5.345128E-1	1.483300E-3	5.269771E-1	3.521816E+0	5.099586E-1	5.269855E-1	5.276093E-1	5.226365E-1
9/5/2017  17:13:07.437241	5.401319E-1	5.304232E-6	5.299426E-1	3.578130E+0	5.165781E-1	5.321032E-1	5.317109E-1	5.293133E-1
9/5/2017  17:13:07.437741	5.315546E-1	9.924342E-4	5.230222E-1	3.587756E+0	5.137139E-1	5.256375E-1	5.240134E-1	5.242743E-1
9/5/2017  17:13:07.438241	5.163144E-1	7.951151E-4	5.102663E-1	3.555842E+0	5.026657E-1	5.102870E-1	5.076246E-1	5.104552E-1
9/5/2017  17:13:07.438741	4.992846E-1	3.374057E-4	4.940725E-1	3.491106E+0	4.863383E-1	4.912981E-1	4.886557E-1	4.936867E-1
9/5/2017  17:13:07.439241	4.805504E-1	1.306659E-3	4.748791E-1	3.400878E+0	4.674885E-1	4.727062E-1	4.710867E-1	4.770403E-1
9/5/2017  17:13:07.439741	4.587313E-1	1.174493E-3	4.527533E-1	3.289096E+0	4.474951E-1	4.547566E-1	4.541703E-1	4.588177E-1
9/5/2017  17:13:07.440241	4.336211E-1	2.036799E-4	4.282261E-1	3.157216E+0	4.267855E-1	4.350014E-1	4.343757E-1	4.360128E-1
9/5/2017  17:13:07.440741	4.057976E-1	4.668857E-4	4.016111E-1	3.006201E+0	4.049198E-1	4.110509E-1	4.091111E-1	4.080216E-1
9/5/2017  17:13:07.441241	3.757973E-1	2.243417E-5	3.729879E-1	2.837861E+0	3.813180E-1	3.827565E-1	3.793674E-1	3.767015E-1
9/5/2017  17:13:07.441741	3.439905E-1	1.398624E-3	3.425306E-1	2.654982E+0	3.558626E-1	3.521154E-1	3.487066E-1	3.445608E-1
9/5/2017  17:13:07.442241	3.103219E-1	2.515887E-3	3.104545E-1	2.460988E+0	3.280486E-1	3.209704E-1	3.193876E-1	3.137477E-1
9/5/2017  17:13:07.442741	2.754033E-1	2.429563E-3	2.780160E-1	2.259440E+0	2.978730E-1	2.899828E-1	2.905566E-1	2.850831E-1
9/5/2017  17:13:07.443241	2.414889E-1	1.287887E-3	2.477995E-1	2.052436E+0	2.670019E-1	2.592175E-1	2.604054E-1	2.571593E-1
9/5/2017  17:13:07.443741	2.107439E-1	7.867849E-5	2.209047E-1	1.840347E+0	2.368870E-1	2.281042E-1	2.283721E-1	2.271574E-1
9/5/2017  17:13:07.444241	1.828489E-1	5.591466E-4	1.950227E-1	1.624509E+0	2.072997E-1	1.960133E-1	1.951732E-1	1.935577E-1
9/5/2017  17:13:07.444741	1.553809E-1	6.287602E-4	1.670351E-1	1.408239E+0	1.775086E-1	1.631902E-1	1.617978E-1	1.580197E-1
9/5/2017  17:13:07.445241	1.263484E-1	4.524645E-4	1.358466E-1	1.195421E+0	1.474977E-1	1.307980E-1	1.291433E-1	1.240916E-1
9/5/2017  17:13:07.445741	9.548546E-2	5.597545E-4	1.026819E-1	9.877329E-1	1.183291E-1	1.009940E-1	9.878028E-2	9.458506E-2
9/5/2017  17:13:07.446241	6.422744E-2	1.073525E-3	7.016625E-2	7.825798E-1	9.095036E-2	7.486744E-2	7.139899E-2	6.869341E-2
9/5/2017  17:13:07.446741	3.483181E-2	1.374302E-3	3.972957E-2	5.782206E-1	6.349004E-2	4.899229E-2	4.392021E-2	4.123851E-2
9/5/2017  17:13:07.447241	8.941205E-3	8.013890E-4	1.105165E-2	3.771277E-1	3.305921E-2	1.861536E-2	1.274367E-2	8.894079E-3
9/5/2017  17:13:07.447741	1.315592E-2	5.135649E-4	1.501395E-2	1.802554E-1	8.503671E-4	1.502657E-2	2.001363E-2	2.377754E-2
9/5/2017  17:13:07.448241	3.303506E-2	1.789398E-3	3.682769E-2	1.457848E-2	2.884481E-2	4.556463E-2	4.777805E-2	4.896505E-2
9/5/2017  17:13:07.448741	5.272811E-2	2.366784E-3	5.466096E-2	2.091144E-1	5.298126E-2	6.792340E-2	6.578099E-2	6.360424E-2
9/5/2017  17:13:07.449241	7.132382E-2	1.980890E-3	6.944324E-2	4.042111E-1	7.100414E-2	8.088966E-2	7.441543E-2	7.078957E-2
9/5/2017  17:13:07.449741	8.545428E-2	8.709333E-4	8.131073E-2	5.976590E-1	8.491718E-2	8.753590E-2	7.915492E-2	7.667798E-2
9/5/2017  17:13:07.450241	9.455565E-2	2.526995E-4	9.181806E-2	7.801979E-1	9.851932E-2	9.424393E-2	8.695029E-2	8.628860E-2
9/5/2017  17:13:07.450741	1.027484E-1	6.544788E-4	1.039204E-1	9.411162E-1	1.143152E-1	1.057884E-1	1.006526E-1	1.003544E-1
9/5/2017  17:13:07.451241	1.138215E-1	9.763140E-5	1.182520E-1	1.079488E+0	1.311997E-1	1.215199E-1	1.176401E-1	1.160501E-1
9/5/2017  17:13:07.451741	1.269947E-1	7.945853E-4	1.321129E-1	1.203465E+0	1.462892E-1	1.371613E-1	1.331788E-1	1.298081E-1
9/5/2017  17:13:07.452241	1.388307E-1	1.140835E-3	1.426455E-1	1.319216E+0	1.584687E-1	1.488542E-1	1.438634E-1	1.391477E-1
9/5/2017  17:13:07.452741	1.476652E-1	7.512389E-4	1.504625E-1	1.425785E+0	1.698091E-1	1.567646E-1	1.504932E-1	1.453874E-1
9/5/2017  17:13:07.453241	1.557683E-1	1.721367E-4	1.598582E-1	1.519115E+0	1.835884E-1	1.656451E-1	1.585162E-1	1.542566E-1
9/5/2017  17:13:07.453741	1.672600E-1	3.272798E-5	1.744359E-1	1.597170E+0	2.002172E-1	1.790745E-1	1.725399E-1	1.693261E-1
9/5/2017  17:13:07.454241	1.835434E-1	6.988513E-5	1.929745E-1	1.661256E+0	2.163971E-1	1.950625E-1	1.916017E-1	1.877505E-1
9/5/2017  17:13:07.454741	2.011826E-1	5.260944E-4	2.111141E-1	1.714270E+0	2.290568E-1	2.100342E-1	2.114264E-1	2.049083E-1
9/5/2017  17:13:07.455241	2.150860E-1	1.372047E-3	2.256236E-1	1.758461E+0	2.379273E-1	2.227929E-1	2.277109E-1	2.182296E-1
9/5/2017  17:13:07.455741	2.238823E-1	2.223608E-3	2.356874E-1	1.794461E+0	2.442012E-1	2.335355E-1	2.381563E-1	2.273275E-1
