Time (s), Percentage Displayed
0.048167, 5.014634
0.078208, 5.374628
0.107284, 5.726020
0.137391, 5.780694
0.168461, 4.940732
0.198526, 4.940732
0.228649, 4.901837
0.258713, 4.901837
0.289810, 5.027870
0.319881, 5.027870
0.349955, 5.090765
0.380036, 4.864162
0.411120, 5.312371
0.441172, 4.973598
0.470276, 4.973598
0.500356, 5.800551
0.530452, 5.622852
0.560524, 5.622852
0.591573, 5.193960
0.621654, 5.193960
0.651771, 5.885489
0.681813, 5.704734
0.712921, 6.412369
0.743980, 6.412369
0.774097, 5.988256
0.805141, 5.988256
0.834245, 6.014858
0.864323, 6.406898
0.894404, 6.034478
0.924498, 5.882830
0.955582, 5.769520
0.985619, 5.769520
1.015726, 5.143322
1.045805, 5.143322
1.075902, 5.569856
1.105941, 5.569856
1.136022, 5.187494
1.166130, 5.156443
1.196210, 5.358016
1.225282, 4.799679
1.256341, 4.706983
1.286460, 4.696636
1.316517, 4.657790
1.346622, 4.790785
1.377695, 4.790785
1.407773, 4.692480
1.438856, 4.626516
1.469940, 4.638623
1.500013, 5.282080
1.530094, 5.243828
1.561177, 5.212783
1.590228, 5.440214
1.621340, 5.401842
1.651392, 5.483509
1.681500, 5.483509
1.711549, 6.041249
1.741661, 6.063561
1.771740, 6.063561
1.801817, 5.932036
1.832898, 5.932036
1.862978, 6.542406
1.893052, 6.725252
1.924146, 6.725252
1.953223, 6.523090
1.988316, 6.814184
2.018365, 7.317043
2.048445, 7.318026
2.078524, 6.669734
2.108636, 6.548484
2.138716, 6.610328
2.168764, 6.380923
2.198876, 6.185173
2.228957, 6.693397
2.259044, 6.693397
2.289092, 6.015585
2.320193, 6.349716
2.349276, 6.330378
2.379356, 6.253058
2.409413, 6.071675
2.439515, 5.597003
2.470599, 5.255424
2.500678, 5.306599
2.530753, 5.352015
2.560809, 5.337412
2.590913, 5.222594
2.620967, 4.879694
2.651074, 4.781051
2.682130, 4.488843
2.712236, 4.073027
2.742289, 4.148797
2.772368, 3.917270
2.802476, 3.527406
2.832530, 3.557115
2.862636, 3.577041
2.892689, 3.578311
2.922799, 3.699910
2.952881, 3.694209
2.982929, 4.134011
3.013011, 4.388573
3.043092, 4.490959
3.073187, 4.564509
3.102245, 5.079832
3.133328, 5.079832
3.163409, 5.362335
3.193490, 5.362335
3.224571, 5.271445
3.254653, 5.258781
3.284733, 5.258781
3.315825, 5.728580
3.345925, 5.575966
3.376020, 5.632192
3.406080, 6.048262
3.436160, 6.094022
3.466213, 6.043575
3.496325, 5.629988
3.531418, 5.296499
3.561468, 5.151508
3.592551, 4.893348
3.622662, 4.893348
3.652735, 4.631652
3.683794, 4.631652
3.714018, 4.759990
3.744057, 4.759990
3.774167, 4.191703
3.803237, 4.129334
3.833324, 4.174634
3.864407, 4.016214
3.894463, 3.584773
3.924577, 3.463221
3.954616, 3.463221
3.984736, 3.969115
4.014808, 3.969115
4.044896, 4.394048
4.074967, 4.394048
4.106020, 4.319532
