Time (s), Filtered Data By Channel
0.133818, 5.413416E-3, 4.854444E-3
0.134818, 4.512834E-3, 3.511942E-3
0.135818, 2.747812E-3, 2.385748E-3
0.136818, 7.371400E-3, 7.197347E-3
0.137818, 5.719362E-3, 3.534874E-3
0.138818, 4.358239E-3, 6.196511E-3
0.139818, 5.929195E-3, 4.397570E-3
0.140818, 4.432606E-3, 5.461846E-3
0.141818, 5.501411E-3, 3.636832E-3
0.142818, 3.738103E-3, 2.113437E-3
0.143818, 6.385894E-3, 7.788811E-3
0.144818, 3.911286E-3, 2.695127E-3
0.145818, 2.472235E-3, 1.430339E-3
0.146818, 7.364383E-3, 8.245084E-3
0.147818, 5.471282E-3, 6.215387E-3
0.148818, 4.807934E-3, 4.179386E-3
0.149818, 5.315052E-3, 2.821908E-3
0.150818, 3.688734E-3, 1.702107E-3
0.151818, 2.313786E-3, 7.945436E-4
0.152818, 1.167249E-3, 8.575791E-3
0.153818, 8.429486E-3, 6.289374E-3
0.154818, 2.314342E-3, 4.317514E-3
0.155818, 1.249714E-3, 3.131289E-3
0.156818, 3.798386E-4, 6.505481E-3
0.157818, 8.972308E-3, 4.472605E-3
0.158818, 1.985666E-3, 2.756822E-3
0.159818, 1.106418E-3, 1.329204E-3
0.160818, 3.948726E-4, 1.620340E-4
, , 
0.161818, 1.675873E-4, 9.422222E-3
0.162818, 9.255145E-3, 7.306780E-3
0.163818, 1.927459E-3, 5.481888E-3
0.164818, 1.235763E-3, 4.728867E-3
0.165818, 7.979082E-3, 5.443430E-3
0.166818, 3.078865E-3, 4.783537E-3
0.167818, 2.265801E-3, 5.375831E-3
0.168818, 1.590152E-3, 3.790076E-3
0.169818, 7.619916E-3, 2.451525E-3
0.170818, 5.223532E-3, 1.336812E-3
0.171818, 5.448703E-3, 8.227335E-3
0.172818, 4.277529E-3, 6.119983E-3
0.173818, 3.271179E-3, 4.327382E-3
0.174818, 2.414171E-3, 2.820344E-3
0.175818, 1.691914E-3, 1.571095E-3
0.176818, 1.090682E-3, 5.532748E-4
0.177818, 5.975932E-4, 2.580574E-4
0.178818, 2.005883E-4, 8.864289E-4
0.179818, 1.115941E-4, 1.000501E-2
0.180818, 3.494366E-4, 1.158553E-3
0.181818, 9.179320E-3, 8.174430E-3
0.182818, 6.455196E-3, 5.865580E-3
0.183818, 4.159412E-3, 3.900318E-3
0.184818, 6.405105E-3, 2.248416E-3
0.185818, 5.121846E-3, 8.808661E-4
0.186818, 4.001509E-3, 2.300983E-4
0.187818, 3.030793E-3, 9.762030E-3
0.188818, 2.197011E-3, 7.598135E-3
0.189818, 1.488074E-3, 5.728630E-3
0.190818, 7.764175E-3, 4.522957E-3
0.191818, 3.241034E-3, 5.612210E-3
0.192818, 6.292428E-3, 4.648283E-3
0.193818, 4.459409E-3, 3.170009E-3
, , 
0.194818, 5.301027E-3, 1.942558E-3
0.195818, 5.248785E-3, 9.400753E-4
0.196818, 3.966476E-3, 8.512936E-3
0.197818, 2.861414E-3, 6.297509E-3
0.198818, 6.737762E-3, 4.249468E-3
0.199818, 3.966496E-3, 5.637301E-3
0.200818, 2.831498E-3, 3.822892E-3
0.201818, 1.866315E-3, 6.354891E-3
0.202818, 1.055974E-3, 3.870197E-3
0.203818, 3.861031E-4, 2.364216E-3
0.204818, 1.570579E-4, 7.533994E-3
0.205818, 9.243299E-3, 5.708165E-3
0.206818, 6.730076E-3, 4.149102E-3
0.207818, 4.603304E-3, 2.832055E-3
0.208818, 5.830491E-3, 1.733549E-3
0.209818, 4.205445E-3, 8.313703E-4
0.210818, 2.548936E-3, 1.045502E-4
0.211818, 1.190852E-3, 4.666469E-4
0.212818, 8.557372E-3, 9.551793E-3
