Time (s), Percentage Displayed
0.027122, 19.703884
0.059166, 19.703884
0.089265, 21.997593
0.118315, 21.997593
0.148426, 23.060770
0.178484, 23.060770
0.208593, 20.967417
0.238661, 20.967417
0.268715, 20.735083
0.298827, 19.950049
0.328876, 20.227614
0.358981, 20.235540
0.389035, 19.820383
0.419154, 19.350741
0.449221, 19.350741
0.479313, 17.874798
0.509354, 17.874798
0.539435, 18.127610
0.569541, 16.356721
0.599672, 16.562467
0.629752, 17.176963
0.659829, 16.988457
0.689882, 17.081856
0.719962, 17.713290
0.750083, 17.268900
0.780163, 17.506676
0.811238, 17.506676
0.840311, 17.505901
0.870401, 18.030847
0.901485, 17.842657
0.931553, 17.842657
0.961671, 17.344386
0.991775, 16.604618
1.021858, 16.697461
1.051944, 17.324643
1.082020, 17.005267
1.112103, 15.968113
1.142190, 14.955439
1.172263, 14.955439
1.201346, 15.369424
1.231417, 15.369424
1.261467, 15.319586
1.291546, 15.319586
1.321627, 15.297652
1.351707, 15.297652
1.381787, 14.310286
1.411866, 14.310286
1.442977, 14.593925
1.473030, 14.404768
1.503109, 14.404768
1.533189, 14.780932
1.563270, 14.780932
1.592345, 15.054076
1.622426, 15.054076
1.652505, 15.851119
1.682612, 15.230101
1.713699, 15.230101
1.743748, 14.656414
1.773863, 14.656414
1.803937, 15.924832
1.833988, 15.924832
1.864067, 15.607020
1.895182, 16.447721
1.925264, 16.447721
1.954340, 16.937620
1.984422, 16.937620
2.014496, 16.538122
2.045581, 16.585280
2.075662, 16.585280
2.105742, 16.801330
2.137796, 16.801330
2.167907, 17.466390
2.198993, 17.844666
2.230071, 17.844666
2.260152, 17.965597
2.290234, 17.965597
2.320318, 17.043182
2.350361, 17.043182
2.380478, 16.761894
2.411558, 17.214536
2.441638, 17.214536
2.471682, 17.712562
2.501800, 17.712562
2.531844, 17.113091
2.561954, 15.496629
2.592002, 15.496629
2.622084, 15.204271
2.652164, 15.204271
2.682244, 14.896197
2.711323, 14.896197
2.741401, 14.562956
2.771482, 13.865879
2.801561, 13.865879
2.831640, 13.144316
2.861721, 13.144316
2.891799, 12.231472
2.922911, 10.800074
2.952992, 10.800074
2.984045, 9.424986
3.014157, 9.424986
3.044206, 8.659607
3.073313, 8.659607
3.103363, 8.700782
3.134471, 8.911742
3.164557, 8.911742
3.194639, 9.657563
3.224716, 9.657563
3.254797, 9.822153
3.284876, 10.941673
3.314962, 10.941673
3.345006, 13.490177
3.375085, 13.490177
3.405196, 13.094286
3.435277, 13.094286
3.465350, 12.619401
3.495436, 13.568404
3.525516, 13.568404
3.555591, 14.511163
3.585675, 14.511163
3.615724, 15.200142
3.646845, 16.200599
3.676930, 16.200599
3.707002, 17.373580
3.738050, 17.373580
3.768161, 18.847133
3.799238, 19.217202
3.828330, 19.217202
3.858369, 19.315785
3.888481, 19.315785
3.919563, 19.097285
3.950625, 18.220142
3.981726, 18.220142
4.011778, 17.228483
4.041859, 17.228483
4.071938, 17.084250
4.102019, 15.075316
4.132097, 15.075316
4.162178, 15.516587
4.192257, 15.516587
4.221335, 15.830499
4.251414, 15.830499
4.282496, 15.706815
4.312605, 15.689865
4.343659, 15.689865
4.373773, 16.367805
4.404851, 16.367805
4.435936, 16.335716
4.465986, 15.505830
4.496093, 15.505830
4.526146, 15.445228
4.556227, 15.445228
4.585333, 15.142355
4.615384, 15.142355
4.645463, 15.070944
4.675543, 16.076307
4.705649, 16.076307
4.735702, 16.142054
4.765780, 16.142054
4.795863, 16.553248
4.825970, 16.553248
4.856050, 16.524353
4.886103, 16.808075
4.916182, 16.808075
4.946260, 17.176716
4.976370, 17.176716
5.006422, 17.475674
5.036503, 17.412217
5.066582, 17.412217
5.096662, 16.447857
5.126741, 16.447857
5.156821, 15.923022
5.186929, 15.923022
5.217011, 15.679004
5.247090, 16.001172
5.277190, 16.001172
5.307258, 15.287973
5.336329, 15.287973
5.366416, 15.722197
5.396490, 15.722197
5.427541, 16.871537
5.457650, 16.990147
5.487731, 16.990147
5.517816, 16.935563
5.547861, 16.935563
5.577942, 17.334327
5.608022, 17.930729
5.638102, 17.930729
5.668181, 18.121202
5.698261, 18.121202
5.727345, 17.154722
5.757419, 17.154722
5.788527, 17.012250
5.818615, 17.445127
5.849695, 17.445127
5.879743, 17.278242
5.909822, 17.278242
5.939904, 16.931315
5.969982, 16.931315
6.000064, 17.032082
6.030142, 17.876443
6.060233, 17.876443
6.090304, 17.859997
6.119380, 17.859997
6.149461, 18.372171
6.180562, 18.372171
6.210623, 18.331562
6.240703, 17.706788
6.270783, 17.706788
6.300864, 18.086479
6.330943, 18.086479
6.361024, 16.252299
6.391103, 16.252299
6.421182, 16.307555
6.451262, 16.179649
6.481373, 16.179649
6.511454, 15.928634
6.545514, 17.110344
6.575593, 16.746446
6.605674, 16.730204
6.635785, 16.633178
6.665864, 16.813482
6.696915, 15.224268
6.726996, 14.820453
6.757076, 14.514972
6.788189, 15.007566
6.818237, 15.054920
6.847316, 15.236573
6.877435, 15.977488
6.907504, 15.828058
6.937556, 15.280641
6.967637, 15.392088
6.997745, 15.639385
7.028829, 16.648527
7.058879, 16.902098
7.089994, 16.888113
7.120041, 18.091482
7.150122, 17.497403
7.180230, 16.877370
7.209312, 17.378588
7.239358, 16.573553
7.269455, 16.814082
7.299518, 16.960725
7.330602, 16.377645
7.361776, 16.689455
7.392862, 17.313933
7.422936, 16.424999
7.453022, 16.087334
7.484074, 16.925238
7.515157, 17.239948
7.545236, 16.800630
7.574341, 17.201760
